Frecuencia (Hz),Vin (V),Vr (V),R (ohm),Fase (°),Iin (A),Zin (ohm)
Frecuencia (Hz),Vin (V),Vr (V),R (ohm),Fase (°),Iin (A),Zin (ohm)
50,0.144,0.225,220000,0.7,0.000001022727273,140800
10,0.148,0.222,220000,-1.41,0.000001009090909,146666.6667
100,0.144,0.222,220000,-1.5,0.000001009090909,142702.7027
500,0.143,0.223,220000,0,0.000001013636364,141076.2332
25000,0.136,0.247,220000,24.96,0.000001122727273,121133.6032
1000,0.143,0.225,220000,0.5,0.000001022727273,139822.2222
5000,0.142,0.228,220000,5,0.000001036363636,137017.5439
10000,0.143,0.232,220000,10.7,0.000001054545455,135603.4483
50000,0.12,0.276,220000,41.8,0.000001254545455,95652.17391
75000,0.103,0.3,220000,51.8,0.000001363636364,75533.33333
100000,0.087,0.315,220000,57.5,0.000001431818182,60761.90476
600000,0.029,0.475,220000,51.9,0.000002159090909,13431.57895
750000,0.02,0.354,220000,25,0.000001609090909,12429.37853
200000,0.053,0.34,220000,64.5,0.000001545454545,34294.11765
500000,0.027,0.353,220000,68.6,0.000001604545455,16827.19547
1000000,0.022,0.477,220000,1,0.000002168181818,10146.75052
