Frecuencia (Hz),Vin (V),Vr (V),R (ohm),Fase (°) SIGNO MAL,Iin (A),Zin (ohm),fase BIEN
,,,,,,,
1,0.41,4.26,27000,2,0.0001577777778,2598.591549,-2
10,0.43,4.5,27000,2,0.0001666666667,2580,-2
100,0.43,4.5,27000,1.42,0.0001666666667,2580,-1.42
1000,0.42,4.739,27000,0.63,0.0001755185185,2392.909897,-0.63
3000,0.42,4.48,27000,0,0.0001659259259,2531.25,0
6000,0.26,2.705,27000,-2.55,0.0001001851852,2595.194085,2.55
10000,0.263,2.6995,27000,-4.71,0.00009998148148,2630.487127,4.71
15000,0.267,2.6974,27000,-8.47,0.0000999037037,2672.573589,8.47
30000,0.302,2.71,27000,-14.79,0.0001003703704,3008.856089,14.79
50000,0.365,2.662,27000,-17.82,0.00009859259259,3702.103681,17.82
80000,0.426,2.607,27000,-13.91,0.00009655555556,4411.967779,13.91
90000,0.436,2.59,27000,-12.4,0.00009592592593,4545.173745,12.4
100000,0.443,2.58,27000,-11.22,0.00009555555556,4636.046512,11.22
120000,0.451,2.587,27000,-8.33,0.00009581481481,4706.996521,8.33
150000,0.458,2.5799,27000,-4.4,0.00009555185185,4793.209039,4.4
200000,0.463,2.575,27000,0.22,0.00009537037037,4854.757282,-0.22
250000,0.463,2.589,27000,4.34,0.00009588888889,4828.505214,-4.34
300000,0.459,2.595,27000,7.35,0.00009611111111,4775.722543,-7.35
400000,0.454,2.617,27000,12.399,0.00009692592593,4683.989301,-12.399
1000000,0.402,2.753,27000,31.36,0.000101962963,3942.608064,-31.36
1500000,0.354,2.837,27000,40.22,0.0001050740741,3369.051815,-40.22
5,0.258,2.7,27000,0.29,0.0001,2580,-0.29
15,0.259,2.71,27000,-0.5,0.0001003703704,2580.442804,0.5
50,0.258,2.7,27000,-0.007,0.0001,2580,0.007
30,0.258,2.71,27000,-0.08,0.0001003703704,2570.479705,0.08
3,0.256,2.6912,27000,0.13,0.00009967407407,2568.370987,-0.13
250,0.173,1.8099,27000,0.03,0.00006703333333,2580.805569,-0.03
500,0.172,1.8,27000,-0.075,0.00006666666667,2580,0.075
750,0.1718,1.8,27000,-0.472,0.00006666666667,2577,0.472
2000,0.17,1.806,27000,-0.79,0.00006688888889,2541.528239,0.79
