Frecuencia (Hz),V2 (V),VM (V),R (ohm),Fase (°),Iin (A),Zin (ohm)
Frecuencia (Hz),V2 (V),VM (V),R (ohm),Fase (°),Iin (A),Zin (ohm)
10,"0,029","0,17",27000,"-3,8","0,000006296296296","4605,882353"
50,"0,0298","0,17",27000,"-3,99","0,000006296296296","4732,941176"
100,"0,0295","0,17",27000,-4,"0,000006296296296","4685,294118"
500,"0,0291","0,168",27000,-3,"0,000006222222222","4676,785714"
1000,"0,0292","0,168",27000,-4,"0,000006222222222","4692,857143"
10000,"0,0293","0,167",27000,-4,"0,000006185185185","4737,125749"
20000,"0,0293","0,167",27000,-3,"0,000006185185185","4737,125749"
50000,"0,0296","0,168",27000,"-5,4","0,000006222222222","4757,142857"
100000,"0,0295","0,1688",27000,"-7,4","0,000006251851852","4718,601896"
120000,"0,0295","0,1688",27000,-9,"0,000006251851852","4718,601896"
200000,"0,0294","0,1693",27000,"-10,6","0,00000627037037","4688,718252"
300000,"0,0288","0,17",27000,-15,"0,000006296296296","4574,117647"
500000,"0,0277","0,162",27000,-22,"0,000006","4616,666667"
700000,"0,0277","0,1763",27000,"-28,9","0,00000652962963","4242,200794"
800000,"0,027","0,1774",27000,"-30,3","0,00000657037037","4109,357384"
900000,"0,0263","0,1786",27000,"-31,66","0,000006614814815","3975,923852"
1000000,"0,0254","0,1801",27000,"-34,9","0,00000667037037","3807,884509"
1500000,"0,0222","0,1847",27000,"-40,2","0,000006840740741","3245,262588"
