Frecuencia (Hz),Ganancia (dB),Fase (°)
Frecuencia (Hz),Ganancia (dB),Fase (°)
10,0.1,180
100,0.05,179.5
1000,0,179.5
2000,0,179
5000,-0.1,178.13
10000,-0.1,178.06
20000,-0.1,177
30000,-0.1,173.9
50000,-0.1,169.5
75000,-0.2,163.4
90000,-0.2,161
100000,-0.285,158.42
400000,-3.59,99.84
150000,-0.5,147.8
200000,-0.896,136.4
250000,-1.399,125.77
300000,-2,115.79
350000,-2.8,107.19
500000,-5.16,87.2
600000,-6.58,75.57
700000,-7.9,65.7
800000,-9.098,57.7
900000,-10.15,50.7
1000000,-11.14,44.55
1200000,-12.82,34
1500000,-16.73,19.8
