Frecuencia (Hz),V2 (V),VM (V),R (ohm),Fase (°) MAL,Iin (A),Zin (ohm),faseBIEN
Frecuencia (Hz),V2 (V),VM (V),R (ohm),Fase (°),Iin (A),Zin (ohm),
1,0.664,1.2,27000,1,0.00004444444444,14940,-1
5,0.697,1.27,27000,0,0.00004703703704,14818.11024,0
10,0.697,1.27,27000,-0.5,0.00004703703704,14818.11024,0.5
50,0.697,1.27,27000,0,0.00004703703704,14818.11024,0
75,0.698,1.27,27000,-0.1,0.00004703703704,14839.37008,0.1
100,0.698,1.27,27000,0,0.00004703703704,14839.37008,0
500,0.691,1.264,27000,0,0.00004681481481,14760.28481,0
750,0.6908,1.27,27000,-0.61,0.00004703703704,14686.29921,0.61
1000,0.69,1.27,27000,-0.01,0.00004703703704,14669.29134,0.01
10000,0.684,1.278,27000,-0.12,0.00004733333333,14450.70423,0.12
50000,0.698,1.31,27000,-2.7,0.00004851851852,14386.25954,2.7
100000,0.71,1.3,27000,-5.19,0.00004814814815,14746.15385,5.19
600000,0.448,0.556,27000,12.26,0.00002059259259,21755.39568,-12.26
200000,0.37,0.62,27000,-7.73,0.00002296296296,16112.90323,7.73
500000,0.446,0.552,27000,6.01,0.00002044444444,21815.21739,-6.01
300000,0.408,0.584,27000,-6.2,0.00002162962963,18863.0137,6.2
400000,0.435,0.56,27000,-0.3,0.00002074074074,20973.21429,0.3
1000000,0.432,0.6,27000,29.5,0.00002222222222,19440,-29.5
1200000,0.418,0.628,27000,34.89,0.00002325925926,17971.33758,-34.89
1500000,0.396,0.67,27000,41.67,0.00002481481481,15958.20896,-41.67
5000000,0.212,0.885,27000,63.87,0.00003277777778,6467.79661,-63.87
2000000,0.359,0.727,27000,49.02,0.00002692592593,13332.87483,-49.02
700000,0.447,0.561,27000,17.97,0.00002077777778,21513.36898,-17.97
800000,0.443,0.573,27000,21.998,0.00002122222222,20874.34555,-21.998
900000,0.438,0.587,27000,25.77,0.00002174074074,20146.50767,-25.77
