Frecuencia (Hz),Vin (V),FASE,Vr (V),R (ohm),Fase (°),Iin (A),Zin (ohm),faseBIEN
Frecuencia (Hz),Vin (V),FASE,Vr (V),R (ohm),Fase (°),Iin (A),Zin (ohm),
6000,2.3662,2.9,2.5465,27000,-0.339,0.00009431481481,25088.3173,-2.9
10000,2.36,3.49,2.562,27000,-0.37,0.00009488888889,24871.19438,-3.49
15000,2.38,3.7,2.53,27000,0,0.0000937037037,25399.20949,-3.7
20000,2.3809,5.2,2.5646,27000,-1.252,0.00009498518519,25066.01419,-5.2
25000,2.3719,4,2.5811,27000,-2.09,0.0000955962963,24811.6307,-4
30000,2.3642,4.4,2.5929,27000,-2.33,0.00009603333333,24618.53523,-4.4
75000,2.3365,15.2,2.6826,27000,-8.13,0.00009935555556,23516.55111,-15.2
100000,2.3175,19.3,2.7359,27000,19.3,0.0001013296296,22870.90171,-19.3
150000,2.2534,28.6,2.9478,27000,-13.315,0.0001091777778,20639.73133,-28.6
200000,2.1745,36,3.062,27000,-15.67,0.0001134074074,19174.23253,-36
300000,2.0016,46.2,3.4161,27000,-16.63,0.0001265222222,15820.14578,-46.2
400000,1.825,54.3,3.711,27000,-17.02,0.0001374444444,13278.09216,-54.3
500000,1.6599,60,3.964,27000,-17.02,0.0001468148148,11306.07972,-60
600000,1.6,60.3,4.057,27000,-16.62,0.0001502592593,10648.26226,-60.3
700000,1.361,60.5,4.302,27000,-14.68,0.0001593333333,8541.841004,-60.5
800000,1.234,63.8,4.417,27000,-12.96,0.0001635925926,7543.12882,-63.8
900000,1.13,65,4.503,27000,-12.8,0.0001667777778,6775.483011,-65
1000000,1.064,75.6,4.57,27000,-11.3,0.0001692592593,6286.214442,-75.6
