Frecuencia (Hz),Vin (V),Vr (V),R (ohm),Fase (°),Iin (A),Zin (ohm)
Frecuencia (Hz),Vin (V),Vr (V),R (ohm),Fase (°),Iin (A),Zin (ohm)
1.00E+02,0.138,0.346,33000,-2,0.00001048484848,13161.84971
1.00E+03,0.136,0.344,33000,-1,0.00001042424242,13046.51163
1.00E+04,0.135,0.344,33000,-2,0.00001042424242,12950.5814
2.00E+04,0.136,0.346,33000,-1,0.00001048484848,12971.09827
7.50E+04,0.139,0.346,33000,-7.19,0.00001048484848,13257.22543
5.00E+04,0.138,0.346,33000,-4.78,0.00001048484848,13161.84971
1.00E+05,0.139,0.348,33000,-11.5,0.00001054545455,13181.03448
2.00E+05,0.133,0.358,33000,-23,0.00001084848485,12259.77654
4.00E+05,0.116,0.391,33000,-39.55,0.00001184848485,9790.28133
1.00E+06,0.074,0.444,33000,-57.26,0.00001345454545,5500
5.00E+05,0.107,0.455,33000,-44.33,0.00001378787879,7760.43956
6.00E+05,0.099,0.416,33000,-49,0.00001260606061,7853.365385
7.00E+05,0.092,0.426,33000,-51.5,0.00001290909091,7126.760563
8.00E+05,0.085,0.433,33000,-53.8,0.00001312121212,6478.060046
1.50E+05,0.138,0.356,33000,-16.9,0.00001078787879,12792.13483
3.00E+05,0.126,0.378,33000,-21.9,0.00001145454545,11000
2.00E+06,0.0435,0.463,33000,-60.64,0.00001403030303,3100.431965

