Freq.	V(vout)/V(v1)
1.00000000000000e+000	(1.99981422096662e+001dB,1.79998786109035e+002°)
1.25892541179417e+000	(1.99981422085863e+001dB,1.79998471801817e+002°)
1.58489319246111e+000	(1.99981422068747e+001dB,1.79998076112473e+002°)
1.99526231496888e+000	(1.99981422041621e+001dB,1.79997577969103e+002°)
2.51188643150958e+000	(1.99981421998630e+001dB,1.79996950843757e+002°)
3.16227766016838e+000	(1.99981421930493e+001dB,1.79996161339723e+002°)
3.98107170553497e+000	(1.99981421822503e+001dB,1.79995167413034e+002°)
5.01187233627272e+000	(1.99981421651350e+001dB,1.79993916133471e+002°)
6.30957344480194e+000	(1.99981421380091e+001dB,1.79992340865840e+002°)
7.94328234724282e+000	(1.99981420950175e+001dB,1.79990357721405e+002°)
1.00000000000000e+001	(1.99981420268803e+001dB,1.79987861090511e+002°)
1.25892541179417e+001	(1.99981419188903e+001dB,1.79984718018496e+002°)
1.58489319246111e+001	(1.99981417477375e+001dB,1.79980761125387e+002°)
1.99526231496888e+001	(1.99981414764787e+001dB,1.79975779692346e+002°)
2.51188643150958e+001	(1.99981410465625e+001dB,1.79969508440191e+002°)
3.16227766016838e+001	(1.99981403651914e+001dB,1.79961613402463e+002°)
3.98107170553498e+001	(1.99981392852911e+001dB,1.79951674140782e+002°)
5.01187233627273e+001	(1.99981375737651e+001dB,1.79939161355553e+002°)
6.30957344480194e+001	(1.99981348611805e+001dB,1.79923408699988e+002°)
7.94328234724283e+001	(1.99981305620272e+001dB,1.79903577297022e+002°)
1.00000000000000e+002	(1.99981237483370e+001dB,1.79878611070660e+002°)
1.25892541179417e+002	(1.99981129493876e+001dB,1.79847180515277e+002°)
1.58489319246112e+002	(1.99980958342612e+001dB,1.79807611912947e+002°)
1.99526231496888e+002	(1.99980687087519e+001dB,1.79757798238478e+002°)
2.51188643150958e+002	(1.99980257180633e+001dB,1.79695087025700e+002°)
3.16227766016838e+002	(1.99979575832839e+001dB,1.79616139259727e+002°)
3.98107170553498e+002	(1.99978495991223e+001dB,1.79516751853057e+002°)
5.01187233627273e+002	(1.99976784612509e+001dB,1.79391634396019e+002°)
6.30957344480194e+002	(1.99974072397958e+001dB,1.79234128580553e+002°)
7.94328234724283e+002	(1.99969774173982e+001dB,1.79035855929599e+002°)
1.00000000000000e+003	(1.99962962818000e+001dB,1.78786276216600e+002°)
1.25892541179417e+003	(1.99952169730721e+001dB,1.78472135338930e+002°)
1.58489319246112e+003	(1.99935069324334e+001dB,1.78076777780387e+002°)
1.99526231496888e+003	(1.99907980770656e+001dB,1.77579296069766e+002°)
2.51188643150959e+003	(1.99865082833767e+001dB,1.76953489835254e+002°)
3.16227766016839e+003	(1.99797180731345e+001dB,1.76166614393965e+002°)
3.98107170553498e+003	(1.99689779818016e+001dB,1.75177921779452e+002°)
5.01187233627273e+003	(1.99520102210525e+001dB,1.73937052046798e+002°)
6.30957344480195e+003	(1.99252529865945e+001dB,1.72382449640837e+002°)
7.94328234724283e+003	(1.98831799350833e+001dB,1.70440209725454e+002°)
1.00000000000000e+004	(1.98173212006148e+001dB,1.68024178168989e+002°)
1.25892541179417e+004	(1.97149426518513e+001dB,1.65038813278394e+002°)
1.58489319246112e+004	(1.95574633460996e+001dB,1.61387237202712e+002°)
1.99526231496889e+004	(1.93189960010460e+001dB,1.56987621278863e+002°)
2.51188643150959e+004	(1.89659421477370e+001dB,1.51800184291832e+002°)
3.16227766016839e+004	(1.84591762623664e+001dB,1.45862137915663e+002°)
3.98107170553498e+004	(1.77602461655181e+001dB,1.39317453256468e+002°)
5.01187233627274e+004	(1.68410713834873e+001dB,1.32418115164127e+002°)
6.30957344480195e+004	(1.56931206646690e+001dB,1.25479184153525e+002°)
7.94328234724284e+004	(1.43304103515424e+001dB,1.18799388639415e+002°)
1.00000000000000e+005	(1.27841511273500e+001dB,1.12587884901202e+002°)
1.25892541179417e+005	(1.10926579742723e+001dB,1.06932142813158e+002°)
1.58489319246112e+005	(9.29213784314659e+000dB,1.01808803021102e+002°)
1.99526231496889e+005	(7.41132863361465e+000dB,9.71158220599261e+001°)
2.51188643150959e+005	(5.46967529297846e+000dB,9.27049038426262e+001°)
3.16227766016839e+005	(3.47737096512812e+000dB,8.84050451415895e+001°)
3.98107170553499e+005	(1.43580580292413e+000dB,8.40375799427138e+001°)
