Freq.	V(vin)/-I(R6)
1.00000000000000e+000	(8.79371216094231e+001dB,-1.01888090130750e-004°)
1.25892541179417e+000	(8.79371216094154e+001dB,-1.28269505824702e-004°)
1.58489319246111e+000	(8.79371216094032e+001dB,-1.61481740440851e-004°)
1.99526231496888e+000	(8.79371216093838e+001dB,-2.03293466581444e-004°)
2.51188643150958e+000	(8.79371216093532e+001dB,-2.55931311130523e-004°)
3.16227766016838e+000	(8.79371216093046e+001dB,-3.22198431254848e-004°)
3.98107170553497e+000	(8.79371216092277e+001dB,-4.05623792744616e-004°)
5.01187233627272e+000	(8.79371216091057e+001dB,-5.10650100309881e-004°)
6.30957344480194e+000	(8.79371216089123e+001dB,-6.42870387806081e-004°)
7.94328234724282e+000	(8.79371216086060e+001dB,-8.09325867680551e-004°)
1.00000000000000e+001	(8.79371216081204e+001dB,-1.01888090120851e-003°)
1.25892541179417e+001	(8.79371216073507e+001dB,-1.28269505804950e-003°)
1.58489319246111e+001	(8.79371216061310e+001dB,-1.61481740401439e-003°)
1.99526231496888e+001	(8.79371216041977e+001dB,-2.03293466502808e-003°)
2.51188643150958e+001	(8.79371216011338e+001dB,-2.55931310973623e-003°)
3.16227766016838e+001	(8.79371215962777e+001dB,-3.22198430941790e-003°)
3.98107170553498e+001	(8.79371215885814e+001dB,-4.05623792119984e-003°)
5.01187233627273e+001	(8.79371215763835e+001dB,-5.10650099063576e-003°)
6.30957344480194e+001	(8.79371215570513e+001dB,-6.42870385319374e-003°)
7.94328234724283e+001	(8.79371215264117e+001dB,-8.09325862718920e-003°)
1.00000000000000e+002	(8.79371214778512e+001dB,-1.01888089130875e-002°)
1.25892541179417e+002	(8.79371214008881e+001dB,-1.28269503829689e-002°)
1.58489319246112e+002	(8.79371212789096e+001dB,-1.61481736460276e-002°)
1.99526231496888e+002	(8.79371210855869e+001dB,-2.03293458639152e-002°)
2.51188643150958e+002	(8.79371207791911e+001dB,-2.55931295283568e-002°)
3.16227766016838e+002	(8.79371202935864e+001dB,-3.22198399636017e-002°)
3.98107170553498e+002	(8.79371195239550e+001dB,-4.05623729656761e-002°)
5.01187233627273e+002	(8.79371183041717e+001dB,-5.10649974433082e-002°)
6.30957344480194e+002	(8.79371163709462e+001dB,-6.42870136648915e-002°)
7.94328234724283e+002	(8.79371133069921e+001dB,-8.09325366556339e-002°)
1.00000000000000e+003	(8.79371084509564e+001dB,-1.01887990133494e-001°)
1.25892541179417e+003	(8.79371007546696e+001dB,-1.28269306304163e-001°)
1.58489319246112e+003	(8.79370885569052e+001dB,-1.61481342345725e-001°)
1.99526231496888e+003	(8.79370692248219e+001dB,-2.03292672279418e-001°)
2.51188643150959e+003	(8.79370385857114e+001dB,-2.55929726296507e-001°)
3.16227766016839e+003	(8.79369900264382e+001dB,-3.22195269117027e-001°)
3.98107170553498e+003	(8.79369130662927e+001dB,-4.05617483519014e-001°)
5.01187233627273e+003	(8.79367910954851e+001dB,-5.10637511967450e-001°)
6.30957344480195e+003	(8.79365977918236e+001dB,-6.42845271449046e-001°)
7.94328234724283e+003	(8.79362914438508e+001dB,-8.09275756136062e-001°)
1.00000000000000e+004	(8.79358059594484e+001dB,-1.01878092241304e+000°)
1.25892541179417e+004	(8.79350366300605e+001dB,-1.28249559588107e+000°)
1.58489319246112e+004	(8.79338176052084e+001dB,-1.61441949343717e+000°)
1.99526231496889e+004	(8.79318862840575e+001dB,-2.03214094640609e+000°)
2.51188643150959e+004	(8.79288271105390e+001dB,-2.55773011965192e+000°)
3.16227766016839e+004	(8.79239830719296e+001dB,-3.21882799784665e+000°)
3.98107170553498e+004	(8.79163168751619e+001dB,-4.04994709594747e+000°)
5.01187233627274e+004	(8.79041945136114e+001dB,-5.09397071599736e+000°)
6.30957344480195e+004	(8.78850511226174e+001dB,-6.40377052848771e+000°)
7.94328234724284e+004	(8.78548831824873e+001dB,-8.04372293031119e+000°)
1.00000000000000e+005	(8.78074964434917e+001dB,-1.00906365215332e+001°)
1.25892541179417e+005	(8.77334388445569e+001dB,-1.26331290516611e+001°)
1.58489319246112e+005	(8.76185950315120e+001dB,-1.57677546202917e+001°)
1.99526231496889e+005	(8.74425776848848e+001dB,-1.95892940233099e+001°)
2.51188643150959e+005	(8.71774051142935e+001dB,-2.41722361883759e+001°)
3.16227766016839e+005	(8.67875073204980e+001dB,-2.95422958318685e+001°)
3.98107170553499e+005	(8.62324934267488e+001dB,-3.56432077325828e+001°)
5.01187233627274e+005	(8.54733465909541e+001dB,-4.23142157027045e+001°)
6.30957344480196e+005	(8.44799557240165e+001dB,-4.92958354037561e+001°)
7.94328234724285e+005	(8.32356755409579e+001dB,-5.62552679136970e+001°)
1.00000000000000e+006	(8.17410406653748e+001dB,-6.27884961619790e+001°)
1.25892541179417e+006	(8.00296632254495e+001dB,-6.84457726663535e+001°)
1.58489319246112e+006	(7.81778395095740e+001dB,-7.29611996621949e+001°)
1.99526231496889e+006	(7.62622070549759e+001dB,-7.64435648105988e+001°)
2.51188643150959e+006	(7.43203418410471e+001dB,-7.91649732057387e+001°)
3.16227766016839e+006	(7.23628600459518e+001dB,-8.13340867133903e+001°)
3.98107170553499e+006	(7.03931472658880e+001dB,-8.30772009592204e+001°)
5.01187233627275e+006	(6.84139119931764e+001dB,-8.44782164829791e+001°)
6.30957344480196e+006	(6.64277363636207e+001dB,-8.56014484517004e+001°)
7.94328234724285e+006	(6.44367613623508e+001dB,-8.64995489723127e+001°)
1.00000000000000e+007	(6.24425795782179e+001dB,-8.72161041725317e+001°)
1.25892541179417e+007	(6.04463007453310e+001dB,-8.77869410516663e+001°)
1.58489319246112e+007	(5.84486688079797e+001dB,-8.82412246701032e+001°)
1.99526231496889e+007	(5.64501710527158e+001dB,-8.86025082199930e+001°)
2.51188643150959e+007	(5.44511221756903e+001dB,-8.88897046005272e+001°)
3.16227766016839e+007	(5.24517236531347e+001dB,-8.91179422688124e+001°)
3.98107170553499e+007	(5.04521037862980e+001dB,-8.92992920118837e+001°)
5.01187233627275e+007	(4.84523440139774e+001dB,-8.94433692890043e+001°)
6.30957344480196e+007	(4.64524959358631e+001dB,-8.95578257346685e+001°)
7.94328234724286e+007	(4.44525922218654e+001dB,-8.96487462881816e+001°)
1.00000000000001e+008	(4.24526535585959e+001dB,-8.97209680911517e+001°)
1.25892541179417e+008	(4.04526930463776e+001dB,-8.97783355605249e+001°)
1.58489319246112e+008	(3.84527189598241e+001dB,-8.98239038530812e+001°)
1.99526231496889e+008	(3.64527364647187e+001dB,-8.98601007643880e+001°)
2.51188643150959e+008	(3.44527486937020e+001dB,-8.98888552378534e+001°)
3.16227766016840e+008	(3.24527574638875e+001dB,-8.99116992759530e+001°)
3.98107170553499e+008	(3.04527638038060e+001dB,-8.99298490160229e+001°)
5.01187233627275e+008	(2.84527683356224e+001dB,-8.99442696037509e+001°)
6.30957344480197e+008	(2.64527715019947e+001dB,-8.99557271648486e+001°)
7.94328234724286e+008	(2.44527736588530e+001dB,-8.99648301760211e+001°)
1.00000000000001e+009	(2.24527750955345e+001dB,-8.99720621490327e+001°)
