Freq.	V(vin)/-I(R5)
1.00000000000000e+001	(8.19273397601008e+001dB,-5.51997266035332e-004°)
1.25892541179417e+001	(8.19273397597471e+001dB,-6.94923385328271e-004°)
1.58489319246111e+001	(8.19273397591866e+001dB,-8.74856708791350e-004°)
1.99526231496888e+001	(8.19273397582981e+001dB,-1.10137934188034e-003°)
2.51188643150958e+001	(8.19273397568900e+001dB,-1.38655444052924e-003°)
3.16227766016838e+001	(8.19273397546583e+001dB,-1.74556861804487e-003°)
3.98107170553497e+001	(8.19273397511213e+001dB,-2.19754068734961e-003°)
5.01187233627272e+001	(8.19273397455154e+001dB,-2.76653980689969e-003°)
6.30957344480194e+001	(8.19273397366308e+001dB,-3.48286724997065e-003°)
7.94328234724282e+001	(8.19273397225497e+001dB,-4.38467005561701e-003°)
1.00000000000000e+002	(8.19273397002326e+001dB,-5.51997249294400e-003°)
1.25892541179417e+002	(8.19273396648624e+001dB,-6.94923351925738e-003°)
1.58489319246111e+002	(8.19273396088045e+001dB,-8.74856642144597e-003°)
1.99526231496888e+002	(8.19273395199587e+001dB,-1.10137920890278e-002°)
2.51188643150958e+002	(8.19273393791479e+001dB,-1.38655417520474e-002°)
3.16227766016838e+002	(8.19273391559783e+001dB,-1.74556808865487e-002°)
3.98107170553498e+002	(8.19273388022797e+001dB,-2.19753963108391e-002°)
5.01187233627273e+002	(8.19273382417087e+001dB,-2.76653769939218e-002°)
6.30957344480194e+002	(8.19273373532720e+001dB,-3.48286304500247e-002°)
7.94328234724282e+002	(8.19273359452166e+001dB,-4.38466166579888e-002°)
1.00000000000000e+003	(8.19273337136535e+001dB,-5.51995575367716e-002°)
1.25892541179417e+003	(8.19273301770011e+001dB,-6.94920012199293e-002°)
1.58489319246111e+003	(8.19273245721282e+001dB,-8.74849979135206e-002°)
1.99526231496888e+003	(8.19273156898655e+001dB,-1.10136591641426e-001°)
2.51188643150958e+003	(8.19273016145928e+001dB,-1.38652765940838e-001°)
3.16227766016838e+003	(8.19272793122224e+001dB,-1.74551520229478e-001°)
3.98107170553498e+003	(8.19272439789779e+001dB,-2.19743417086739e-001°)
5.01187233627273e+003	(8.19271880137278e+001dB,-2.76632747415887e-001°)
6.30957344480194e+003	(8.19270994003337e+001dB,-3.48244420732062e-001°)
7.94328234724283e+003	(8.19269591713610e+001dB,-4.38382791718941e-001°)
1.00000000000000e+004	(8.19267374561028e+001dB,-5.51829830888368e-001°)
1.25892541179417e+004	(8.19263873821334e+001dB,-6.94591218376879e-001°)
1.58489319246112e+004	(8.19258358043697e+001dB,-8.74199891315957e-001°)
1.99526231496888e+004	(8.19249695271387e+001dB,-1.10008713792282e+000°)
2.51188643150958e+004	(8.19236154937935e+001dB,-1.38403182777087e+000°)
3.16227766016839e+004	(8.19215135363272e+001dB,-1.74070092233610e+000°)
3.98107170553498e+004	(8.19182806117153e+001dB,-2.18830528736784e+000°)
5.01187233627273e+004	(8.19133644309065e+001dB,-2.74942487508438e+000°)
6.30957344480195e+004	(8.19059769848769e+001dB,-3.45210882851271e+000°)
7.94328234724283e+004	(8.18949773502377e+001dB,-4.33138204690349e+000°)
1.00000000000000e+005	(8.18786411212489e+001dB,-5.43116882442361e+000°)
1.25892541179417e+005	(8.18542388763886e+001dB,-6.80631108967883e+000°)
1.58489319246112e+005	(8.18173738122276e+001dB,-8.52402369603243e+000°)
1.99526231496888e+005	(8.17610642127776e+001dB,-1.06640332020836e+001°)
2.51188643150959e+005	(8.16745523305010e+001dB,-1.33164751259670e+001°)
3.16227766016839e+005	(8.15418413211641e+001dB,-1.65758456895927e+001°)
3.98107170553498e+005	(8.13401537546674e+001dB,-2.05281588175068e+001°)
5.01187233627273e+005	(8.10389671453550e+001dB,-2.52282265885031e+001°)
6.30957344480195e+005	(8.06009357515901e+001dB,-3.06668820992721e+001°)
7.94328234724283e+005	(7.99863410442558e+001dB,-3.67363081770133e+001°)
1.00000000000000e+006	(7.91616371176571e+001dB,-4.32134323102243e+001°)
1.25892541179417e+006	(7.81095672005718e+001dB,-4.97843862394713e+001°)
1.58489319246112e+006	(7.68353555152975e+001dB,-5.61126137828761e+001°)
1.99526231496888e+006	(7.53647566231020e+001dB,-6.19192240017806e+001°)
2.51188643150959e+006	(7.37353448327395e+001dB,-6.70332631228336e+001°)
3.16227766016839e+006	(7.19865443942675e+001dB,-7.13953778170317e+001°)
3.98107170553498e+006	(7.01528459689005e+001dB,-7.50298428050816e+001°)
5.01187233627274e+006	(6.82611426400772e+001dB,-7.80088406434006e+001°)
6.30957344480195e+006	(6.63308860974365e+001dB,-8.04237496130011e+001°)
7.94328234724284e+006	(6.43754730974961e+001dB,-8.23671779262998e+001°)
1.00000000000000e+007	(6.24038423080852e+001dB,-8.39238028302858e+001°)
1.25892541179417e+007	(6.04218376173370e+001dB,-8.51668314031690e+001°)
1.58489319246112e+007	(5.84332302625237e+001dB,-8.61575194599840e+001°)
1.99526231496889e+007	(5.64404338970354e+001dB,-8.69461217964186e+001°)
2.51188643150959e+007	(5.44449852200834e+001dB,-8.75733712390077e+001°)
3.16227766016839e+007	(5.24478593593682e+001dB,-8.80720352822131e+001°)
3.98107170553499e+007	(5.04496737948213e+001dB,-8.84683500586218e+001°)
5.01187233627274e+007	(4.84508190151570e+001dB,-8.87832603441836e+001°)
6.30957344480195e+007	(4.64515417552733e+001dB,-8.90334557656455e+001°)
7.94328234724284e+007	(4.44519978351600e+001dB,-8.92322197708822e+001°)
1.00000000000000e+008	(4.24522856266837e+001dB,-8.93901170258634e+001°)
