Freq.	V(vout)/V(v1)
1.00000000000000e+001	(1.88881991677635e+001dB,-6.33131198623884e-003°)
1.25892541179417e+001	(1.88881991398795e+001dB,-7.97064953337191e-003°)
1.58489319246111e+001	(1.88881990956863e+001dB,-1.00344532139412e-002°)
1.99526231496888e+001	(1.88881990256448e+001dB,-1.26326280803903e-002°)
2.51188643150958e+001	(1.88881989146366e+001dB,-1.59035363802517e-002°)
3.16227766016838e+001	(1.88881987387004e+001dB,-2.00213658313056e-002°)
3.98107170553497e+001	(1.88881984598603e+001dB,-2.52054057146944e-002°)
5.01187233627272e+001	(1.88881980179286e+001dB,-3.17317247528958e-002°)
6.30957344480194e+001	(1.88881973175142e+001dB,-3.99478726244621e-002°)
7.94328234724282e+001	(1.88881962074324e+001dB,-5.02913879496233e-002°)
1.00000000000000e+002	(1.88881944480718e+001dB,-6.33130982144871e-002°)
1.25892541179417e+002	(1.88881916596747e+001dB,-7.97064521404941e-002°)
1.58489319246111e+002	(1.88881872403667e+001dB,-1.00344445957650e-001°)
1.99526231496888e+002	(1.88881802362447e+001dB,-1.26326108848850e-001°)
2.51188643150958e+002	(1.88881691354825e+001dB,-1.59035020707610e-001°)
3.16227766016838e+002	(1.88881515420177e+001dB,-2.00212973750393e-001°)
3.98107170553498e+002	(1.88881236584002e+001dB,-2.52052691270156e-001°)
5.01187233627273e+002	(1.88880794662091e+001dB,-3.17314522263226e-001°)
6.30957344480194e+002	(1.88880094272217e+001dB,-3.99473288677574e-001°)
7.94328234724282e+002	(1.88878984252065e+001dB,-5.02903030291109e-001°)
1.00000000000000e+003	(1.88877225046435e+001dB,-6.33109335664366e-001°)
1.25892541179417e+003	(1.88874437038460e+001dB,-7.97021332672837e-001°)
1.58489319246111e+003	(1.88870018707903e+001dB,-1.00335829202215e+000°)
1.99526231496888e+003	(1.88863017040773e+001dB,-1.26308917835641e+000°)
2.51188643150958e+003	(1.88851922443514e+001dB,-1.59000725419478e+000°)
3.16227766016838e+003	(1.88834344459282e+001dB,-2.00144562383458e+000°)
