Freq.,MODULO,FASE,modulo en no db
Freq.,MODULO,FASE,modulo en no db
1.00E+00,6.79575131002144e+001,-1.79999433136885e+002,2499.629578
1.26E+00,6.79575131010222e+001,-1.79999286361619e+002,2499.629578
1.58E+00,6.79575131023026e+001,-1.79999101582508e+002,2499.629579
2.00E+00,6.79575131043318e+001,-1.79998868959389e+002,2499.629579
2.51E+00,6.79575131075479e+001,-1.79998576104234e+002,2499.62958
3.16E+00,6.79575131126450e+001,-1.79998207421439e+002,2499.629582
3.98E+00,6.79575131207235e+001,-1.79997743277300e+002,2499.629584
5.01E+00,6.79575131335270e+001,-1.79997158954452e+002,2499.629588
6.31E+00,6.79575131538191e+001,-1.79996423335577e+002,2499.629593
7.94E+00,6.79575131859800e+001,-1.79995497246296e+002,2499.629603
1.00E+01,6.79575132369515e+001,-1.79994331368993e+002,2499.629617
1.26E+01,6.79575133177359e+001,-1.79992863616483e+002,2499.629641
1.58E+01,6.79575134457706e+001,-1.79991015825657e+002,2499.629677
2.00E+01,6.79575136486920e+001,-1.79988689595044e+002,2499.629736
2.51E+01,6.79575139703005e+001,-1.79985761044638e+002,2499.629828
3.16E+01,6.79575144800157e+001,-1.79982074218964e+002,2499.629975
3.98E+01,6.79575152878596e+001,-1.79977432782131e+002,2499.630208
5.01E+01,6.79575165682054e+001,-1.79971589562744e+002,2499.630576
6.31E+01,6.79575185974153e+001,-1.79964233392130e+002,2499.63116
7.94E+01,6.79575218134932e+001,-1.79954972535500e+002,2499.632086
1.00E+02,6.79575269106250e+001,-1.79943313834665e+002,2499.633552
1.26E+02,6.79575349890139e+001,-1.79928636453612e+002,2499.635877
1.58E+02,6.79575477923461e+001,-1.79910158832764e+002,2499.639562
2.00E+02,6.79575680841308e+001,-1.79886897100098e+002,2499.645401
2.51E+02,6.79576002441176e+001,-1.79857612740238e+002,2499.654656
3.16E+02,6.79576512134461e+001,-1.79820746766434e+002,2499.669325
3.98E+02,6.79577319923395e+001,-1.79774336953073e+002,2499.692572
5.01E+02,6.79578600131121e+001,-1.79715913847213e+002,2499.729415
6.31E+02,6.79580628994397e+001,-1.79642370273012e+002,2499.787804
7.94E+02,6.79583844201411e+001,-1.79549797881375e+002,2499.880339
1.00E+03,6.79588939145995e+001,-1.79433283040572e+002,2500.026981
1.26E+03,6.79597012042201e+001,-1.79286653190326e+002,2500.259351
1.58E+03,6.79609801582036e+001,-1.79102164116384e+002,2500.627529
2.00E+03,6.79630058740991e+001,-1.78870119369857e+002,2501.210791
2.51E+03,6.79662131827300e+001,-1.78578417181223e+002,2502.134546
3.16E+03,6.79712883171760e+001,-1.78212031581431e+002,2503.596962
3.98E+03,6.79793115704121e+001,-1.77752460632447e+002,2505.910631
5.01E+03,6.79919768793261e+001,-1.77177230045201e+002,2509.567284
6.31E+03,6.80119238257747e+001,-1.76459650872145e+002,2515.33707
