Freq.,ampDB,fase,ZIN NO DB
,,,
1.00E+00,6.79567205921031e+001,-1.79999951982466e+002,2499.40152
1.26E+00,6.79567205921144e+001,-1.79999939549507e+002,2499.40152
1.58E+00,6.79567205921322e+001,-1.79999923897338e+002,2499.40152
2.00E+00,6.79567205921605e+001,-1.79999904192425e+002,2499.40152
2.51E+00,6.79567205922054e+001,-1.79999879385409e+002,2499.40152
3.16E+00,6.79567205922765e+001,-1.79999848155226e+002,2499.40152
3.98E+00,6.79567205923892e+001,-1.79999808838755e+002,2499.40152
5.01E+00,6.79567205925678e+001,-1.79999759342251e+002,2499.40152
6.31E+00,6.79567205928508e+001,-1.79999697029845e+002,2499.40152
7.94E+00,6.79567205932995e+001,-1.79999618583173e+002,2499.40152
1.00E+01,6.79567205940105e+001,-1.79999519824664e+002,2499.401521
1.26E+01,6.79567205951374e+001,-1.79999395495067e+002,2499.401521
1.58E+01,6.79567205969234e+001,-1.79999238973379e+002,2499.401521
2.00E+01,6.79567205997541e+001,-1.79999041924248e+002,2499.401522
2.51E+01,6.79567206042403e+001,-1.79998793854091e+002,2499.401524
3.16E+01,6.79567206113506e+001,-1.79998481552268e+002,2499.401526
3.98E+01,6.79567206226196e+001,-1.79998088387569e+002,2499.401529
5.01E+01,6.79567206404797e+001,-1.79997593422544e+002,2499.401534
6.31E+01,6.79567206687861e+001,-1.79996970298508e+002,2499.401542
7.94E+01,6.79567207136487e+001,-1.79996185831845e+002,2499.401555
1.00E+02,6.79567207847512e+001,-1.79995198246873e+002,2499.401575
1.26E+02,6.79567208974411e+001,-1.79993954951143e+002,2499.401608
1.58E+02,6.79567210760424e+001,-1.79992389734728e+002,2499.401659
2.00E+02,6.79567213591065e+001,-1.79990419244356e+002,2499.401741
2.51E+02,6.79567218077327e+001,-1.79987938544649e+002,2499.40187
3.16E+02,6.79567225187572e+001,-1.79984815530134e+002,2499.402074
3.98E+02,6.79567236456547e+001,-1.79980883890566e+002,2499.402399
5.01E+02,6.79567254316660e+001,-1.79975934255123e+002,2499.402913
6.31E+02,6.79567282623008e+001,-1.79969703044296e+002,2499.403727
7.94E+02,6.79567327485487e+001,-1.79961858436611e+002,2499.405018
1.00E+03,6.79567398587580e+001,-1.79951982704487e+002,2499.407064
1.26E+03,6.79567511276434e+001,-1.79939549981822e+002,2499.410307
1.58E+03,6.79567689875309e+001,-1.79923898285837e+002,2499.415446
2.00E+03,6.79567972933130e+001,-1.79904194316227e+002,2499.423591
2.51E+03,6.79568421543716e+001,-1.79879389182915e+002,2499.4365
3.16E+03,6.79569132528941e+001,-1.79848162756401e+002,2499.45696
3.98E+03,6.79570259327816e+001,-1.79808853780162e+002,2499.489385
5.01E+03,6.79572045091331e+001,-1.79759372228814e+002,2499.540773
6.31E+03,6.79574875103819e+001,-1.79697089654537e+002,2499.622214
7.94E+03,6.79579359788810e+001,-1.79618702499290e+002,2499.751277
1.00E+04,6.79586466072651e+001,-1.79520062721724e+002,2499.9558
1.26E+04,6.79597725100522e+001,-1.79395969961068e+002,2500.279877
1.58E+04,6.79615560237148e+001,-1.79239920618650e+002,2500.793323
2.00E+04,6.79643803888782e+001,-1.79043813298385e+002,2501.606631
2.51E+04,6.79688509045256e+001,-1.78797620267838e+002,2502.894507
3.16E+04,6.79759216604814e+001,-1.78489057395801e+002,2504.93282
3.98E+04,6.79870916996238e+001,-1.78103332704965e+002,2508.156232
5.01E+04,6.80047043081685e+001,-1.77623149054144e+002,2513.247246
6.31E+04,6.80323929389850e+001,-1.77029319361836e+002,2521.271687
7.94E+04,6.80757193863204e+001,-1.76302685560428e+002,2533.879566
1.00E+05,6.81430236486437e+001,-1.75428590874365e+002,2553.590079
1.26E+05,6.82464040567198e+001,-1.74405962216418e+002,2584.164778
1.58E+05,6.84024858949621e+001,-1.73263866812711e+002,2631.02088
2.00E+05,6.86321136344384e+001,-1.72088194459141e+002,2701.504416
2.51E+05,6.89573348662702e+001,-1.71057447808161e+002,2804.572965
3.16E+05,6.93935313371034e+001,-1.70476091570422e+002,2949.012184
3.98E+05,6.99356234698676e+001,-1.70776356553082e+002,3138.926695
5.01E+05,7.05415214161551e+001,-1.72445822357073e+002,3365.705177
6.31E+05,7.11232153453148e+001,-1.75853310009449e+002,3598.825319
7.94E+05,7.15615048038335e+001,1.78981598572843e+002,3785.081544
1.00E+06,7.17519005896287e+001,1.72504113115349e+002,3868.967036
1.26E+06,7.16551034665379e+001,1.65428471819292e+002,3826.089927
1.58E+06,7.13015037319323e+001,1.58328962169785e+002,3673.458912
2.00E+06,7.07446668928640e+001,1.51410734645878e+002,3445.349983
2.51E+06,7.00160005592043e+001,1.44620967089363e+002,3168.108363
3.16E+06,6.91155723441562e+001,1.37887155912126e+002,2856.13425
3.98E+06,6.80296324246912e+001,1.31260215745784e+002,2520.470514
5.01E+06,6.67517300932778e+001,1.24913136855162e+002,2175.637344
6.31E+06,6.52930882482763e+001,1.19056447274380e+002,1839.307799
7.94E+06,6.36803951098520e+001,1.13852650356770e+002,1527.635547
1.00E+07,6.19472031128891e+001,1.09376838731977e+002,1251.296286
1.26E+07,6.01258614699774e+001,1.05622922109684e+002,1014.595831
1.58E+07,5.82431097757138e+001,1.02531250978134e+002,816.8747816
2.00E+07,5.63190072459198e+001,1.00016746391537e+002,654.5613567
2.51E+07,5.43676918200142e+001,9.79887384667557e+001,522.8590037
3.16E+07,5.23987361237088e+001,9.63620598505323e+001,416.8087296
3.98E+07,5.04184572016796e+001,9.50619155490014e+001,331.8355113
5.01E+07,4.84309560478501e+001,9.40251245538331e+001,263.9658851
6.31E+07,4.64388676256906e+001,9.31995485104699e+001,209.8666264
7.94E+07,4.44438740921455e+001,9.25427726691621e+001,166.7991006
