Freq.,amp no db,fase,zin amp NO DB
,,,
1.00E+00,8.79371216094231e+001,1.79999898111910e+002,24937.68188
1.26E+00,8.79371216094154e+001,1.79999871730494e+002,24937.68188
1.58E+00,8.79371216094032e+001,1.79999838518260e+002,24937.68188
2.00E+00,8.79371216093838e+001,1.79999796706533e+002,24937.68188
2.51E+00,8.79371216093532e+001,1.79999744068689e+002,24937.68188
3.16E+00,8.79371216093046e+001,1.79999677801569e+002,24937.68188
3.98E+00,8.79371216092277e+001,1.79999594376207e+002,24937.68188
5.01E+00,8.79371216091057e+001,1.79999489349900e+002,24937.68188
6.31E+00,8.79371216089123e+001,1.79999357129612e+002,24937.68188
7.94E+00,8.79371216086060e+001,1.79999190674132e+002,24937.68188
1.00E+01,8.79371216081204e+001,1.79998981119099e+002,24937.68187
1.26E+01,8.79371216073507e+001,1.79998717304942e+002,24937.68187
1.58E+01,8.79371216061310e+001,1.79998385182596e+002,24937.68187
2.00E+01,8.79371216041977e+001,1.79997967065335e+002,24937.68186
2.51E+01,8.79371216011338e+001,1.79997440686890e+002,24937.68185
3.16E+01,8.79371215962777e+001,1.79996778015691e+002,24937.68184
3.98E+01,8.79371215885814e+001,1.79995943762079e+002,24937.68182
5.01E+01,8.79371215763835e+001,1.79994893499009e+002,24937.68178
6.31E+01,8.79371215570513e+001,1.79993571296147e+002,24937.68173
7.94E+01,8.79371215264117e+001,1.79991906741373e+002,24937.68164
1.00E+02,8.79371214778512e+001,1.79989811191087e+002,24937.6815
1.26E+02,8.79371214008881e+001,1.79987173049617e+002,24937.68128
1.58E+02,8.79371212789096e+001,1.79983851826354e+002,24937.68093
2.00E+02,8.79371210855869e+001,1.79979670654136e+002,24937.68037
2.51E+02,8.79371207791911e+001,1.79974406870472e+002,24937.67949
3.16E+02,8.79371202935864e+001,1.79967780160036e+002,24937.6781
3.98E+02,8.79371195239550e+001,1.79959437627034e+002,24937.67589
5.01E+02,8.79371183041717e+001,1.79948935002557e+002,24937.67239
6.31E+02,8.79371163709462e+001,1.79935712986335e+002,24937.66684
7.94E+02,8.79371133069921e+001,1.79919067463344e+002,24937.65804
1.00E+03,8.79371084509564e+001,1.79898112009867e+002,24937.6441
1.26E+03,8.79371007546696e+001,1.79871730693696e+002,24937.622
1.58E+03,8.79370885569052e+001,1.79838518657654e+002,24937.58698
2.00E+03,8.79370692248219e+001,1.79796707327721e+002,24937.53148
2.51E+03,8.79370385857114e+001,1.79744070273704e+002,24937.44351
3.16E+03,8.79369900264382e+001,1.79677804730883e+002,24937.3041
3.98E+03,8.79369130662927e+001,1.79594382516481e+002,24937.08315
5.01E+03,8.79367910954851e+001,1.79489362488033e+002,24936.73297
6.31E+03,8.79365977918236e+001,1.79357154728551e+002,24936.17801
7.94E+03,8.79362914438508e+001,1.79190724243864e+002,24935.29854
1.00E+04,8.79358059594484e+001,1.78981219077587e+002,24933.90486
1.26E+04,8.79350366300605e+001,1.78717504404119e+002,24931.6965
1.58E+04,8.79338176052084e+001,1.78385580506563e+002,24928.1977
2.00E+04,8.79318862840575e+001,1.77967859053594e+002,24922.65549
2.51E+04,8.79288271105390e+001,1.77442269880348e+002,24913.87927
3.16E+04,8.79239830719296e+001,1.76781172002153e+002,24899.98891
3.98E+04,8.79163168751619e+001,1.75950052904053e+002,24878.02178
5.01E+04,8.79041945136114e+001,1.74906029284003e+002,24843.32528
6.31E+04,8.78850511226174e+001,1.73596229471512e+002,24788.63177
7.94E+04,8.78548831824873e+001,1.71956277069689e+002,24702.68493
1.00E+05,8.78074964434917e+001,1.69909363478467e+002,24568.28391
1.26E+05,8.77334388445569e+001,1.67366870948339e+002,24359.70038
1.58E+05,8.76185950315120e+001,1.64232245379708e+002,24039.73919
2.00E+05,8.74425776848848e+001,1.60410705976690e+002,23557.48288
2.51E+05,8.71774051142935e+001,1.55827763811624e+002,22849.16089
3.16E+05,8.67875073204980e+001,1.50457704168132e+002,21846.17287
3.98E+05,8.62324934267488e+001,1.44356792267417e+002,20493.90277
5.01E+05,8.54733465909541e+001,1.37685784297296e+002,18778.77808
6.31E+05,8.44799557240165e+001,1.30704164596244e+002,16749.34338
7.94E+05,8.32356755409579e+001,1.23744732086303e+002,14513.88832
1.00E+06,8.17410406653748e+001,1.17211503838021e+002,12219.46054
1.26E+06,8.00296632254495e+001,1.11554227333646e+002,10034.20943
1.58E+06,7.81778395095740e+001,1.07038800337805e+002,8107.59368
2.00E+06,7.62622070549759e+001,1.03556435189401e+002,6502.949071
2.51E+06,7.43203418410471e+001,1.00835026794261e+002,5200.164618
3.16E+06,7.23628600459518e+001,9.86659132866097e+001,4150.906991
3.98E+06,7.03931472658880e+001,9.69227990407796e+001,3308.699786
5.01E+06,6.84139119931764e+001,9.55217835170210e+001,2634.484208
6.31E+06,6.64277363636207e+001,9.43985515482997e+001,2095.978475
7.94E+06,6.44367613623508e+001,9.35004510276873e+001,1666.625675
1.00E+07,6.24425795782179e+001,9.27838958274683e+001,1324.734903
1.26E+07,6.04463007453310e+001,9.22130589483337e+001,1052.725244
1.58E+07,5.84486688079797e+001,9.17587753298968e+001,836.4373943
2.00E+07,5.64501710527158e+001,9.13974917800070e+001,664.5207593
2.51E+07,5.44511221756903e+001,9.11102953994728e+001,527.9054052
3.16E+07,5.24517236531347e+001,9.08820577311876e+001,419.3592073
3.98E+07,5.04521037862980e+001,9.07007079881163e+001,333.1234375
5.01E+07,4.84523440139774e+001,9.05566307109957e+001,264.6166705
6.31E+07,4.64524959358631e+001,9.04421742653315e+001,210.1961692
7.94E+07,4.44525922218654e+001,9.03512537118184e+001,166.9666029
1.00E+08,4.24526535585959e+001,9.02790319088483e+001,132.6272235
1.26E+08,4.04526930463776e+001,9.02216644394752e+001,105.3500273
1.58E+08,3.84527189598241e+001,9.01760961469188e+001,83.68275084
2.00E+08,3.64527364647187e+001,9.01398992356121e+001,66.47170571
2.51E+08,3.44527486937020e+001,9.01111447621466e+001,52.800427
3.16E+08,3.24527574638875e+001,9.00883007240471e+001,41.94091232
3.98E+08,3.04527638038060e+001,9.00701509839771e+001,33.31487516
5.01E+08,2.84527683356224e+001,9.00557303962492e+001,26.46295978
6.31E+08,2.64527715019947e+001,9.00442728351515e+001,21.02028379
7.94E+08,2.44527736588530e+001,9.00351698239789e+001,16.69700906
1.00E+09,2.24527750955345e+001,9.00279378509673e+001,13.26290793
1.26E+09,2.04527760360453e+001,9.00221926064358e+001,10.53510338
1.58E+09,1.84527766441218e+001,9.00176286223596e+001,8.368330659
2.00E+09,1.64527770339305e+001,9.00140031226003e+001,6.647201618
2.51E+09,1.44527772824077e+001,9.00111231827307e+001,5.280060078
3.16E+09,1.24527774402124e+001,9.00088355123376e+001,4.194100878
3.98E+09,1.04527775401943e+001,9.00070183242822e+001,3.331492785
5.01E+09,8.45277760344488e+000,9.00055748669107e+001,2.646298802
6.31E+09,6.45277764341978e+000,9.00044282811133e+001,2.102029866
7.94E+09,4.45277766866880e+000,9.00035175121943e+001,1.669701677
1.00E+10,2.45277768461045e+000,9.00027940609953e+001,1.326291188
1.26E+10,4.52777694673180e-001,9.00022194024124e+001,1.05351054
1.58E+10,-1.54722229897599e+000,9.00017629344388e+001,0.8368331677
2.00E+10,-3.54722229496821e+000,9.00014003488205e+001,0.6647202132
2.51E+10,-5.54722229243921e+000,9.00011123367167e+001,0.5280060337
3.16E+10,-7.54722229084341e+000,9.00008835605158e+001,0.4194101007
3.98E+10,-9.54722228983649e+000,9.00007018370925e+001,0.333149285
5.01E+10,-1.15472222892011e+001,9.00005574890326e+001,0.2646298835
6.31E+10,-1.35472222888003e+001,9.00004428292861e+001,0.2102029882
7.94E+10,-1.55472222885473e+001,9.00003517518086e+001,0.1669701686
1.00E+11,-1.75472222883877e+001,9.00002794063949e+001,0.1326291192
