Freq.,amp DB,fase,zin NO DB
,,,
1.00E+01,8.19273397601008e+001,1.79999448002734e+002,12484.38025
1.26E+01,8.19273397597471e+001,1.79999305076615e+002,12484.38025
1.58E+01,8.19273397591866e+001,1.79999125143291e+002,12484.38025
2.00E+01,8.19273397582981e+001,1.79998898620658e+002,12484.38025
2.51E+01,8.19273397568900e+001,1.79998613445560e+002,12484.38025
3.16E+01,8.19273397546583e+001,1.79998254431382e+002,12484.38024
3.98E+01,8.19273397511213e+001,1.79997802459313e+002,12484.38024
5.01E+01,8.19273397455154e+001,1.79997233460193e+002,12484.38023
6.31E+01,8.19273397366308e+001,1.79996517132750e+002,12484.38022
7.94E+01,8.19273397225497e+001,1.79995615329944e+002,12484.3802
1.00E+02,8.19273397002326e+001,1.79994480027507e+002,12484.38017
1.26E+02,8.19273396648624e+001,1.79993050766481e+002,12484.38011
1.58E+02,8.19273396088045e+001,1.79991251433579e+002,12484.38003
2.00E+02,8.19273395199587e+001,1.79988986207911e+002,12484.37991
2.51E+02,8.19273393791479e+001,1.79986134458248e+002,12484.3797
3.16E+02,8.19273391559783e+001,1.79982544319113e+002,12484.37938
3.98E+02,8.19273388022797e+001,1.79978024603689e+002,12484.37887
5.01E+02,8.19273382417087e+001,1.79972334623006e+002,12484.37807
6.31E+02,8.19273373532720e+001,1.79965171369550e+002,12484.37679
7.94E+02,8.19273359452166e+001,1.79956153383342e+002,12484.37477
1.00E+03,8.19273337136535e+001,1.79944800442463e+002,12484.37156
1.26E+03,8.19273301770011e+001,1.79930507998780e+002,12484.36648
1.58E+03,8.19273245721282e+001,1.79912515002087e+002,12484.35842
2.00E+03,8.19273156898655e+001,1.79889863408359e+002,12484.34565
2.51E+03,8.19273016145928e+001,1.79861347234059e+002,12484.32542
3.16E+03,8.19272793122224e+001,1.79825448479771e+002,12484.29337
3.98E+03,8.19272439789779e+001,1.79780256582913e+002,12484.24258
5.01E+03,8.19271880137278e+001,1.79723367252584e+002,12484.16215
6.31E+03,8.19270994003337e+001,1.79651755579268e+002,12484.03478
7.94E+03,8.19269591713610e+001,1.79561617208281e+002,12483.83324
1.00E+04,8.19267374561028e+001,1.79448170169112e+002,12483.51458
1.26E+04,8.19263873821334e+001,1.79305408781623e+002,12483.01146
1.58E+04,8.19258358043697e+001,1.79125800108684e+002,12482.21878
2.00E+04,8.19249695271387e+001,1.78899912862077e+002,12480.97394
2.51E+04,8.19236154937935e+001,1.78615968172229e+002,12479.02845
3.16E+04,8.19215135363272e+001,1.78259299077664e+002,12476.00893
3.98E+04,8.19182806117153e+001,1.77811694712632e+002,12471.36617
5.01E+04,8.19133644309065e+001,1.77250575124916e+002,12464.30942
6.31E+04,8.19059769848769e+001,1.76547891171487e+002,12453.71289
7.94E+04,8.18949773502377e+001,1.75668617953097e+002,12437.95174
1.00E+05,8.18786411212489e+001,1.74568831175576e+002,12414.5807
1.26E+05,8.18542388763886e+001,1.73193688910321e+002,12379.75198
1.58E+05,8.18173738122276e+001,1.71475976303968e+002,12327.32059
2.00E+05,8.17610642127776e+001,1.69335966797916e+002,12247.66251
2.51E+05,8.16745523305010e+001,1.66683524874033e+002,12126.28068
3.16E+05,8.15418413211641e+001,1.63424154310407e+002,11942.41245
3.98E+05,8.13401537546674e+001,1.59471841182493e+002,11668.30272
5.01E+05,8.10389671453550e+001,1.54771773411497e+002,11270.63427
6.31E+05,8.06009357515901e+001,1.49333117900728e+002,10716.34749
7.94E+05,7.99863410442558e+001,1.43263691822987e+002,9984.286904
1.00E+06,7.91616371176571e+001,1.36786567689776e+002,9079.916524
1.26E+06,7.81095672005718e+001,1.30215613760529e+002,8044.116654
1.58E+06,7.68353555152975e+001,1.23887386217124e+002,6946.527763
2.00E+06,7.53647566231020e+001,1.18080775998219e+002,5864.592372
2.51E+06,7.37353448327395e+001,1.12966736877166e+002,4861.465876
3.16E+06,7.19865443942675e+001,1.08604622182968e+002,3974.909267
3.98E+06,7.01528459689005e+001,1.04970157194918e+002,3218.416888
5.01E+06,6.82611426400772e+001,1.01991159356599e+002,2588.55342
6.31E+06,6.63308860974365e+001,9.95762503869989e+001,2072.737501
7.94E+06,6.43754730974961e+001,9.76328220737002e+001,1654.907236
1.00E+07,6.24038423080852e+001,9.60761971697142e+001,1318.840014
1.26E+07,6.04218376173370e+001,9.48331685968310e+001,1049.764497
1.58E+07,5.84332302625237e+001,9.38424805400160e+001,834.9520073
2.00E+07,5.64404338970354e+001,9.30538782035814e+001,663.776228
2.51E+07,5.44449852200834e+001,9.24266287609923e+001,527.532549
3.16E+07,5.24478593593682e+001,9.19279647177869e+001,419.1726787
3.98E+07,5.04496737948213e+001,9.15316499413782e+001,333.0302549
5.01E+07,4.84508190151570e+001,9.12167396558164e+001,264.5702153
6.31E+07,4.64515417552733e+001,9.09665442343545e+001,210.1730796
7.94E+07,4.44519978351600e+001,9.07677802291178e+001,166.9551775
1.00E+08,4.24522856266837e+001,9.06098829741366e+001,132.6216056
