Freq.,amp DB,fase,ZIN NO DB
,,,
1.00E+01,8.19273413328375e+001,1.79999458351399e+002,12484.38251
1.26E+01,8.19273413326075e+001,1.79999318104812e+002,12484.38251
1.58E+01,8.19273413322429e+001,1.79999141544820e+002,12484.38251
2.00E+01,8.19273413316650e+001,1.79998919268959e+002,12484.38251
2.51E+01,8.19273413307492e+001,1.79998639440229e+002,12484.38251
3.16E+01,8.19273413292977e+001,1.79998287156731e+002,12484.38251
3.98E+01,8.19273413269973e+001,1.79997843658082e+002,12484.3825
5.01E+01,8.19273413233514e+001,1.79997285326364e+002,12484.3825
6.31E+01,8.19273413175729e+001,1.79996582428377e+002,12484.38249
7.94E+01,8.19273413084148e+001,1.79995697532240e+002,12484.38248
1.00E+02,8.19273412939000e+001,1.79994583514009e+002,12484.38246
1.26E+02,8.19273412708957e+001,1.79993181048156e+002,12484.38242
1.58E+02,8.19273412344363e+001,1.79991415448267e+002,12484.38237
2.00E+02,8.19273411766521e+001,1.79989192689724e+002,12484.38229
2.51E+02,8.19273410850703e+001,1.79986394402559e+002,12484.38216
3.16E+02,8.19273409399230e+001,1.79982871567836e+002,12484.38195
3.98E+02,8.19273407098799e+001,1.79978436581878e+002,12484.38162
5.01E+02,8.19273403452863e+001,1.79972853265746e+002,12484.38109
6.31E+02,8.19273397674443e+001,1.79965824287966e+002,12484.38026
7.94E+02,8.19273388516267e+001,1.79956975330778e+002,12484.37895
1.00E+03,8.19273374001541e+001,1.79945835156815e+002,12484.37686
1.26E+03,8.19273350997261e+001,1.79931810514926e+002,12484.37355
1.58E+03,8.19273314537961e+001,1.79914154549237e+002,12484.36831
2.00E+03,8.19273256753932e+001,1.79891927030059e+002,12484.36001
2.51E+03,8.19273165172587e+001,1.79863944290600e+002,12484.34684
3.16E+03,8.19273020026363e+001,1.79828716207123e+002,12484.32598
3.98E+03,8.19272789986170e+001,1.79784366873796e+002,12484.29292
5.01E+03,8.19272425399720e+001,1.79728534762479e+002,12484.24052
6.31E+03,8.19271847575886e+001,1.79658247079690e+002,12484.15747
7.94E+03,8.19270931803774e+001,1.79569761687825e+002,12484.02584
1.00E+04,8.19269480445358e+001,1.79458368288164e+002,12483.81724
1.26E+04,8.19267180304211e+001,1.79318138508861e+002,12483.48666
1.58E+04,8.19263535094716e+001,1.79141612049733e+002,12482.96278
2.00E+04,8.19257758501429e+001,1.78919403087970e+002,12482.13262
2.51E+04,8.19248604911574e+001,1.78639707813681e+002,12480.81726
3.16E+04,8.19234101701031e+001,1.78287690511482e+002,12478.73346
3.98E+04,8.19211126332302e+001,1.77844722735489e+002,12475.4331
5.01E+04,8.19174739595719e+001,1.77287449428027e+002,12470.20801
6.31E+04,8.19117137605111e+001,1.76586660663192e+002,12461.94092
7.94E+04,8.19026012596299e+001,1.75705964833763e+002,12448.87376
1.00E+05,8.18882008977762e+001,1.74600301698781e+002,12428.25184
1.26E+05,8.18654824438532e+001,1.73214426117691e+002,12395.78749
1.58E+05,8.18297354339012e+001,1.71481677493360e+002,12344.87713
2.00E+05,8.17737184839167e+001,1.69323689538680e+002,12265.51885
2.51E+05,8.16864906653213e+001,1.66652260796821e+002,12142.95913
3.16E+05,8.15519578659142e+001,1.63375400176088e+002,11956.33
3.98E+05,8.13473921141948e+001,1.59410300005814e+002,11678.03051
5.01E+05,8.10426049455639e+001,1.54705720120824e+002,11275.3556
6.31E+05,8.06009836524961e+001,1.49273199315597e+002,10716.40659
7.94E+05,7.99837760237652e+001,1.43219205772604e+002,9981.338891
1.00E+06,7.91580622645706e+001,1.36760934167436e+002,9076.180271
1.26E+06,7.81063787659417e+001,1.30205341225488e+002,8041.164345
1.58E+06,7.68331642452248e+001,1.23885822774797e+002,6944.775519
2.00E+06,7.53634994019136e+001,1.18082455014027e+002,5863.743575
2.51E+06,7.37347087261290e+001,1.12968829623938e+002,4861.109862
3.16E+06,7.19862487707728e+001,1.08606203960257e+002,3974.773984
3.98E+06,7.01527160263584e+001,1.04971153924622e+002,3218.36874
5.01E+06,6.82610875227309e+001,1.01991732457257e+002,2588.536994
6.31E+06,6.63308632336003e+001,9.95765636210832e+001,2072.732045
7.94E+06,6.43754637399624e+001,9.76329884946852e+001,1654.905453
1.00E+07,6.24038385069512e+001,9.60762843169276e+001,1318.839437
1.26E+07,6.04218360781780e+001,9.48332140152614e+001,1049.764311
1.58E+07,5.84332296390295e+001,9.38425042892828e+001,834.9519474
2.00E+07,5.64404336434587e+001,9.30538907624349e+001,663.7762086
2.51E+07,5.44449851161100e+001,9.24266355358315e+001,527.5325427
3.16E+07,5.24478593161589e+001,9.19279684820192e+001,419.1726766
3.98E+07,5.04496737764958e+001,9.15316521167921e+001,333.0302542
5.01E+07,4.84508190071584e+001,9.12167409742331e+001,264.5702151
6.31E+07,4.64515417516467e+001,9.09665450759248e+001,210.1730795
7.94E+07,4.44519978334375e+001,9.07677807943840e+001,166.9551775
1.00E+08,4.24522856258222e+001,9.06098833713713e+001,132.6216056
