Freq.	V(vin)/I(R6)
1.00000000000000e+000	(6.79575131002144e+001dB,-1.79999433136885e+002°)
1.25892541179417e+000	(6.79575131010222e+001dB,-1.79999286361619e+002°)
1.58489319246111e+000	(6.79575131023026e+001dB,-1.79999101582508e+002°)
1.99526231496888e+000	(6.79575131043318e+001dB,-1.79998868959389e+002°)
2.51188643150958e+000	(6.79575131075479e+001dB,-1.79998576104234e+002°)
3.16227766016838e+000	(6.79575131126450e+001dB,-1.79998207421439e+002°)
3.98107170553497e+000	(6.79575131207235e+001dB,-1.79997743277300e+002°)
5.01187233627272e+000	(6.79575131335270e+001dB,-1.79997158954452e+002°)
6.30957344480194e+000	(6.79575131538191e+001dB,-1.79996423335577e+002°)
7.94328234724282e+000	(6.79575131859800e+001dB,-1.79995497246296e+002°)
1.00000000000000e+001	(6.79575132369515e+001dB,-1.79994331368993e+002°)
1.25892541179417e+001	(6.79575133177359e+001dB,-1.79992863616483e+002°)
1.58489319246111e+001	(6.79575134457706e+001dB,-1.79991015825657e+002°)
1.99526231496888e+001	(6.79575136486920e+001dB,-1.79988689595044e+002°)
2.51188643150958e+001	(6.79575139703005e+001dB,-1.79985761044638e+002°)
3.16227766016838e+001	(6.79575144800157e+001dB,-1.79982074218964e+002°)
3.98107170553498e+001	(6.79575152878596e+001dB,-1.79977432782131e+002°)
5.01187233627273e+001	(6.79575165682054e+001dB,-1.79971589562744e+002°)
6.30957344480194e+001	(6.79575185974153e+001dB,-1.79964233392130e+002°)
7.94328234724283e+001	(6.79575218134932e+001dB,-1.79954972535500e+002°)
1.00000000000000e+002	(6.79575269106250e+001dB,-1.79943313834665e+002°)
1.25892541179417e+002	(6.79575349890139e+001dB,-1.79928636453612e+002°)
1.58489319246112e+002	(6.79575477923461e+001dB,-1.79910158832764e+002°)
1.99526231496888e+002	(6.79575680841308e+001dB,-1.79886897100098e+002°)
2.51188643150958e+002	(6.79576002441176e+001dB,-1.79857612740238e+002°)
3.16227766016838e+002	(6.79576512134461e+001dB,-1.79820746766434e+002°)
3.98107170553498e+002	(6.79577319923395e+001dB,-1.79774336953073e+002°)
5.01187233627273e+002	(6.79578600131121e+001dB,-1.79715913847213e+002°)
6.30957344480194e+002	(6.79580628994397e+001dB,-1.79642370273012e+002°)
7.94328234724283e+002	(6.79583844201411e+001dB,-1.79549797881375e+002°)
1.00000000000000e+003	(6.79588939145995e+001dB,-1.79433283040572e+002°)
1.25892541179417e+003	(6.79597012042201e+001dB,-1.79286653190326e+002°)
1.58489319246112e+003	(6.79609801582036e+001dB,-1.79102164116384e+002°)
1.99526231496888e+003	(6.79630058740991e+001dB,-1.78870119369857e+002°)
2.51188643150959e+003	(6.79662131827300e+001dB,-1.78578417181223e+002°)
3.16227766016839e+003	(6.79712883171760e+001dB,-1.78212031581431e+002°)
3.98107170553498e+003	(6.79793115704121e+001dB,-1.77752460632447e+002°)
5.01187233627273e+003	(6.79919768793261e+001dB,-1.77177230045201e+002°)
