Freq.	V(vin)/I(R6)
1.00000000000000e+000	(8.79371216094231e+001dB,1.79999898111910e+002°)
1.25892541179417e+000	(8.79371216094154e+001dB,1.79999871730494e+002°)
1.58489319246111e+000	(8.79371216094032e+001dB,1.79999838518260e+002°)
1.99526231496888e+000	(8.79371216093838e+001dB,1.79999796706533e+002°)
2.51188643150958e+000	(8.79371216093532e+001dB,1.79999744068689e+002°)
3.16227766016838e+000	(8.79371216093046e+001dB,1.79999677801569e+002°)
3.98107170553497e+000	(8.79371216092277e+001dB,1.79999594376207e+002°)
5.01187233627272e+000	(8.79371216091057e+001dB,1.79999489349900e+002°)
6.30957344480194e+000	(8.79371216089123e+001dB,1.79999357129612e+002°)
7.94328234724282e+000	(8.79371216086060e+001dB,1.79999190674132e+002°)
1.00000000000000e+001	(8.79371216081204e+001dB,1.79998981119099e+002°)
1.25892541179417e+001	(8.79371216073507e+001dB,1.79998717304942e+002°)
1.58489319246111e+001	(8.79371216061310e+001dB,1.79998385182596e+002°)
1.99526231496888e+001	(8.79371216041977e+001dB,1.79997967065335e+002°)
2.51188643150958e+001	(8.79371216011338e+001dB,1.79997440686890e+002°)
3.16227766016838e+001	(8.79371215962777e+001dB,1.79996778015691e+002°)
3.98107170553498e+001	(8.79371215885814e+001dB,1.79995943762079e+002°)
5.01187233627273e+001	(8.79371215763835e+001dB,1.79994893499009e+002°)
6.30957344480194e+001	(8.79371215570513e+001dB,1.79993571296147e+002°)
7.94328234724283e+001	(8.79371215264117e+001dB,1.79991906741373e+002°)
1.00000000000000e+002	(8.79371214778512e+001dB,1.79989811191087e+002°)
1.25892541179417e+002	(8.79371214008881e+001dB,1.79987173049617e+002°)
1.58489319246112e+002	(8.79371212789096e+001dB,1.79983851826354e+002°)
1.99526231496888e+002	(8.79371210855869e+001dB,1.79979670654136e+002°)
2.51188643150958e+002	(8.79371207791911e+001dB,1.79974406870472e+002°)
3.16227766016838e+002	(8.79371202935864e+001dB,1.79967780160036e+002°)
3.98107170553498e+002	(8.79371195239550e+001dB,1.79959437627034e+002°)
5.01187233627273e+002	(8.79371183041717e+001dB,1.79948935002557e+002°)
6.30957344480194e+002	(8.79371163709462e+001dB,1.79935712986335e+002°)
7.94328234724283e+002	(8.79371133069921e+001dB,1.79919067463344e+002°)
1.00000000000000e+003	(8.79371084509564e+001dB,1.79898112009867e+002°)
1.25892541179417e+003	(8.79371007546696e+001dB,1.79871730693696e+002°)
1.58489319246112e+003	(8.79370885569052e+001dB,1.79838518657654e+002°)
1.99526231496888e+003	(8.79370692248219e+001dB,1.79796707327721e+002°)
2.51188643150959e+003	(8.79370385857114e+001dB,1.79744070273704e+002°)
3.16227766016839e+003	(8.79369900264382e+001dB,1.79677804730883e+002°)
3.98107170553498e+003	(8.79369130662927e+001dB,1.79594382516481e+002°)
5.01187233627273e+003	(8.79367910954851e+001dB,1.79489362488033e+002°)
6.30957344480195e+003	(8.79365977918236e+001dB,1.79357154728551e+002°)
7.94328234724283e+003	(8.79362914438508e+001dB,1.79190724243864e+002°)
1.00000000000000e+004	(8.79358059594484e+001dB,1.78981219077587e+002°)
1.25892541179417e+004	(8.79350366300605e+001dB,1.78717504404119e+002°)
1.58489319246112e+004	(8.79338176052084e+001dB,1.78385580506563e+002°)
1.99526231496889e+004	(8.79318862840575e+001dB,1.77967859053594e+002°)
2.51188643150959e+004	(8.79288271105390e+001dB,1.77442269880348e+002°)
3.16227766016839e+004	(8.79239830719296e+001dB,1.76781172002153e+002°)
3.98107170553498e+004	(8.79163168751619e+001dB,1.75950052904053e+002°)
5.01187233627274e+004	(8.79041945136114e+001dB,1.74906029284003e+002°)
6.30957344480195e+004	(8.78850511226174e+001dB,1.73596229471512e+002°)
7.94328234724284e+004	(8.78548831824873e+001dB,1.71956277069689e+002°)
1.00000000000000e+005	(8.78074964434917e+001dB,1.69909363478467e+002°)
1.25892541179417e+005	(8.77334388445569e+001dB,1.67366870948339e+002°)
1.58489319246112e+005	(8.76185950315120e+001dB,1.64232245379708e+002°)
1.99526231496889e+005	(8.74425776848848e+001dB,1.60410705976690e+002°)
2.51188643150959e+005	(8.71774051142935e+001dB,1.55827763811624e+002°)
3.16227766016839e+005	(8.67875073204980e+001dB,1.50457704168132e+002°)
