Freq.	V(vin)/I(R5)
1.00000000000000e+001	(8.19273413328375e+001dB,1.79999458351399e+002°)
1.25892541179417e+001	(8.19273413326075e+001dB,1.79999318104812e+002°)
1.58489319246111e+001	(8.19273413322429e+001dB,1.79999141544820e+002°)
1.99526231496888e+001	(8.19273413316650e+001dB,1.79998919268959e+002°)
2.51188643150958e+001	(8.19273413307492e+001dB,1.79998639440229e+002°)
3.16227766016838e+001	(8.19273413292977e+001dB,1.79998287156731e+002°)
3.98107170553497e+001	(8.19273413269973e+001dB,1.79997843658082e+002°)
5.01187233627272e+001	(8.19273413233514e+001dB,1.79997285326364e+002°)
6.30957344480194e+001	(8.19273413175729e+001dB,1.79996582428377e+002°)
7.94328234724282e+001	(8.19273413084148e+001dB,1.79995697532240e+002°)
1.00000000000000e+002	(8.19273412939000e+001dB,1.79994583514009e+002°)
1.25892541179417e+002	(8.19273412708957e+001dB,1.79993181048156e+002°)
1.58489319246111e+002	(8.19273412344363e+001dB,1.79991415448267e+002°)
1.99526231496888e+002	(8.19273411766521e+001dB,1.79989192689724e+002°)
2.51188643150958e+002	(8.19273410850703e+001dB,1.79986394402559e+002°)
3.16227766016838e+002	(8.19273409399230e+001dB,1.79982871567836e+002°)
3.98107170553498e+002	(8.19273407098799e+001dB,1.79978436581878e+002°)
5.01187233627273e+002	(8.19273403452863e+001dB,1.79972853265746e+002°)
6.30957344480194e+002	(8.19273397674443e+001dB,1.79965824287966e+002°)
7.94328234724282e+002	(8.19273388516267e+001dB,1.79956975330778e+002°)
1.00000000000000e+003	(8.19273374001541e+001dB,1.79945835156815e+002°)
1.25892541179417e+003	(8.19273350997261e+001dB,1.79931810514926e+002°)
1.58489319246111e+003	(8.19273314537961e+001dB,1.79914154549237e+002°)
1.99526231496888e+003	(8.19273256753932e+001dB,1.79891927030059e+002°)
2.51188643150958e+003	(8.19273165172587e+001dB,1.79863944290600e+002°)
3.16227766016838e+003	(8.19273020026363e+001dB,1.79828716207123e+002°)
3.98107170553498e+003	(8.19272789986170e+001dB,1.79784366873796e+002°)
5.01187233627273e+003	(8.19272425399720e+001dB,1.79728534762479e+002°)
6.30957344480194e+003	(8.19271847575886e+001dB,1.79658247079690e+002°)
7.94328234724283e+003	(8.19270931803774e+001dB,1.79569761687825e+002°)
1.00000000000000e+004	(8.19269480445358e+001dB,1.79458368288164e+002°)
1.25892541179417e+004	(8.19267180304211e+001dB,1.79318138508861e+002°)
1.58489319246112e+004	(8.19263535094716e+001dB,1.79141612049733e+002°)
1.99526231496888e+004	(8.19257758501429e+001dB,1.78919403087970e+002°)
2.51188643150958e+004	(8.19248604911574e+001dB,1.78639707813681e+002°)
3.16227766016839e+004	(8.19234101701031e+001dB,1.78287690511482e+002°)
3.98107170553498e+004	(8.19211126332302e+001dB,1.77844722735489e+002°)
5.01187233627273e+004	(8.19174739595719e+001dB,1.77287449428027e+002°)
6.30957344480195e+004	(8.19117137605111e+001dB,1.76586660663192e+002°)
7.94328234724283e+004	(8.19026012596299e+001dB,1.75705964833763e+002°)
1.00000000000000e+005	(8.18882008977762e+001dB,1.74600301698781e+002°)
1.25892541179417e+005	(8.18654824438532e+001dB,1.73214426117691e+002°)
1.58489319246112e+005	(8.18297354339012e+001dB,1.71481677493360e+002°)
1.99526231496888e+005	(8.17737184839167e+001dB,1.69323689538680e+002°)
2.51188643150959e+005	(8.16864906653213e+001dB,1.66652260796821e+002°)
3.16227766016839e+005	(8.15519578659142e+001dB,1.63375400176088e+002°)
3.98107170553498e+005	(8.13473921141948e+001dB,1.59410300005814e+002°)
5.01187233627273e+005	(8.10426049455639e+001dB,1.54705720120824e+002°)
6.30957344480195e+005	(8.06009836524961e+001dB,1.49273199315597e+002°)
7.94328234724283e+005	(7.99837760237652e+001dB,1.43219205772604e+002°)
1.00000000000000e+006	(7.91580622645706e+001dB,1.36760934167436e+002°)
1.25892541179417e+006	(7.81063787659417e+001dB,1.30205341225488e+002°)
1.58489319246112e+006	(7.68331642452248e+001dB,1.23885822774797e+002°)
1.99526231496888e+006	(7.53634994019136e+001dB,1.18082455014027e+002°)
2.51188643150959e+006	(7.37347087261290e+001dB,1.12968829623938e+002°)
3.16227766016839e+006	(7.19862487707728e+001dB,1.08606203960257e+002°)
3.98107170553498e+006	(7.01527160263584e+001dB,1.04971153924622e+002°)
5.01187233627274e+006	(6.82610875227309e+001dB,1.01991732457257e+002°)
6.30957344480195e+006	(6.63308632336003e+001dB,9.95765636210832e+001°)
7.94328234724284e+006	(6.43754637399624e+001dB,9.76329884946852e+001°)
1.00000000000000e+007	(6.24038385069512e+001dB,9.60762843169276e+001°)
1.25892541179417e+007	(6.04218360781780e+001dB,9.48332140152614e+001°)
1.58489319246112e+007	(5.84332296390295e+001dB,9.38425042892828e+001°)
1.99526231496889e+007	(5.64404336434587e+001dB,9.30538907624349e+001°)
2.51188643150959e+007	(5.44449851161100e+001dB,9.24266355358315e+001°)
3.16227766016839e+007	(5.24478593161589e+001dB,9.19279684820192e+001°)
3.98107170553499e+007	(5.04496737764958e+001dB,9.15316521167921e+001°)
5.01187233627274e+007	(4.84508190071584e+001dB,9.12167409742331e+001°)
6.30957344480195e+007	(4.64515417516467e+001dB,9.09665450759248e+001°)
7.94328234724284e+007	(4.44519978334375e+001dB,9.07677807943840e+001°)
1.00000000000000e+008	(4.24522856258222e+001dB,9.06098833713713e+001°)
