Freq.	V(vin)/I(R5)
1.00000000000000e+001	(1.01830218680041e+002dB,1.79994654182454e+002°)
1.25892541179417e+001	(1.01830218657922e+002dB,1.79993270014456e+002°)
1.58489319246111e+001	(1.01830218622866e+002dB,1.79991527450200e+002°)
1.99526231496888e+001	(1.01830218567306e+002dB,1.79989333691800e+002°)
2.51188643150958e+001	(1.01830218479248e+002dB,1.79986571913647e+002°)
3.16227766016838e+001	(1.01830218339687e+002dB,1.79983095041040e+002°)
3.98107170553497e+001	(1.01830218118497e+002dB,1.79978717917941e+002°)
5.01187233627272e+001	(1.01830217767935e+002dB,1.79973207446802e+002°)
6.30957344480194e+001	(1.01830217212331e+002dB,1.79966270175370e+002°)
7.94328234724282e+001	(1.01830216331759e+002dB,1.79957536669508e+002°)
1.00000000000000e+002	(1.01830214936147e+002dB,1.79946541839902e+002°)
1.25892541179417e+002	(1.01830212724251e+002dB,1.79932700175212e+002°)
1.58489319246111e+002	(1.01830209218634e+002dB,1.79915274563165e+002°)
1.99526231496888e+002	(1.01830203662612e+002dB,1.79893337040034e+002°)
2.51188643150958e+002	(1.01830194856925e+002dB,1.79865719379970e+002°)
3.16227766016838e+002	(1.01830180900889e+002dB,1.79830950896238e+002°)
3.98107170553498e+002	(1.01830158782154e+002dB,1.79787180148783e+002°)
5.01187233627273e+002	(1.01830123726551e+002dB,1.79732076402152e+002°)
6.30957344480194e+002	(1.01830068167745e+002dB,1.79662705612783e+002°)
7.94328234724282e+002	(1.01829980114428e+002dB,1.79575374394870e+002°)
1.00000000000000e+003	(1.01829840562982e+002dB,1.79465433761811e+002°)
1.25892541179417e+003	(1.01829619398029e+002dB,1.79327032403971e+002°)
1.58489319246111e+003	(1.01829268898270e+002dB,1.79152806787145e+002°)
1.99526231496888e+003	(1.01828713451526e+002dB,1.78933492412148e+002°)
2.51188643150958e+003	(1.01827833273251e+002dB,1.78657437215355e+002°)
3.16227766016838e+003	(1.01826438649993e+002dB,1.78309994545946e+002°)
3.98107170553498e+003	(1.01824229238037e+002dB,1.77872770055718e+002°)
5.01187233627273e+003	(1.01820729856837e+002dB,1.77322695624814e+002°)
6.30957344480194e+003	(1.01815189480697e+002dB,1.76630907203246e+002°)
7.94328234724283e+003	(1.01806423028532e+002dB,1.75761418453438e+002°)
1.00000000000000e+004	(1.01792565283984e+002dB,1.74669620650396e+002°)
1.25892541179417e+004	(1.01770692414944e+002dB,1.73300724587746e+002°)
1.58489319246112e+004	(1.01736250337648e+002dB,1.71588433217474e+002°)
1.99526231496888e+004	(1.01682216737188e+002dB,1.69454459676217e+002°)
2.51188643150958e+004	(1.01597932948376e+002dB,1.66810066885331e+002°)
3.16227766016839e+004	(1.01467614913263e+002dB,1.63561642099961e+002°)
3.98107170553498e+004	(1.01268765383350e+002dB,1.59623228374368e+002°)
5.01187233627273e+004	(1.00971150656649e+002dB,1.54939021718616e+002°)
6.30957344480195e+004	(1.00537636946960e+002dB,1.49516040391876e+002°)
7.94328234724283e+004	(9.99285262305479e+001dB,1.43459041092299e+002°)
1.00000000000000e+005	(9.91100078662061e+001dB,1.36987993559635e+002°)
1.25892541179417e+005	(9.80642975416923e+001dB,1.30414945041728e+002°)
1.58489319246112e+005	(9.67960082750317e+001dB,1.24076858017960e+002°)
1.99526231496888e+005	(9.53304315911008e+001dB,1.18255051549530e+002°)
2.51188643150959e+005	(9.37049527558409e+001dB,1.13123799481372e+002°)
3.16227766016839e+005	(9.19590565774926e+001dB,1.08745548700820e+002°)
3.98107170553498e+005	(9.01274508718048e+001dB,1.05098392459416e+002°)
5.01187233627273e+005	(8.82373388479611e+001dB,1.02111835833507e+002°)
6.30957344480195e+005	(8.63085930382250e+001dB,9.96956135309517e+001°)
7.94328234724283e+005	(8.43552258001938e+001dB,9.77570209656047e+001°)
1.00000000000000e+006	(8.23869202171862e+001dB,9.62077999931093e+001°)
1.25892541179417e+006	(8.04096703205516e+001dB,9.49660131626486e+001°)
1.58489319246112e+006	(7.84259656999256e+001dB,9.39634996445126e+001°)
1.99526231496888e+006	(7.64366981845614e+001dB,9.31540852554764e+001°)
2.51188643150959e+006	(7.44432018529844e+001dB,9.25054529700803e+001°)
3.16227766016839e+006	(7.24470180876923e+001dB,9.19890026379855e+001°)
3.98107170553498e+006	(7.04492668490532e+001dB,9.15789485565309e+001°)
5.01187233627274e+006	(6.84506135178133e+001dB,9.12535941189604e+001°)
6.30957344480195e+006	(6.64514328562365e+001dB,9.09954230042246e+001°)
7.94328234724284e+006	(6.44519374538828e+001dB,9.07905099247859e+001°)
1.00000000000000e+007	(6.24522508569063e+001dB,9.06278293796366e+001°)
1.25892541179417e+007	(6.04524466098420e+001dB,9.04986539459169e+001°)
1.58489319246112e+007	(5.84525693270255e+001dB,9.03960701930188e+001°)
1.99526231496889e+007	(5.64526464396075e+001dB,9.03145972469972e+001°)
2.51188643150959e+007	(5.44526949681787e+001dB,9.02498871835034e+001°)
3.16227766016839e+007	(5.24527255373844e+001dB,9.01984892815024e+001°)
3.98107170553499e+007	(5.04527448052387e+001dB,9.01576640516881e+001°)
5.01187233627274e+007	(4.84527569544654e+001dB,9.01252362105049e+001°)
6.30957344480195e+007	(4.64527646169370e+001dB,9.00994782580704e+001°)
7.94328234724284e+007	(4.44527694503669e+001dB,9.00790181885784e+001°)
1.00000000000000e+008	(4.24527724995521e+001dB,9.00627662777005e+001°)
