Freq.	V(vout)/V(vin)
5.00000000000000e+001	(1.99959313354846e+001dB,1.79949455710721e+002°)
5.11646496140377e+001	(1.99959128861486e+001dB,1.79948400380519e+002°)
5.23564274025450e+001	(1.99958944387269e+001dB,1.79947323259390e+002°)
5.35759652618803e+001	(1.99958760123550e+001dB,1.79946223768413e+002°)
5.48239098071592e+001	(1.99958576260422e+001dB,1.79945101308005e+002°)
5.61009227150982e+001	(1.99958392985904e+001dB,1.79943955257700e+002°)
5.74076810748441e+001	(1.99958210485140e+001dB,1.79942784975968e+002°)
5.87448777469765e+001	(1.99958028939628e+001dB,1.79941589800069e+002°)
6.01132217308706e+001	(1.99957848526471e+001dB,1.79940369045939e+002°)
6.15134385406190e+001	(1.99957669417674e+001dB,1.79939122008116e+002°)
6.29462705897083e+001	(1.99957491779476e+001dB,1.79937847959684e+002°)
6.44124775846567e+001	(1.99957315771734e+001dB,1.79936546152251e+002°)
6.59128369278203e+001	(1.99957141547356e+001dB,1.79935215815948e+002°)
6.74481441295826e+001	(1.99956969251789e+001dB,1.79933856159436e+002°)
6.90192132301442e+001	(1.99956799022563e+001dB,1.79932466369936e+002°)
7.06268772311377e+001	(1.99956630988902e+001dB,1.79931045613265e+002°)
7.22719885372963e+001	(1.99956465271383e+001dB,1.79929593033871e+002°)
7.39554194084103e+001	(1.99956301981672e+001dB,1.79928107754877e+002°)
7.56780624218103e+001	(1.99956141222306e+001dB,1.79926588878109e+002°)
7.74408309456240e+001	(1.99955983086545e+001dB,1.79925035484123e+002°)
7.92446596230556e+001	(1.99955827658280e+001dB,1.79923446632218e+002°)
8.10905048679464e+001	(1.99955675011998e+001dB,1.79921821360428e+002°)
8.29793453718780e+001	(1.99955525212799e+001dB,1.79920158685500e+002°)
8.49121826230871e+001	(1.99955378316465e+001dB,1.79918457602841e+002°)
8.68900414374687e+001	(1.99955234369579e+001dB,1.79916717086444e+002°)
8.89139705019460e+001	(1.99955093409682e+001dB,1.79914936088782e+002°)
9.09850429304991e+001	(1.99954955465474e+001dB,1.79913113540672e+002°)
9.31043568331433e+001	(1.99954820557050e+001dB,1.79911248351104e+002°)
9.52730358981622e+001	(1.99954688696166e+001dB,1.79909339407035e+002°)
9.74922299879021e+001	(1.99954559886533e+001dB,1.79907385573148e+002°)
9.97631157484438e+001	(1.99954434124133e+001dB,1.79905385691573e+002°)
1.02086897233476e+002	(1.99954311397552e+001dB,1.79903338581568e+002°)
1.04464806542702e+002	(1.99954191688333e+001dB,1.79901243039167e+002°)
1.06898104475111e+002	(1.99954074971337e+001dB,1.79899097836779e+002°)
1.09388081197477e+002	(1.99953961215103e+001dB,1.79896901722764e+002°)
1.11936056928417e+002	(1.99953850382229e+001dB,1.79894653420954e+002°)
1.14543382638388e+002	(1.99953742429736e+001dB,1.79892351630147e+002°)
1.17211440765996e+002	(1.99953637309437e+001dB,1.79889995023561e+002°)
1.19941645950974e+002	(1.99953534968306e+001dB,1.79887582248252e+002°)
1.22735445784251e+002	(1.99953435348829e+001dB,1.79885111924494e+002°)
1.25594321575479e+002	(1.99953338389351e+001dB,1.79882582645125e+002°)
1.28519789138443e+002	(1.99953244024411e+001dB,1.79879992974863e+002°)
1.31513399594769e+002	(1.99953152185064e+001dB,1.79877341449579e+002°)
1.34576740196346e+002	(1.99953062799185e+001dB,1.79874626575554e+002°)
1.37711435166908e+002	(1.99952975791763e+001dB,1.79871846828686e+002°)
1.40919146563222e+002	(1.99952891085171e+001dB,1.79869000653682e+002°)
1.44201575156330e+002	(1.99952808599428e+001dB,1.79866086463214e+002°)
1.47560461333319e+002	(1.99952728252432e+001dB,1.79863102637045e+002°)
1.50997586020101e+002	(1.99952649960185e+001dB,1.79860047521134e+002°)
1.54514771625679e+002	(1.99952573636992e+001dB,1.79856919426706e+002°)
1.58113883008419e+002	(1.99952499195646e+001dB,1.79853716629298e+002°)
1.61796828464814e+002	(1.99952426547593e+001dB,1.79850437367788e+002°)
1.65565560741295e+002	(1.99952355603077e+001dB,1.79847079843384e+002°)
1.69422078069601e+002	(1.99952286271274e+001dB,1.79843642218598e+002°)
1.73368425226265e+002	(1.99952218460394e+001dB,1.79840122616194e+002°)
1.77406694616787e+002	(1.99952152077784e+001dB,1.79836519118112e+002°)
1.81539027385050e+002	(1.99952087029998e+001dB,1.79832829764362e+002°)
1.85767614548586e+002	(1.99952023222863e+001dB,1.79829052551903e+002°)
1.90094698160280e+002	(1.99951960561517e+001dB,1.79825185433494e+002°)
1.94522572497140e+002	(1.99951898950445e+001dB,1.79821226316516e+002°)
1.99053585276748e+002	(1.99951838293488e+001dB,1.79817173061782e+002°)
2.03690138902056e+002	(1.99951778493845e+001dB,1.79813023482310e+002°)
2.08434691735167e+002	(1.99951719454060e+001dB,1.79808775342080e+002°)
2.13289759400796e+002	(1.99951661075990e+001dB,1.79804426354759e+002°)
2.18257916120083e+002	(1.99951603260773e+001dB,1.79799974182411e+002°)
2.23341796075481e+002	(1.99951545908766e+001dB,1.79795416434171e+002°)
2.28544094807437e+002	(1.99951488919488e+001dB,1.79790750664897e+002°)
2.33867570643599e+002	(1.99951432191538e+001dB,1.79785974373797e+002°)
2.39315046161319e+002	(1.99951375622512e+001dB,1.79781085003027e+002°)
2.44889409684223e+002	(1.99951319108900e+001dB,1.79776079936262e+002°)
2.50593616813636e+002	(1.99951262545981e+001dB,1.79770956497233e+002°)
2.56430691995682e+002	(1.99951205827701e+001dB,1.79765711948248e+002°)
2.62403730124886e+002	(1.99951148846546e+001dB,1.79760343488667e+002°)
2.68515898185126e+002	(1.99951091493399e+001dB,1.79754848253357e+002°)
2.74770436928812e+002	(1.99951033657392e+001dB,1.79749223311112e+002°)
2.81170662595174e+002	(1.99950975225748e+001dB,1.79743465663041e+002°)
2.87719968668578e+002	(1.99950916083610e+001dB,1.79737572240924e+002°)
2.94421827677794e+002	(1.99950856113865e+001dB,1.79731539905528e+002°)
3.01279793037178e+002	(1.99950795196952e+001dB,1.79725365444898e+002°)
3.08297500930740e+002	(1.99950733210671e+001dB,1.79719045572603e+002°)
3.15478672240096e+002	(1.99950670029964e+001dB,1.79712576925948e+002°)
3.22827114517327e+002	(1.99950605526709e+001dB,1.79705956064153e+002°)
3.30346724003797e+002	(1.99950539569484e+001dB,1.79699179466481e+002°)
3.38041487695990e+002	(1.99950472023331e+001dB,1.79692243530341e+002°)
3.45915485459467e+002	(1.99950402749508e+001dB,1.79685144569338e+002°)
3.53972892192068e+002	(1.99950331605229e+001dB,1.79677878811284e+002°)
3.62217980037494e+002	(1.99950258443387e+001dB,1.79670442396170e+002°)
3.70655120650458e+002	(1.99950183112282e+001dB,1.79662831374091e+002°)
3.79288787514591e+002	(1.99950105455314e+001dB,1.79655041703119e+002°)
3.88123558314345e+002	(1.99950025310685e+001dB,1.79647069247140e+002°)
3.97164117362140e+002	(1.99949942511071e+001dB,1.79638909773636e+002°)
4.06415258082048e+002	(1.99949856883294e+001dB,1.79630558951422e+002°)
4.15881885551334e+002	(1.99949768247969e+001dB,1.79622012348326e+002°)
4.25569019101187e+002	(1.99949676419145e+001dB,1.79613265428824e+002°)
4.35481794978039e+002	(1.99949581203924e+001dB,1.79604313551621e+002°)
4.45625469066872e+002	(1.99949482402066e+001dB,1.79595151967173e+002°)
4.56005419677954e+002	(1.99949379805583e+001dB,1.79585775815157e+002°)
4.66627150398494e+002	(1.99949273198304e+001dB,1.79576180121886e+002°)
4.77496293010717e+002	(1.99949162355432e+001dB,1.79566359797661e+002°)
4.88618610477904e+002	(1.99949047043077e+001dB,1.79556309634063e+002°)
4.99999999999998e+002	(1.99948927017768e+001dB,1.79546024301191e+002°)
5.11646496140375e+002	(1.99948802025950e+001dB,1.79535498344826e+002°)
5.23564274025448e+002	(1.99948671803449e+001dB,1.79524726183541e+002°)
5.35759652618802e+002	(1.99948536074923e+001dB,1.79513702105741e+002°)
5.48239098071591e+002	(1.99948394553284e+001dB,1.79502420266631e+002°)
5.61009227150980e+002	(1.99948246939095e+001dB,1.79490874685123e+002°)
5.74076810748439e+002	(1.99948092919942e+001dB,1.79479059240671e+002°)
5.87448777469763e+002	(1.99947932169777e+001dB,1.79466967670025e+002°)
6.01132217308704e+002	(1.99947764348232e+001dB,1.79454593563925e+002°)
6.15134385406189e+002	(1.99947589099899e+001dB,1.79441930363708e+002°)
6.29462705897081e+002	(1.99947406053585e+001dB,1.79428971357843e+002°)
6.44124775846565e+002	(1.99947214821526e+001dB,1.79415709678384e+002°)
6.59128369278201e+002	(1.99947014998572e+001dB,1.79402138297348e+002°)
6.74481441295825e+002	(1.99946806161326e+001dB,1.79388250023002e+002°)
6.90192132301440e+002	(1.99946587867257e+001dB,1.79374037496069e+002°)
7.06268772311375e+002	(1.99946359653757e+001dB,1.79359493185850e+002°)
7.22719885372961e+002	(1.99946121037170e+001dB,1.79344609386256e+002°)
7.39554194084101e+002	(1.99945871511767e+001dB,1.79329378211744e+002°)
7.56780624218101e+002	(1.99945610548674e+001dB,1.79313791593170e+002°)
7.74408309456238e+002	(1.99945337594760e+001dB,1.79297841273538e+002°)
7.92446596230554e+002	(1.99945052071460e+001dB,1.79281518803662e+002°)
8.10905048679462e+002	(1.99944753373557e+001dB,1.79264815537719e+002°)
8.29793453718777e+002	(1.99944440867897e+001dB,1.79247722628708e+002°)
8.49121826230869e+002	(1.99944113892053e+001dB,1.79230231023803e+002°)
8.68900414374684e+002	(1.99943771752923e+001dB,1.79212331459603e+002°)
8.89139705019458e+002	(1.99943413725263e+001dB,1.79194014457270e+002°)
9.09850429304988e+002	(1.99943039050153e+001dB,1.79175270317561e+002°)
9.31043568331430e+002	(1.99942646933389e+001dB,1.79156089115744e+002°)
9.52730358981620e+002	(1.99942236543809e+001dB,1.79136460696403e+002°)
9.74922299879019e+002	(1.99941807011528e+001dB,1.79116374668123e+002°)
9.97631157484436e+002	(1.99941357426103e+001dB,1.79095820398056e+002°)
1.02086897233476e+003	(1.99940886834606e+001dB,1.79074787006363e+002°)
1.04464806542702e+003	(1.99940394239604e+001dB,1.79053263360536e+002°)
1.06898104475111e+003	(1.99939878597059e+001dB,1.79031238069585e+002°)
1.09388081197477e+003	(1.99939338814113e+001dB,1.79008699478103e+002°)
1.11936056928417e+003	(1.99938773746778e+001dB,1.78985635660192e+002°)
1.14543382638388e+003	(1.99938182197522e+001dB,1.78962034413257e+002°)
1.17211440765996e+003	(1.99937562912735e+001dB,1.78937883251661e+002°)
1.19941645950974e+003	(1.99936914580076e+001dB,1.78913169400235e+002°)
1.22735445784251e+003	(1.99936235825709e+001dB,1.78887879787655e+002°)
1.25594321575478e+003	(1.99935525211391e+001dB,1.78862001039659e+002°)
1.28519789138443e+003	(1.99934781231440e+001dB,1.78835519472122e+002°)
1.31513399594769e+003	(1.99934002309552e+001dB,1.78808421083980e+002°)
1.34576740196345e+003	(1.99933186795474e+001dB,1.78780691549995e+002°)
1.37711435166908e+003	(1.99932332961520e+001dB,1.78752316213359e+002°)
1.40919146563222e+003	(1.99931438998923e+001dB,1.78723280078149e+002°)
1.44201575156330e+003	(1.99930503014021e+001dB,1.78693567801601e+002°)
1.47560461333319e+003	(1.99929523024257e+001dB,1.78663163686231e+002°)
1.50997586020100e+003	(1.99928496954004e+001dB,1.78632051671779e+002°)
1.54514771625679e+003	(1.99927422630182e+001dB,1.78600215326978e+002°)
