Freq.	V(vin)/I(R1)
1.00000000000000e+000	(8.79588878205650e+001dB,5.75379067024665e-005°)
1.25892541179417e+000	(8.79588878205750e+001dB,7.24359328890238e-005°)
1.58489319246111e+000	(8.79588878205909e+001dB,9.11914366407028e-005°)
1.99526231496888e+000	(8.79588878206160e+001dB,1.14803216924388e-004°)
2.51188643150958e+000	(8.79588878206558e+001dB,1.44528687140611e-004°)
3.16227766016838e+000	(8.79588878207189e+001dB,1.81950836972134e-004°)
3.98107170553497e+000	(8.79588878208189e+001dB,2.29062532356586e-004°)
5.01187233627272e+000	(8.79588878209775e+001dB,2.88372642863950e-004°)
6.30957344480194e+000	(8.79588878212287e+001dB,3.63039648148360e-004°)
7.94328234724282e+000	(8.79588878216269e+001dB,4.57039838504251e-004°)
1.00000000000000e+001	(8.79588878222580e+001dB,5.75379066818425e-004°)
1.25892541179417e+001	(8.79588878232583e+001dB,7.24359328478731e-004°)
1.58489319246111e+001	(8.79588878248436e+001dB,9.11914365585960e-004°)
1.99526231496888e+001	(8.79588878273561e+001dB,1.14803216760564e-003°)
2.51188643150958e+001	(8.79588878313382e+001dB,1.44528686813740e-003°)
3.16227766016838e+001	(8.79588878376493e+001dB,1.81950836319938e-003°)
3.98107170553498e+001	(8.79588878476519e+001dB,2.29062531055284e-003°)
5.01187233627273e+001	(8.79588878635048e+001dB,2.88372640267513e-003°)
6.30957344480194e+001	(8.79588878886300e+001dB,3.63039642967785e-003°)
7.94328234724283e+001	(8.79588879284507e+001dB,4.57039828167648e-003°)
1.00000000000000e+002	(8.79588879915623e+001dB,5.75379046194186e-003°)
1.25892541179417e+002	(8.79588880915875e+001dB,7.24359287327967e-003°)
1.58489319246112e+002	(8.79588882501167e+001dB,9.11914283479399e-003°)
1.99526231496888e+002	(8.79588885013686e+001dB,1.14803200378151e-002°)
2.51188643150958e+002	(8.79588888995759e+001dB,1.44528654126532e-002°)
3.16227766016838e+002	(8.79588895306919e+001dB,1.81950771100393e-002°)
3.98107170553498e+002	(8.79588905309429e+001dB,2.29062400925211e-002°)
5.01187233627273e+002	(8.79588921162331e+001dB,2.88372380623965e-002°)
6.30957344480194e+002	(8.79588946287467e+001dB,3.63039124911063e-002°)
7.94328234724283e+002	(8.79588986108074e+001dB,4.57038794509427e-002°)
1.00000000000000e+003	(8.79589049219352e+001dB,5.75376983777534e-002°)
1.25892541179417e+003	(8.79589149243665e+001dB,7.24355172274091e-002°)
1.58489319246112e+003	(8.79589307770703e+001dB,9.11906072893884e-002°)
1.99526231496888e+003	(8.79589559017083e+001dB,1.14801562159315e-001°)
2.51188643150959e+003	(8.79589957210626e+001dB,1.44525385476631e-001°)
3.16227766016839e+003	(8.79590588291969e+001dB,1.81944249369928e-001°)
3.98107170553498e+003	(8.79591588456107e+001dB,2.29049388626232e-001°)
5.01187233627273e+003	(8.79593173528094e+001dB,2.88346418509128e-001°)
6.30957344480195e+003	(8.79595685493587e+001dB,3.62987326321807e-001°)
7.94328234724283e+003	(8.79599666177482e+001dB,4.56935451083844e-001°)
1.00000000000000e+004	(8.79605973847745e+001dB,5.75170812926227e-001°)
1.25892541179417e+004	(8.79615967596106e+001dB,7.23943890770753e-001°)
1.58489319246112e+004	(8.79631798498603e+001dB,9.11085722078782e-001°)
1.99526231496889e+004	(8.79656868410245e+001dB,1.14637963957608e+000°)
2.51188643150959e+004	(8.79696550441630e+001dB,1.44199227209953e+000°)
3.16227766016839e+004	(8.79759314205396e+001dB,1.81294308074894e+000°)
3.98107170553498e+004	(8.79858467856216e+001dB,2.27755200648621e+000°)
5.01187233627274e+004	(8.80014816817490e+001dB,2.85772398329528e+000°)
6.30957344480195e+004	(8.80260627283725e+001dB,3.57877259216693e+000°)
7.94328234724284e+004	(8.80645304167741e+001dB,4.46819917579587e+000°)
1.00000000000000e+005	(8.81242967685965e+001dB,5.55236401121871e+000°)
1.25892541179417e+005	(8.82161234775944e+001dB,6.84929798259150e+000°)
1.58489319246112e+005	(8.83548245929852e+001dB,8.35523959734761e+000°)
1.99526231496889e+005	(8.85590464794674e+001dB,1.00227721737147e+001°)
2.51188643150959e+005	(8.88487370112053e+001dB,1.17318632060428e+001°)
3.16227766016839e+005	(8.92385788549394e+001dB,1.32645592108438e+001°)
3.98107170553499e+005	(8.97268793467328e+001dB,1.43087705399168e+001°)
5.01187233627274e+005	(9.02834188590424e+001dB,1.45240309228971e+001°)
6.30957344480196e+005	(9.08452140307135e+001dB,1.36791567497318e+001°)
7.94328234724285e+005	(9.13303883396092e+001dB,1.18090473169067e+001°)
1.00000000000000e+006	(9.16706480820807e+001dB,9.27301856043430e+000°)
1.25892541179417e+006	(9.18437334968334e+001dB,6.62015878376207e+000°)
1.58489319246112e+006	(9.18789993164636e+001dB,4.32914985526423e+000°)
1.99526231496889e+006	(9.18321830585539e+001dB,2.62819784806503e+000°)
2.51188643150959e+006	(9.17544156650963e+001dB,1.50498758064033e+000°)
3.16227766016839e+006	(9.16773435192279e+001dB,8.25339721792515e-001°)
3.98107170553499e+006	(9.16143712026033e+001dB,4.39027413357593e-001°)
5.01187233627275e+006	(9.15678963753166e+001dB,2.28739996603244e-001°)
6.30957344480196e+006	(9.15355819599050e+001dB,1.17550360810381e-001°)
7.94328234724285e+006	(9.15139162100828e+001dB,5.98729431619613e-002°)
1.00000000000000e+007	(9.14997145352162e+001dB,3.03226951202663e-002°)
1.25892541179417e+007	(9.14905361733924e+001dB,1.53028064177753e-002°)
1.58489319246112e+007	(9.14846567649752e+001dB,7.70674175155848e-003°)
1.99526231496889e+007	(9.14809115698968e+001dB,3.87715037493773e-003°)
2.51188643150959e+007	(9.14785342602736e+001dB,1.95005632904388e-003°)
3.16227766016839e+007	(9.14770285797291e+001dB,9.81300467037066e-004°)
3.98107170553499e+007	(9.14760762839162e+001dB,4.94480887690819e-004°)
5.01187233627275e+007	(9.14754745182844e+001dB,2.49793582937532e-004°)
6.30957344480196e+007	(9.14750944681028e+001dB,1.26707165003810e-004°)
7.94328234724286e+007	(9.14748545285346e+001dB,6.46913184386625e-005°)
1.00000000000001e+008	(9.14747030795025e+001dB,3.33607775341910e-005°)
1.25892541179417e+008	(9.14746074987656e+001dB,1.74638087911072e-005°)
1.58489319246112e+008	(9.14745471822961e+001dB,9.34298993721629e-006°)
1.99526231496889e+008	(9.14745091215529e+001dB,5.15136875689951e-006°)
2.51188643150959e+008	(9.14744851054047e+001dB,2.95411863716035e-006°)
3.16227766016840e+008	(9.14744699516652e+001dB,1.77629437554916e-006°)
3.98107170553499e+008	(9.14744603900733e+001dB,1.12515622919340e-006°)
5.01187233627275e+008	(9.14744543570256e+001dB,7.50500253850345e-007°)
6.30957344480197e+008	(9.14744505503936e+001dB,5.24351445161866e-007°)
7.94328234724286e+008	(9.14744481485568e+001dB,3.80525723747476e-007°)
1.00000000000001e+009	(9.14744466330944e+001dB,2.84228843025091e-007°)
