time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	8.973911e-003
2.857142849929266e-007	8.975979e-005	8.946329e-003
5.714285699858532e-007	1.795196e-004	8.904539e-003
8.571428549787799e-007	2.692794e-004	8.848544e-003
1.142857139971706e-006	3.590392e-004	8.778342e-003
1.428571424964633e-006	4.487989e-004	8.693934e-003
1.714285709957560e-006	5.385587e-004	8.595319e-003
1.999999994950485e-006	6.283185e-004	8.482498e-003
9.728827502208724e-006	3.056432e-003	6.054606e-003
1.745765500946696e-005	5.484492e-003	3.626811e-003
2.518648251672520e-005	7.912499e-003	1.199113e-003
3.291531002398344e-005	1.034045e-002	-1.228487e-003
4.064413753124168e-005	1.276835e-002	-3.655991e-003
4.837296503849992e-005	1.519619e-002	-6.083396e-003
5.610179254575814e-005	1.762399e-002	-8.510705e-003
2.763403777022851e-004	8.670588e-002	-7.756262e-002
2.816408522511796e-004	8.836468e-002	-7.728773e-002
2.819457680608959e-004	8.846010e-002	-7.727109e-002
2.823938906334479e-004	8.860033e-002	-7.790134e-002
2.828293291920008e-004	8.873659e-002	-7.916960e-002
2.831680570720298e-004	8.884258e-002	-7.970531e-002
2.836042547138277e-004	8.897907e-002	-7.982964e-002
4.559913893284336e-004	1.431119e-001	-1.339665e-001
6.283785239430395e-004	1.964528e-001	-1.873094e-001
8.007656585576454e-004	2.490016e-001	-2.398582e-001
9.731527931722513e-004	3.007585e-001	-2.916130e-001
1.145539927786857e-003	3.517234e-001	-3.425738e-001
1.317927062401463e-003	4.018963e-001	-3.927406e-001
1.490314197016069e-003	4.512772e-001	-4.421133e-001
1.769358689891858e-003	5.289154e-001	-5.197473e-001
2.048403182767647e-003	6.012241e-001	-5.920536e-001
2.327447675643436e-003	6.682035e-001	-6.590323e-001
2.606492168519225e-003	7.298534e-001	-7.206833e-001
2.885536661395015e-003	7.861740e-001	-7.770067e-001
3.164581154270803e-003	8.371651e-001	-8.280025e-001
3.443625647146592e-003	8.828268e-001	-8.736706e-001
3.994797312838676e-003	9.495081e-001	-9.403720e-001
4.545968978530760e-003	9.876245e-001	-9.785116e-001
5.097140644222844e-003	9.971758e-001	-9.880893e-001
5.648312309914928e-003	9.781622e-001	-9.691051e-001
6.199483975607012e-003	9.305835e-001	-9.215590e-001
6.750655641299097e-003	8.544399e-001	-8.454510e-001
7.301827306991179e-003	7.497313e-001	-7.407811e-001
7.542480208776892e-003	6.967304e-001	-6.877965e-001
7.783133110562603e-003	6.406035e-001	-6.316853e-001
8.023786012348315e-003	5.813505e-001	-5.724478e-001
8.264438914134026e-003	5.189715e-001	-5.100837e-001
8.505091815919739e-003	4.534665e-001	-4.445933e-001
8.745744717705450e-003	3.848354e-001	-3.759763e-001
8.986397619491162e-003	3.130783e-001	-3.042330e-001
9.091833127129275e-003	2.813649e-001	-2.725252e-001
9.197268634767386e-003	2.494313e-001	-2.405971e-001
9.302704142405499e-003	2.172774e-001	-2.084487e-001
9.408139650043610e-003	1.849033e-001	-1.760798e-001
9.513575157681723e-003	1.523090e-001	-1.434906e-001
9.619010665319836e-003	1.194945e-001	-1.106810e-001
9.724446172957948e-003	8.645970e-002	-7.765098e-002
9.725039609319445e-003	8.627397e-002	-7.762006e-002
9.730161489142125e-003	8.467077e-002	-7.810593e-002
9.730478125460556e-003	8.457165e-002	-7.813592e-002
9.730906080912089e-003	8.443769e-002	-7.746292e-002
9.731320352451467e-003	8.430801e-002	-7.606563e-002
9.731626812148012e-003	8.421207e-002	-7.546256e-002
9.732033985411460e-003	8.408461e-002	-7.530620e-002
9.980417215943284e-003	6.152074e-003	2.645869e-003
1.004287375601959e-002	-1.348764e-002	2.228311e-002
1.010533029609589e-002	-3.310330e-002	4.189638e-002
1.016778683617220e-002	-5.269492e-002	6.148567e-002
1.023024337624850e-002	-7.226249e-002	8.105098e-002
1.029269991632480e-002	-9.180602e-002	1.005923e-001
1.035515645640111e-002	-1.113255e-001	1.201097e-001
1.041761299647741e-002	-1.308209e-001	1.396031e-001
1.060258044208800e-002	-1.886437e-001	1.974201e-001
1.078754788769859e-002	-2.453619e-001	2.541334e-001
1.097251533330918e-002	-3.009758e-001	3.097430e-001
1.115748277891977e-002	-3.554852e-001	3.642488e-001
1.134245022453037e-002	-4.088901e-001	4.176508e-001
1.152741767014096e-002	-4.611906e-001	4.699491e-001
1.171238511575155e-002	-5.123866e-001	5.211436e-001
1.201986346689643e-002	-5.942295e-001	6.029857e-001
1.232734181804131e-002	-6.690144e-001	6.777718e-001
1.263482016918619e-002	-7.367414e-001	7.455020e-001
1.294229852033106e-002	-7.974105e-001	8.061762e-001
1.324977687147594e-002	-8.510217e-001	8.597944e-001
1.355725522262082e-002	-8.975749e-001	9.063566e-001
1.386473357376570e-002	-9.370701e-001	9.458628e-001
1.410014668636100e-002	-9.603065e-001	9.691086e-001
1.455794527750398e-002	-9.886570e-001	9.974817e-001
1.501574386864696e-002	-9.975012e-001	1.006350e+000
1.547354245978994e-002	-9.868389e-001	9.957136e-001
1.593134105093292e-002	-9.566703e-001	9.655724e-001
1.638913964207590e-002	-9.069953e-001	9.159264e-001
1.684693823321888e-002	-8.378139e-001	8.467757e-001
1.730473682436185e-002	-7.491261e-001	7.581202e-001
1.754626165695114e-002	-6.958681e-001	7.048787e-001
1.778778648954042e-002	-6.394705e-001	6.484972e-001
1.802931132212970e-002	-5.799333e-001	5.889755e-001
1.827083615471898e-002	-5.172564e-001	5.263139e-001
1.851236098730826e-002	-4.514398e-001	4.605121e-001
1.875388581989754e-002	-3.824837e-001	3.915704e-001
1.899541065248683e-002	-3.103879e-001	3.194885e-001
1.912248481713975e-002	-2.720632e-001	2.811708e-001
1.924955898179268e-002	-2.334542e-001	2.425685e-001
1.937663314644560e-002	-1.945607e-001	2.036814e-001
1.950370731109852e-002	-1.553828e-001	1.645098e-001
1.963078147575145e-002	-1.159205e-001	1.250534e-001
1.975785564040437e-002	-7.617369e-002	8.531242e-002
1.988492980505730e-002	-3.614249e-002	4.528676e-002
1.990531497275434e-002	-2.974114e-002	3.888626e-002
1.992570014045138e-002	-2.333922e-002	3.248518e-002
1.994608530814843e-002	-1.693674e-002	2.608354e-002
1.996647047584547e-002	-1.053369e-002	1.968133e-002
1.998685564354252e-002	-4.130075e-003	1.327854e-002
2.000724081123956e-002	2.274104e-003	6.875180e-003
2.002762597893661e-002	8.678848e-003	4.712506e-004
2.027652668177798e-002	8.676419e-002	-7.759798e-002
2.028559659358590e-002	8.960249e-002	-7.634221e-002
2.028567078732747e-002	8.962570e-002	-7.640919e-002
2.028576419780805e-002	8.965492e-002	-7.672332e-002
2.028585431838773e-002	8.968312e-002	-7.705148e-002
2.028593675304300e-002	8.970892e-002	-7.715799e-002
2.028673704440991e-002	8.995932e-002	-7.705034e-002
2.028753733577683e-002	9.020971e-002	-7.694146e-002
2.028833762714375e-002	9.046011e-002	-7.683135e-002
2.028913791851067e-002	9.071049e-002	-7.672000e-002
2.028993820987758e-002	9.096087e-002	-7.660741e-002
2.029073850124450e-002	9.121124e-002	-7.649359e-002
2.029153879261142e-002	9.146161e-002	-7.637854e-002
2.029162377722111e-002	9.148820e-002	-7.651157e-002
2.029178230161028e-002	9.153780e-002	-7.778736e-002
2.029193614576360e-002	9.158592e-002	-7.962677e-002
2.029207580709806e-002	9.162962e-002	-8.081411e-002
2.029222969246205e-002	9.167776e-002	-8.156319e-002
2.029244651703554e-002	9.174559e-002	-8.216715e-002
2.029269352611501e-002	9.182286e-002	-8.249823e-002
2.029311844905780e-002	9.195579e-002	-8.277404e-002
2.029436552806883e-002	9.234590e-002	-8.318695e-002
2.046011306156492e-002	1.443871e-001	-1.352220e-001
