Freq.	V(vin)/I(R1)
1.00000000000000e+001	(6.79588918168994e+001dB,5.88293605840140e-004°)
1.02329299228075e+001	(6.79588918169832e+001dB,6.01996724249143e-004°)
1.04712854805090e+001	(6.79588918170709e+001dB,6.16019029288707e-004°)
1.07151930523761e+001	(6.79588918171628e+001dB,6.30367955770498e-004°)
1.09647819614319e+001	(6.79588918172589e+001dB,6.45051111685194e-004°)
1.12201845430196e+001	(6.79588918173597e+001dB,6.60076282236330e-004°)
1.14815362149688e+001	(6.79588918174651e+001dB,6.75451433968127e-004°)
1.17489755493953e+001	(6.79588918175756e+001dB,6.91184718989453e-004°)
1.20226443461741e+001	(6.79588918176912e+001dB,7.07284479296177e-004°)
1.23026877081238e+001	(6.79588918178123e+001dB,7.23759251194213e-004°)
1.25892541179417e+001	(6.79588918179391e+001dB,7.40617769825574e-004°)
1.28824955169313e+001	(6.79588918180719e+001dB,7.57868973799861e-004°)
1.31825673855641e+001	(6.79588918182109e+001dB,7.75522009933639e-004°)
1.34896288259165e+001	(6.79588918183565e+001dB,7.93586238100179e-004°)
1.38038426460288e+001	(6.79588918185090e+001dB,8.12071236192219e-004°)
1.41253754462275e+001	(6.79588918186686e+001dB,8.30986805200255e-004°)
1.44543977074593e+001	(6.79588918188358e+001dB,8.50342974409179e-004°)
1.47910838816821e+001	(6.79588918190108e+001dB,8.70150006715924e-004°)
1.51356124843621e+001	(6.79588918191941e+001dB,8.90418404070996e-004°)
1.54881661891248e+001	(6.79588918193860e+001dB,9.11158913046735e-004°)
1.58489319246111e+001	(6.79588918195870e+001dB,9.32382530535307e-004°)
1.62181009735893e+001	(6.79588918197974e+001dB,9.54100509579380e-004°)
1.65958690743756e+001	(6.79588918200178e+001dB,9.76324365338645e-004°)
1.69824365246174e+001	(6.79588918202485e+001dB,9.99065881195313e-004°)
1.73780082874937e+001	(6.79588918204902e+001dB,1.02233711500180e-003°)
1.77827941003892e+001	(6.79588918207432e+001dB,1.04615040547398e-003°)
1.81970085860998e+001	(6.79588918210081e+001dB,1.07051837873330e-003°)
1.86208713666287e+001	(6.79588918212855e+001dB,1.09545395500138e-003°)
1.90546071796325e+001	(6.79588918215760e+001dB,1.12097035545039e-003°)
1.94984459975804e+001	(6.79588918218802e+001dB,1.14708110921317e-003°)
1.99526231496888e+001	(6.79588918221987e+001dB,1.17380006055652e-003°)
2.04173794466953e+001	(6.79588918225322e+001dB,1.20114137622162e-003°)
2.08929613085404e+001	(6.79588918228815e+001dB,1.22911955293541e-003°)
2.13796208950223e+001	(6.79588918232472e+001dB,1.25774942509693e-003°)
2.18776162394955e+001	(6.79588918236301e+001dB,1.28704617264276e-003°)
2.23872113856834e+001	(6.79588918240311e+001dB,1.31702532909559e-003°)
2.29086765276777e+001	(6.79588918244510e+001dB,1.34770278980029e-003°)
2.34422881531992e+001	(6.79588918248907e+001dB,1.37909482035182e-003°)
2.39883291901949e+001	(6.79588918253511e+001dB,1.41121806521951e-003°)
2.45470891568503e+001	(6.79588918258332e+001dB,1.44408955657212e-003°)
2.51188643150958e+001	(6.79588918263380e+001dB,1.47772672330856e-003°)
2.57039578276886e+001	(6.79588918268666e+001dB,1.51214740029886e-003°)
2.63026799189538e+001	(6.79588918274201e+001dB,1.54736983784053e-003°)
2.69153480392691e+001	(6.79588918279997e+001dB,1.58341271133504e-003°)
2.75422870333816e+001	(6.79588918286067e+001dB,1.62029513118976e-003°)
2.81838293126445e+001	(6.79588918292422e+001dB,1.65803665295061e-003°)
2.88403150312660e+001	(6.79588918299077e+001dB,1.69665728767058e-003°)
2.95120922666638e+001	(6.79588918306045e+001dB,1.73617751251990e-003°)
3.01995172040201e+001	(6.79588918313342e+001dB,1.77661828164332e-003°)
3.09029543251359e+001	(6.79588918320982e+001dB,1.81800103727017e-003°)
3.16227766016838e+001	(6.79588918328983e+001dB,1.86034772108342e-003°)
3.23593656929628e+001	(6.79588918337361e+001dB,1.90368078585337e-003°)
3.31131121482591e+001	(6.79588918346134e+001dB,1.94802320734242e-003°)
3.38844156139202e+001	(6.79588918355320e+001dB,1.99339849648711e-003°)
3.46736850452531e+001	(6.79588918364939e+001dB,2.03983071186394e-003°)
3.54813389233575e+001	(6.79588918375011e+001dB,2.08734447244549e-003°)
3.63078054770101e+001	(6.79588918385558e+001dB,2.13596497065373e-003°)
3.71535229097172e+001	(6.79588918396603e+001dB,2.18571798571742e-003°)
3.80189396320561e+001	(6.79588918408167e+001dB,2.23662989734047e-003°)
3.89045144994280e+001	(6.79588918420277e+001dB,2.28872769968889e-003°)
3.98107170553497e+001	(6.79588918432957e+001dB,2.34203901570340e-003°)
4.07380277804112e+001	(6.79588918446236e+001dB,2.39659211174546e-003°)
4.16869383470335e+001	(6.79588918460139e+001dB,2.45241591258447e-003°)
4.26579518801592e+001	(6.79588918474698e+001dB,2.50954001673401e-003°)
4.36515832240165e+001	(6.79588918489943e+001dB,2.56799471214537e-003°)
4.46683592150962e+001	(6.79588918505907e+001dB,2.62781099226660e-003°)
4.57088189614874e+001	(6.79588918522623e+001dB,2.68902057247561e-003°)
4.67735141287197e+001	(6.79588918540127e+001dB,2.75165590689605e-003°)
4.78630092322638e+001	(6.79588918558456e+001dB,2.81575020560492e-003°)
4.89778819368445e+001	(6.79588918577648e+001dB,2.88133745224090e-003°)
5.01187233627271e+001	(6.79588918597745e+001dB,2.94845242202299e-003°)
5.12861383991364e+001	(6.79588918618790e+001dB,3.01713070018865e-003°)
5.24807460249772e+001	(6.79588918640826e+001dB,3.08740870086159e-003°)
5.37031796370252e+001	(6.79588918663900e+001dB,3.15932368635897e-003°)
5.49540873857624e+001	(6.79588918688062e+001dB,3.23291378694831e-003°)
5.62341325190348e+001	(6.79588918713363e+001dB,3.30821802106466e-003°)
5.75439937337156e+001	(6.79588918739856e+001dB,3.38527631599859e-003°)
5.88843655355588e+001	(6.79588918767598e+001dB,3.46412952906614e-003°)
6.02559586074357e+001	(6.79588918796647e+001dB,3.54481946927185e-003°)
6.16595001861481e+001	(6.79588918827065e+001dB,3.62738891947641e-003°)
6.30957344480192e+001	(6.79588918858917e+001dB,3.71188165908058e-003°)
6.45654229034654e+001	(6.79588918892269e+001dB,3.79834248723757e-003°)
6.60693448007595e+001	(6.79588918927194e+001dB,3.88681724660611e-003°)
6.76082975391980e+001	(6.79588918963765e+001dB,3.97735284765665e-003°)
6.91830970918935e+001	(6.79588919002059e+001dB,4.06999729354393e-003°)
7.07945784384136e+001	(6.79588919042158e+001dB,4.16479970555875e-003°)
7.24435960074988e+001	(6.79588919084147e+001dB,4.26181034917263e-003°)
7.41310241300916e+001	(6.79588919128115e+001dB,4.36108066068911e-003°)
7.58577575029182e+001	(6.79588919174154e+001dB,4.46266327451588e-003°)
7.76247116628690e+001	(6.79588919222364e+001dB,4.56661205107210e-003°)
7.94328234724279e+001	(6.79588919272845e+001dB,4.67298210534576e-003°)
8.12830516164097e+001	(6.79588919325706e+001dB,4.78182983611628e-003°)
8.31763771102669e+001	(6.79588919381058e+001dB,4.89321295585768e-003°)
8.51138038202374e+001	(6.79588919439019e+001dB,5.00719052133841e-003°)
8.70963589956078e+001	(6.79588919499711e+001dB,5.12382296493377e-003°)
8.91250938133743e+001	(6.79588919563263e+001dB,5.24317212666785e-003°)
9.12010839355907e+001	(6.79588919629811e+001dB,5.36530128700171e-003°)
9.33254300796988e+001	(6.79588919699495e+001dB,5.49027520038526e-003°)
9.54992586021433e+001	(6.79588919772463e+001dB,5.61816012959080e-003°)
9.77237220955808e+001	(6.79588919848870e+001dB,5.74902388084605e-003°)
9.99999999999997e+001	(6.79588919928878e+001dB,5.88293583978576e-003°)
1.02329299228075e+002	(6.79588920012657e+001dB,6.01996700824055e-003°)
1.04712854805090e+002	(6.79588920100383e+001dB,6.16019004188272e-003°)
1.07151930523760e+002	(6.79588920192245e+001dB,6.30367928874898e-003°)
1.09647819614318e+002	(6.79588920288436e+001dB,6.45051082866040e-003°)
1.12201845430196e+002	(6.79588920389159e+001dB,6.60076251356049e-003°)
1.14815362149688e+002	(6.79588920494630e+001dB,6.75451400879311e-003°)
1.17489755493953e+002	(6.79588920605072e+001dB,6.91184683534147e-003°)
1.20226443461741e+002	(6.79588920720719e+001dB,7.07284441305134e-003°)
1.23026877081238e+002	(6.79588920841816e+001dB,7.23759210486076e-003°)
1.25892541179416e+002	(6.79588920968620e+001dB,7.40617726206021e-003°)
1.28824955169313e+002	(6.79588921101400e+001dB,7.57868927060669e-003°)
1.31825673855640e+002	(6.79588921240437e+001dB,7.75521959851689e-003°)
1.34896288259165e+002	(6.79588921386028e+001dB,7.93586184436405e-003°)
1.38038426460288e+002	(6.79588921538480e+001dB,8.12071178690448e-003°)
1.41253754462275e+002	(6.79588921698116e+001dB,8.30986743585997e-003°)
1.44543977074592e+002	(6.79588921865277e+001dB,8.50342908388313e-003°)
1.47910838816820e+002	(6.79588922040315e+001dB,8.70149935973293e-003°)
1.51356124843620e+002	(6.79588922223602e+001dB,8.90418328268902e-003°)
1.54881661891248e+002	(6.79588922415528e+001dB,9.11158831823330e-003°)
1.58489319246111e+002	(6.79588922616499e+001dB,9.32382443502860e-003°)
1.62181009735892e+002	(6.79588922826941e+001dB,9.54100416322432e-003°)
1.65958690743755e+002	(6.79588923047301e+001dB,9.76324265412028e-003°)
1.69824365246174e+002	(6.79588923278046e+001dB,9.99065774122014e-003°)
1.73780082874937e+002	(6.79588923519667e+001dB,1.02233700027069e-002°)
1.77827941003892e+002	(6.79588923772674e+001dB,1.04615028253738e-002°)
1.81970085860998e+002	(6.79588924037605e+001dB,1.07051824700437e-002°)
1.86208713666286e+002	(6.79588924315022e+001dB,1.09545381385128e-002°)
1.90546071796324e+002	(6.79588924605513e+001dB,1.12097020420534e-002°)
1.94984459975804e+002	(6.79588924909694e+001dB,1.14708094715118e-002°)
1.99526231496887e+002	(6.79588925228211e+001dB,1.17379988690397e-002°)
2.04173794466952e+002	(6.79588925561740e+001dB,1.20114119014956e-002°)
2.08929613085403e+002	(6.79588925910987e+001dB,1.22911935355560e-002°)
2.13796208950222e+002	(6.79588926276694e+001dB,1.25774921145763e-002°)
2.18776162394954e+002	(6.79588926659635e+001dB,1.28704594372412e-002°)
2.23872113856833e+002	(6.79588927060625e+001dB,1.31702508380485e-002°)
2.29086765276776e+002	(6.79588927480512e+001dB,1.34770252696652e-002°)
2.34422881531991e+002	(6.79588927920188e+001dB,1.37909453872038e-002°)
2.39883291901948e+002	(6.79588928380585e+001dB,1.41121776344598e-002°)
2.45470891568502e+002	(6.79588928862680e+001dB,1.44408923321596e-002°)
2.51188643150957e+002	(6.79588929367496e+001dB,1.47772637682619e-002°)
2.57039578276885e+002	(6.79588929896103e+001dB,1.51214702903633e-002°)
2.63026799189537e+002	(6.79588930449622e+001dB,1.54736944002556e-002°)
2.69153480392690e+002	(6.79588931029228e+001dB,1.58341228506862e-002°)
2.75422870333816e+002	(6.79588931636150e+001dB,1.62029467443707e-002°)
2.81838293126444e+002	(6.79588932271675e+001dB,1.65803616353129e-002°)
2.88403150312659e+002	(6.79588932937151e+001dB,1.69665676324834e-002°)
2.95120922666637e+002	(6.79588933633991e+001dB,1.73617695059137e-002°)
3.01995172040200e+002	(6.79588934363671e+001dB,1.77661767952605e-002°)
3.09029543251358e+002	(6.79588935127740e+001dB,1.81800039208991e-002°)
3.16227766016837e+002	(6.79588935927819e+001dB,1.86034702976032e-002°)
3.23593656929627e+002	(6.79588936765604e+001dB,1.90368004508733e-002°)
3.31131121482590e+002	(6.79588937642873e+001dB,1.94802241359732e-002°)
3.38844156139201e+002	(6.79588938561486e+001dB,1.99339764597394e-002°)
3.46736850452530e+002	(6.79588939523392e+001dB,2.03982980052267e-002°)
3.54813389233574e+002	(6.79588940530631e+001dB,2.08734349592574e-002°)
3.63078054770100e+002	(6.79588941585340e+001dB,2.13596392429400e-002°)
3.71535229097171e+002	(6.79588942689755e+001dB,2.18571686452279e-002°)
3.80189396320559e+002	(6.79588943846220e+001dB,2.23662869595880e-002°)
3.89045144994279e+002	(6.79588945057188e+001dB,2.28872641238527e-002°)
3.98107170553495e+002	(6.79588946325226e+001dB,2.34203763633276e-002°)
4.07380277804111e+002	(6.79588947653026e+001dB,2.39659063372323e-002°)
4.16869383470333e+002	(6.79588949043402e+001dB,2.45241432885517e-002°)
4.26579518801591e+002	(6.79588950499305e+001dB,2.50953831973754e-002°)
4.36515832240164e+002	(6.79588952023823e+001dB,2.56799289378095e-002°)
4.46683592150961e+002	(6.79588953620188e+001dB,2.62780904385408e-002°)
4.57088189614873e+002	(6.79588955291788e+001dB,2.68901848471405e-002°)
4.67735141287196e+002	(6.79588957042168e+001dB,2.75165366981932e-002°)
4.78630092322636e+002	(6.79588958875041e+001dB,2.81574780853409e-002°)
4.89778819368444e+002	(6.79588960794294e+001dB,2.88133488373334e-002°)
