Freq.	V(vin)/I(R1)
1.00000000000000e+000	(6.79588918151395e+001dB,5.88293606058758e-005°)
1.25892541179417e+000	(6.79588918151499e+001dB,7.40617770261770e-005°)
1.58489319246111e+000	(6.79588918151664e+001dB,9.32382531405632e-005°)
1.99526231496888e+000	(6.79588918151925e+001dB,1.17380006229305e-004°)
2.51188643150958e+000	(6.79588918152339e+001dB,1.47772672677338e-004°)
3.16227766016838e+000	(6.79588918152995e+001dB,1.86034772799666e-004°)
3.98107170553497e+000	(6.79588918154035e+001dB,2.34203902949712e-004°)
5.01187233627272e+000	(6.79588918155683e+001dB,2.94845244954508e-004°)
6.30957344480194e+000	(6.79588918158294e+001dB,3.71188171399434e-004°)
7.94328234724282e+000	(6.79588918162434e+001dB,4.67298221491314e-004°)
1.00000000000000e+001	(6.79588918168994e+001dB,5.88293605840142e-004°)
1.25892541179417e+001	(6.79588918179391e+001dB,7.40617769825575e-004°)
1.58489319246111e+001	(6.79588918195870e+001dB,9.32382530535308e-004°)
1.99526231496888e+001	(6.79588918221987e+001dB,1.17380006055653e-003°)
2.51188643150958e+001	(6.79588918263380e+001dB,1.47772672330856e-003°)
3.16227766016838e+001	(6.79588918328983e+001dB,1.86034772108342e-003°)
3.98107170553498e+001	(6.79588918432957e+001dB,2.34203901570340e-003°)
5.01187233627273e+001	(6.79588918597745e+001dB,2.94845242202299e-003°)
6.30957344480194e+001	(6.79588918858917e+001dB,3.71188165908059e-003°)
7.94328234724283e+001	(6.79588919272845e+001dB,4.67298210534578e-003°)
1.00000000000000e+002	(6.79588919928878e+001dB,5.88293583978580e-003°)
1.25892541179417e+002	(6.79588920968620e+001dB,7.40617726206025e-003°)
1.58489319246112e+002	(6.79588922616499e+001dB,9.32382443502864e-003°)
1.99526231496888e+002	(6.79588925228211e+001dB,1.17379988690398e-002°)
2.51188643150958e+002	(6.79588929367496e+001dB,1.47772637682620e-002°)
3.16227766016838e+002	(6.79588935927819e+001dB,1.86034702976033e-002°)
3.98107170553498e+002	(6.79588946325226e+001dB,2.34203763633277e-002°)
5.01187233627273e+002	(6.79588962803998e+001dB,2.94844966981769e-002°)
6.30957344480194e+002	(6.79588988921069e+001dB,3.71187616771198e-002°)
7.94328234724283e+002	(6.79589030313781e+001dB,4.67297114863418e-002°)
1.00000000000000e+003	(6.79589095916669e+001dB,5.88291397830126e-002°)
1.25892541179417e+003	(6.79589199889889e+001dB,7.40613364275649e-002°)
1.58489319246112e+003	(6.79589364675456e+001dB,9.32373740336808e-002°)
1.99526231496888e+003	(6.79589625840767e+001dB,1.17378252189720e-001°)
2.51188643150959e+003	(6.79590039754331e+001dB,1.47769172937499e-001°)
3.16227766016839e+003	(6.79590695749157e+001dB,1.86027789993129e-001°)
3.98107170553498e+003	(6.79591735395818e+001dB,2.34189970711405e-001°)
5.01187233627273e+003	(6.79593383036639e+001dB,2.94817447409133e-001°)
6.30957344480195e+003	(6.79595994150102e+001dB,3.71132710928531e-001°)
7.94328234724283e+003	(6.79600131930379e+001dB,4.67187572548339e-001°)
1.00000000000000e+004	(6.79606688474766e+001dB,5.88072861401112e-001°)
1.25892541179417e+004	(6.79617076393786e+001dB,7.40177419154818e-001°)
1.58489319246112e+004	(6.79633531341597e+001dB,9.31504207425790e-001°)
1.99526231496889e+004	(6.79659588610579e+001dB,1.17204849804271e+000°)
2.51188643150959e+004	(6.79700831269643e+001dB,1.47423480947080e+000°)
3.16227766016839e+004	(6.79766057885863e+001dB,1.85338962660845e+000°)
3.98107170553498e+004	(6.79869088508189e+001dB,2.32818474444731e+000°)
5.01187233627274e+004	(6.80031516477528e+001dB,2.92090053691567e+000°)
6.30957344480195e+004	(6.80286799545331e+001dB,3.65719360207372e+000°)
7.94328234724284e+004	(6.80686093254857e+001dB,4.56475388292064e+000°)
1.00000000000000e+005	(6.81305968075884e+001dB,5.66973946198674e+000°)
1.25892541179417e+005	(6.82257189839811e+001dB,6.98917985991193e+000°)
1.58489319246112e+005	(6.83691322898214e+001dB,8.51691360610088e+000°)
1.99526231496889e+005	(6.85797218137999e+001dB,1.02010903311531e+001°)
2.51188643150959e+005	(6.88773088268897e+001dB,1.19151057780217e+001°)
3.16227766016839e+005	(6.92757392956825e+001dB,1.34338061783467e+001°)
3.98107170553499e+005	(6.97716080450916e+001dB,1.44412828663253e+001°)
5.01187233627274e+005	(7.03325608642228e+001dB,1.46018519336334e+001°)
6.30957344480196e+005	(7.08942762223490e+001dB,1.36993493645576e+001°)
7.94328234724285e+005	(7.13755403218017e+001dB,1.17871317331299e+001°)
1.00000000000000e+006	(7.17105282331456e+001dB,9.23412786366170e+000°)
1.25892541179417e+006	(7.18794399345133e+001dB,6.58449486341257e+000°)
1.58489319246112e+006	(7.19125188588465e+001dB,4.30477230417892e+000°)
1.99526231496889e+006	(7.18650177290739e+001dB,2.61424961419752e+000°)
2.51188643150959e+006	(7.17872728435088e+001dB,1.49781053338056e+000°)
3.16227766016839e+006	(7.17104216387946e+001dB,8.21844139329157e-001°)
3.98107170553499e+006	(7.16476633886218e+001dB,4.37359317716808e-001°)
5.01187233627275e+006	(7.16013464380020e+001dB,2.27944403069386e-001°)
6.30957344480196e+006	(7.15691376824748e+001dB,1.17167712250354e-001°)
7.94328234724285e+006	(7.15475399628277e+001dB,5.96869471173872e-002°)
1.00000000000000e+007	(7.15333814380619e+001dB,3.02314119867933e-002°)
1.25892541179417e+007	(7.15242303026642e+001dB,1.52576569127835e-002°)
1.58489319246112e+007	(7.15183680490321e+001dB,7.68427356219487e-003°)
1.99526231496889e+007	(7.15146336620173e+001dB,3.86591243380549e-003°)
2.51188643150959e+007	(7.15122631638608e+001dB,1.94440827534491e-003°)
3.16227766016839e+007	(7.15107617774725e+001dB,9.78446344670939e-004°)
3.98107170553499e+007	(7.15098121895536e+001dB,4.93028381019773e-004°)
5.01187233627275e+007	(7.15092121318492e+001dB,2.49046977876988e-004°)
6.30957344480196e+007	(7.15088331590361e+001dB,1.26317828515411e-004°)
7.94328234724286e+007	(7.15085938991360e+001dB,6.44840444177668e-005°)
1.00000000000001e+008	(7.15084428789029e+001dB,3.32472131957222e-005°)
1.25892541179417e+008	(7.15083475687029e+001dB,1.73991905382918e-005°)
1.58489319246112e+008	(7.15082874229239e+001dB,9.30448323421338e-006°)
1.99526231496889e+008	(7.15082494698763e+001dB,5.12720659919160e-006°)
2.51188643150959e+008	(7.15082255216784e+001dB,2.93814562901117e-006°)
3.16227766016840e+008	(7.15082104108122e+001dB,1.76522011279513e-006°)
3.98107170553499e+008	(7.15082008762714e+001dB,1.11716828419985e-006°)
5.01187233627275e+008	(7.15081948602917e+001dB,7.44560479771562e-007°)
6.30957344480197e+008	(7.15081910644288e+001dB,5.19836430605070e-007°)
7.94328234724286e+008	(7.15081886693869e+001dB,3.77041118087195e-007°)
1.00000000000001e+009	(7.15081871582118e+001dB,2.81511941802817e-007°)
1.25892541179417e+009	(7.15081862047225e+001dB,2.14600287142530e-007°)
1.58489319246112e+009	(7.15081856031105e+001dB,1.65946064043159e-007°)
1.99526231496889e+009	(7.15081852235186e+001dB,1.29551778240916e-007°)
2.51188643150960e+009	(7.15081849840122e+001dB,1.01772014150275e-007°)
3.16227766016840e+009	(7.15081848328938e+001dB,8.02717265482526e-008°)
3.98107170553500e+009	(7.15081847375446e+001dB,6.34770947792159e-008°)
5.01187233627275e+009	(7.15081846773832e+001dB,5.02788082232227e-008°)
6.30957344480197e+009	(7.15081846394240e+001dB,3.98662871663908e-008°)
7.94328234724287e+009	(7.15081846154733e+001dB,3.16310376362366e-008°)
1.00000000000001e+010	(7.15081846003615e+001dB,2.51074437544204e-008°)
1.25892541179418e+010	(7.15081845908265e+001dB,1.99345388474046e-008°)
1.58489319246112e+010	(7.15081845848104e+001dB,1.58300500172186e-008°)
1.99526231496889e+010	(7.15081845810145e+001dB,1.25719918959466e-008°)
2.51188643150960e+010	(7.15081845786194e+001dB,9.98515351003253e-009°)
3.16227766016840e+010	(7.15081845771082e+001dB,7.93092062191660e-009°)
3.98107170553500e+010	(7.15081845761547e+001dB,6.29946914510943e-009°)
5.01187233627276e+010	(7.15081845755531e+001dB,5.00370338188236e-009°)
6.30957344480198e+010	(7.15081845751735e+001dB,3.97451135735006e-009°)
7.94328234724287e+010	(7.15081845749340e+001dB,3.15703072392339e-009°)
1.00000000000000e+011	(7.15081845747829e+001dB,2.50770063981184e-009°)
