v3	V(vin)	V(vout)
-1.500000000000000e+001	-1.500000e+001	1.506184e+000
-1.490000000000000e+001	-1.490000e+001	1.496184e+000
-1.480000000000000e+001	-1.480000e+001	1.486185e+000
-1.470000000000000e+001	-1.470000e+001	1.476185e+000
-1.460000000000000e+001	-1.460000e+001	1.466186e+000
-1.450000000000000e+001	-1.450000e+001	1.456186e+000
-1.440000000000000e+001	-1.440000e+001	1.446187e+000
-1.430000000000000e+001	-1.430000e+001	1.436188e+000
-1.420000000000000e+001	-1.420000e+001	1.426188e+000
-1.410000000000000e+001	-1.410000e+001	1.416189e+000
-1.400000000000000e+001	-1.400000e+001	1.406189e+000
-1.390000000000000e+001	-1.390000e+001	1.396190e+000
-1.380000000000000e+001	-1.380000e+001	1.386190e+000
-1.370000000000001e+001	-1.370000e+001	1.376191e+000
-1.360000000000001e+001	-1.360000e+001	1.366192e+000
-1.350000000000001e+001	-1.350000e+001	1.356192e+000
-1.340000000000001e+001	-1.340000e+001	1.346193e+000
-1.330000000000001e+001	-1.330000e+001	1.336193e+000
-1.320000000000001e+001	-1.320000e+001	1.326194e+000
-1.310000000000001e+001	-1.310000e+001	1.316194e+000
-1.300000000000001e+001	-1.300000e+001	1.306195e+000
-1.290000000000001e+001	-1.290000e+001	1.296196e+000
-1.280000000000001e+001	-1.280000e+001	1.286196e+000
-1.270000000000001e+001	-1.270000e+001	1.276197e+000
-1.260000000000001e+001	-1.260000e+001	1.266197e+000
-1.250000000000001e+001	-1.250000e+001	1.256198e+000
-1.240000000000001e+001	-1.240000e+001	1.246198e+000
-1.230000000000001e+001	-1.230000e+001	1.236199e+000
-1.220000000000001e+001	-1.220000e+001	1.226200e+000
-1.210000000000001e+001	-1.210000e+001	1.216200e+000
-1.200000000000001e+001	-1.200000e+001	1.206201e+000
-1.190000000000001e+001	-1.190000e+001	1.196201e+000
-1.180000000000001e+001	-1.180000e+001	1.186202e+000
-1.170000000000001e+001	-1.170000e+001	1.176202e+000
-1.160000000000001e+001	-1.160000e+001	1.166203e+000
-1.150000000000001e+001	-1.150000e+001	1.156203e+000
-1.140000000000001e+001	-1.140000e+001	1.146204e+000
-1.130000000000001e+001	-1.130000e+001	1.136205e+000
-1.120000000000001e+001	-1.120000e+001	1.126205e+000
-1.110000000000001e+001	-1.110000e+001	1.116206e+000
-1.100000000000001e+001	-1.100000e+001	1.106206e+000
-1.090000000000002e+001	-1.090000e+001	1.096207e+000
-1.080000000000002e+001	-1.080000e+001	1.086207e+000
-1.070000000000002e+001	-1.070000e+001	1.076208e+000
-1.060000000000002e+001	-1.060000e+001	1.066208e+000
-1.050000000000002e+001	-1.050000e+001	1.056209e+000
-1.040000000000002e+001	-1.040000e+001	1.046210e+000
-1.030000000000002e+001	-1.030000e+001	1.036210e+000
-1.020000000000002e+001	-1.020000e+001	1.026211e+000
-1.010000000000002e+001	-1.010000e+001	1.016211e+000
-1.000000000000002e+001	-1.000000e+001	1.006212e+000
-9.900000000000018e+000	-9.900000e+000	9.962125e-001
-9.800000000000019e+000	-9.800000e+000	9.862130e-001
-9.700000000000019e+000	-9.700000e+000	9.762136e-001
-9.600000000000019e+000	-9.600000e+000	9.662142e-001
-9.500000000000020e+000	-9.500000e+000	9.562147e-001
-9.400000000000020e+000	-9.400000e+000	9.462153e-001
-9.300000000000020e+000	-9.300000e+000	9.362159e-001
-9.200000000000021e+000	-9.200000e+000	9.262164e-001
-9.100000000000021e+000	-9.100000e+000	9.162170e-001
-9.000000000000021e+000	-9.000000e+000	9.062176e-001
-8.900000000000022e+000	-8.900000e+000	8.962181e-001
-8.800000000000022e+000	-8.800000e+000	8.862187e-001
-8.700000000000022e+000	-8.700000e+000	8.762193e-001
-8.600000000000023e+000	-8.600000e+000	8.662198e-001
-8.500000000000023e+000	-8.500000e+000	8.562204e-001
-8.400000000000023e+000	-8.400000e+000	8.462210e-001
-8.300000000000024e+000	-8.300000e+000	8.362215e-001
-8.200000000000024e+000	-8.200000e+000	8.262221e-001
-8.100000000000025e+000	-8.100000e+000	8.162227e-001
-8.000000000000025e+000	-8.000000e+000	8.062232e-001
-7.900000000000025e+000	-7.900000e+000	7.962238e-001
-7.800000000000026e+000	-7.800000e+000	7.862244e-001
-7.700000000000026e+000	-7.700000e+000	7.762249e-001
-7.600000000000026e+000	-7.600000e+000	7.662255e-001
-7.500000000000027e+000	-7.500000e+000	7.562261e-001
-7.400000000000027e+000	-7.400000e+000	7.462266e-001
-7.300000000000027e+000	-7.300000e+000	7.362272e-001
-7.200000000000028e+000	-7.200000e+000	7.262278e-001
-7.100000000000028e+000	-7.100000e+000	7.162283e-001
-7.000000000000028e+000	-7.000000e+000	7.062289e-001
-6.900000000000029e+000	-6.900000e+000	6.962295e-001
-6.800000000000029e+000	-6.800000e+000	6.862300e-001
-6.700000000000030e+000	-6.700000e+000	6.762305e-001
-6.600000000000030e+000	-6.600000e+000	6.662312e-001
-6.500000000000030e+000	-6.500000e+000	6.562317e-001
-6.400000000000031e+000	-6.400000e+000	6.462322e-001
-6.300000000000031e+000	-6.300000e+000	6.362329e-001
-6.200000000000031e+000	-6.200000e+000	6.262334e-001
-6.100000000000032e+000	-6.100000e+000	6.162339e-001
-6.000000000000032e+000	-6.000000e+000	6.062346e-001
-5.900000000000032e+000	-5.900000e+000	5.962351e-001
-5.800000000000033e+000	-5.800000e+000	5.862356e-001
-5.700000000000033e+000	-5.700000e+000	5.762362e-001
-5.600000000000033e+000	-5.600000e+000	5.662368e-001
-5.500000000000034e+000	-5.500000e+000	5.562373e-001
-5.400000000000034e+000	-5.400000e+000	5.462379e-001
-5.300000000000035e+000	-5.300000e+000	5.362385e-001
-5.200000000000035e+000	-5.200000e+000	5.262390e-001
-5.100000000000035e+000	-5.100000e+000	5.162396e-001
-5.000000000000036e+000	-5.000000e+000	5.062402e-001
-4.900000000000036e+000	-4.900000e+000	4.962407e-001
-4.800000000000036e+000	-4.800000e+000	4.862413e-001
-4.700000000000037e+000	-4.700000e+000	4.762419e-001
-4.600000000000037e+000	-4.600000e+000	4.662424e-001
-4.500000000000037e+000	-4.500000e+000	4.562430e-001
-4.400000000000038e+000	-4.400000e+000	4.462436e-001
-4.300000000000038e+000	-4.300000e+000	4.362441e-001
-4.200000000000038e+000	-4.200000e+000	4.262447e-001
-4.100000000000039e+000	-4.100000e+000	4.162453e-001
-4.000000000000039e+000	-4.000000e+000	4.062458e-001
-3.900000000000039e+000	-3.900000e+000	3.962464e-001
-3.800000000000039e+000	-3.800000e+000	3.862469e-001
-3.700000000000039e+000	-3.700000e+000	3.762475e-001
-3.600000000000039e+000	-3.600000e+000	3.662481e-001
-3.500000000000039e+000	-3.500000e+000	3.562486e-001
-3.400000000000039e+000	-3.400000e+000	3.462492e-001
-3.300000000000039e+000	-3.300000e+000	3.362498e-001
-3.200000000000038e+000	-3.200000e+000	3.262503e-001
-3.100000000000038e+000	-3.100000e+000	3.162509e-001
-3.000000000000038e+000	-3.000000e+000	3.062515e-001
-2.900000000000038e+000	-2.900000e+000	2.962520e-001
-2.800000000000038e+000	-2.800000e+000	2.862526e-001
-2.700000000000038e+000	-2.700000e+000	2.762532e-001
