Freq.	V(vin)/I(R1)
1.00000000000000e+000	(6.79596845222395e+001dB,5.77805915503054e-004°)
1.25892541179417e+000	(6.79596845230381e+001dB,7.27414550005762e-004°)
1.58489319246111e+000	(6.79596845243037e+001dB,9.15760661699523e-004°)
1.99526231496888e+000	(6.79596845263096e+001dB,1.15287436771287e-003°)
2.51188643150958e+000	(6.79596845294886e+001dB,1.45138283727766e-003°)
3.16227766016838e+000	(6.79596845345271e+001dB,1.82718273441036e-003°)
3.98107170553497e+000	(6.79596845425126e+001dB,2.30028677298789e-003°)
5.01187233627272e+000	(6.79596845551687e+001dB,2.89588946623862e-003°)
6.30957344480194e+000	(6.79596845752273e+001dB,3.64570882544686e-003°)
7.94328234724282e+000	(6.79596846070181e+001dB,4.58967545772460e-003°)
1.00000000000000e+001	(6.79596846574030e+001dB,5.77805901247827e-003°)
1.25892541179417e+001	(6.79596847372577e+001dB,7.27414521562843e-003°)
1.58489319246111e+001	(6.79596848638190e+001dB,9.15760604948437e-003°)
1.99526231496888e+001	(6.79596850644050e+001dB,1.15287425447957e-002°)
2.51188643150958e+001	(6.79596853823123e+001dB,1.45138261134755e-002°)
3.16227766016838e+001	(6.79596858861615e+001dB,1.82718228362056e-002°)
3.98107170553498e+001	(6.79596866847084e+001dB,2.30028587354415e-002°)
5.01187233627273e+001	(6.79596879503194e+001dB,2.89588767161289e-002°)
6.30957344480194e+001	(6.79596899561764e+001dB,3.64570524469927e-002°)
7.94328234724283e+001	(6.79596931352423e+001dB,4.58966831319856e-002°)
1.00000000000000e+002	(6.79596981737142e+001dB,5.77804475728959e-002°)
1.25892541179417e+002	(6.79597061591339e+001dB,7.27411677283475e-002°)
1.58489319246112e+002	(6.79597188151208e+001dB,9.15754929879891e-002°)
1.99526231496888e+002	(6.79597388733814e+001dB,1.15286293127625e-001°)
2.51188643150958e+002	(6.79597706632635e+001dB,1.45136001873557e-001°)
3.16227766016838e+002	(6.79598210460307e+001dB,1.82713720590412e-001°)
3.98107170553498e+002	(6.79599008953252e+001dB,2.30019593316415e-001°)
5.01187233627273e+002	(6.79600274428790e+001dB,2.89570822167004e-001°)
6.30957344480194e+002	(6.79602279945529e+001dB,3.64534720987768e-001°)
7.94328234724283e+002	(6.79605458156825e+001dB,4.58895398688230e-001°)
1.00000000000000e+003	(6.79610494482340e+001dB,5.77661963773319e-001°)
1.25892541179417e+003	(6.79618474511725e+001dB,7.27127375597093e-001°)
1.58489319246112e+003	(6.79631116963298e+001dB,9.15187822148961e-001°)
1.99526231496888e+003	(6.79651141243237e+001dB,1.15173187250755e+000°)
2.51188643150959e+003	(6.79682845843252e+001dB,1.44910474406510e+000°)
3.16227766016839e+003	(6.79733014683883e+001dB,1.82264202632815e+000°)
3.98107170553498e+003	(6.79812327777965e+001dB,2.29124164264534e+000°)
5.01187233627273e+003	(6.79937533046380e+001dB,2.87788856021253e+000°)
6.30957344480195e+003	(6.80134731166683e+001dB,3.60993827595431e+000°)
7.94328234724283e+003	(6.80444199705141e+001dB,4.51876016998357e+000°)
1.00000000000000e+004	(6.80927128855126e+001dB,5.63798162120981e+000°)
1.25892541179417e+004	(6.81674195595835e+001dB,6.99901082817056e+000°)
