Freq.	V(vin)/I(R1)
1.00000000000000e+000	(8.79588092579357e+001dB,5.85730230296350e-006°)
1.25892541179417e+000	(8.79588092579360e+001dB,7.37390671376174e-006°)
1.58489319246111e+000	(8.79588092579365e+001dB,9.28319854615565e-006°)
1.99526231496888e+000	(8.79588092579373e+001dB,1.16868545524884e-005°)
2.51188643150958e+000	(8.79588092579386e+001dB,1.47128781800750e-005°)
3.16227766016838e+000	(8.79588092579405e+001dB,1.85224162215383e-005°)
3.98107170553497e+000	(8.79588092579436e+001dB,2.33183404691422e-005°)
5.01187233627272e+000	(8.79588092579485e+001dB,2.93560513775107e-005°)
6.30957344480194e+000	(8.79588092579564e+001dB,3.69570790691608e-005°)
7.94328234724282e+000	(8.79588092579687e+001dB,4.65262059860072e-005°)
1.00000000000000e+001	(8.79588092579883e+001dB,5.85730230304640e-005°)
1.25892541179417e+001	(8.79588092580194e+001dB,7.37390671392740e-005°)
1.58489319246111e+001	(8.79588092580687e+001dB,9.28319854648579e-005°)
1.99526231496888e+001	(8.79588092581468e+001dB,1.16868545531473e-004°)
2.51188643150958e+001	(8.79588092582705e+001dB,1.47128781813898e-004°)
3.16227766016838e+001	(8.79588092584666e+001dB,1.85224162241612e-004°)
3.98107170553498e+001	(8.79588092587775e+001dB,2.33183404743767e-004°)
5.01187233627273e+001	(8.79588092592701e+001dB,2.93560513879545e-004°)
6.30957344480194e+001	(8.79588092600509e+001dB,3.69570790899992e-004°)
7.94328234724283e+001	(8.79588092612883e+001dB,4.65262060275866e-004°)
1.00000000000000e+002	(8.79588092632495e+001dB,5.85730231134261e-004°)
1.25892541179417e+002	(8.79588092663578e+001dB,7.37390673048016e-004°)
1.58489319246112e+002	(8.79588092712841e+001dB,9.28319857951308e-004°)
1.99526231496888e+002	(8.79588092790918e+001dB,1.16868546190452e-003°)
2.51188643150958e+002	(8.79588092914661e+001dB,1.47128783128732e-003°)
3.16227766016838e+002	(8.79588093110780e+001dB,1.85224164865052e-003°)
3.98107170553498e+002	(8.79588093421609e+001dB,2.33183409978217e-003°)
5.01187233627273e+002	(8.79588093914240e+001dB,2.93560524323650e-003°)
6.30957344480194e+002	(8.79588094695008e+001dB,3.69570811738701e-003°)
7.94328234724283e+002	(8.79588095932441e+001dB,4.65262101854533e-003°)
1.00000000000000e+003	(8.79588097893642e+001dB,5.85730314094496e-003°)
1.25892541179417e+003	(8.79588101001938e+001dB,7.37390838575152e-003°)
1.58489319246112e+003	(8.79588105928263e+001dB,9.28320188220389e-003°)
