Freq.	V(vout)/V(vin)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+002	(3.88691557079265e+001dB,-5.71400597618467e-002°)
1.02329299228075e+002	(3.88691562862051e+001dB,-5.84710267328503e-002°)
1.04712854805090e+002	(3.88691568917390e+001dB,-5.98329962246843e-002°)
1.07151930523761e+002	(3.88691575258106e+001dB,-6.12266903776767e-002°)
1.09647819614318e+002	(3.88691581897673e+001dB,-6.26528481306628e-002°)
1.12201845430196e+002	(3.88691588850130e+001dB,-6.41122257429095e-002°)
1.14815362149688e+002	(3.88691596130237e+001dB,-6.56055970082002e-002°)
1.17489755493953e+002	(3.88691603753450e+001dB,-6.71337537659781e-002°)
1.20226443461741e+002	(3.88691611735934e+001dB,-6.86975062826430e-002°)
1.23026877081238e+002	(3.88691620094625e+001dB,-7.02976837519474e-002°)
1.25892541179417e+002	(3.88691628847265e+001dB,-7.19351346419030e-002°)
1.28824955169313e+002	(3.88691638012385e+001dB,-7.36107271964649e-002°)
1.31825673855641e+002	(3.88691647609471e+001dB,-7.53253499139842e-002°)
1.34896288259165e+002	(3.88691657658801e+001dB,-7.70799118724630e-002°)
1.38038426460288e+002	(3.88691668181808e+001dB,-7.88753435647933e-002°)
1.41253754462275e+002	(3.88691679200708e+001dB,-8.07125968935919e-002°)
1.44543977074593e+002	(3.88691690738933e+001dB,-8.25926461262825e-002°)
1.47910838816821e+002	(3.88691702820919e+001dB,-8.45164881401519e-002°)
1.51356124843621e+002	(3.88691715472318e+001dB,-8.64851430589574e-002°)
1.54881661891248e+002	(3.88691728719959e+001dB,-8.84996547719503e-002°)
1.58489319246111e+002	(3.88691742591936e+001dB,-9.05610914772469e-002°)
1.62181009735893e+002	(3.88691757117704e+001dB,-9.26705462911577e-002°)
1.65958690743756e+002	(3.88691772328029e+001dB,-9.48291377576809e-002°)
1.69824365246174e+002	(3.88691788255213e+001dB,-9.70380105007864e-002°)
1.73780082874937e+002	(3.88691804933006e+001dB,-9.92983358304053e-002°)
1.77827941003892e+002	(3.88691822396806e+001dB,-1.01611312277851e-001°)
1.81970085860998e+002	(3.88691840683655e+001dB,-1.03978166428653e-001°)
1.86208713666287e+002	(3.88691859832335e+001dB,-1.06400153276073e-001°)
1.90546071796324e+002	(3.88691879883471e+001dB,-1.08878557168212e-001°)
1.94984459975804e+002	(3.88691900879567e+001dB,-1.11414692364921e-001°)
1.99526231496888e+002	(3.88691922865206e+001dB,-1.14009903755479e-001°)
2.04173794466953e+002	(3.88691945886983e+001dB,-1.16665567476774e-001°)
2.08929613085404e+002	(3.88691969993759e+001dB,-1.19383091875863e-001°)
2.13796208950223e+002	(3.88691995236650e+001dB,-1.22163917975941e-001°)
2.18776162394955e+002	(3.88692021669192e+001dB,-1.25009520458784e-001°)
2.23872113856834e+002	(3.88692049347475e+001dB,-1.27921408351898e-001°)
2.29086765276777e+002	(3.88692078330197e+001dB,-1.30901125835367e-001°)
2.34422881531992e+002	(3.88692108678835e+001dB,-1.33950253091117e-001°)
2.39883291901949e+002	(3.88692140457765e+001dB,-1.37070407088145e-001°)
2.45470891568503e+002	(3.88692173734387e+001dB,-1.40263242505177e-001°)
2.51188643150958e+002	(3.88692208579294e+001dB,-1.43530452601077e-001°)
2.57039578276886e+002	(3.88692245066401e+001dB,-1.46873770039037e-001°)
2.63026799189538e+002	(3.88692283273097e+001dB,-1.50294967907534e-001°)
2.69153480392691e+002	(3.88692323280422e+001dB,-1.53795860594271e-001°)
2.75422870333816e+002	(3.88692365173240e+001dB,-1.57378304779898e-001°)
2.81838293126445e+002	(3.88692409040414e+001dB,-1.61044200415200e-001°)
2.88403150312660e+002	(3.88692454974989e+001dB,-1.64795491735127e-001°)
2.95120922666638e+002	(3.88692503074399e+001dB,-1.68634168291853e-001°)
3.01995172040201e+002	(3.88692553440676e+001dB,-1.72562266001002e-001°)
3.09029543251358e+002	(3.88692606180659e+001dB,-1.76581868260384e-001°)
3.16227766016837e+002	(3.88692661406198e+001dB,-1.80695106998944e-001°)
3.23593656929628e+002	(3.88692719234456e+001dB,-1.84904163869214e-001°)
3.31131121482590e+002	(3.88692779788085e+001dB,-1.89211271358413e-001°)
3.38844156139202e+002	(3.88692843195534e+001dB,-1.93618714001511e-001°)
3.46736850452531e+002	(3.88692909591299e+001dB,-1.98128829631450e-001°)
3.54813389233575e+002	(3.88692979116217e+001dB,-2.02744010512187e-001°)
3.63078054770101e+002	(3.88693051917759e+001dB,-2.07466704772609e-001°)
3.71535229097172e+002	(3.88693128150352e+001dB,-2.12299417548505e-001°)
3.80189396320560e+002	(3.88693207975699e+001dB,-2.17244712431356e-001°)
3.89045144994280e+002	(3.88693291563122e+001dB,-2.22305212770481e-001°)
3.98107170553496e+002	(3.88693379089927e+001dB,-2.27483603115997e-001°)
4.07380277804112e+002	(3.88693470741770e+001dB,-2.32782630592307e-001°)
4.16869383470335e+002	(3.88693566713062e+001dB,-2.38205106412393e-001°)
4.26579518801592e+002	(3.88693667207377e+001dB,-2.43753907378960e-001°)
4.36515832240165e+002	(3.88693772437878e+001dB,-2.49431977333867e-001°)
4.46683592150962e+002	(3.88693882627784e+001dB,-2.55242328861045e-001°)
4.57088189614874e+002	(3.88693998010826e+001dB,-2.61188044777794e-001°)
4.67735141287197e+002	(3.88694118831750e+001dB,-2.67272279832138e-001°)
4.78630092322637e+002	(3.88694245346843e+001dB,-2.73498262390041e-001°)
4.89778819368445e+002	(3.88694377824469e+001dB,-2.79869296130235e-001°)
5.01187233627271e+002	(3.88694516545640e+001dB,-2.86388761850382e-001°)
5.12861383991364e+002	(3.88694661804608e+001dB,-2.93060119206779e-001°)
5.24807460249771e+002	(3.88694813909496e+001dB,-2.99886908651305e-001°)
5.37031796370251e+002	(3.88694973182957e+001dB,-3.06872753230788e-001°)
5.49540873857623e+002	(3.88695139962838e+001dB,-3.14021360598521e-001°)
5.62341325190348e+002	(3.88695314602916e+001dB,-3.21336524974005e-001°)
5.75439937337155e+002	(3.88695497473639e+001dB,-3.28822129122210e-001°)
5.88843655355587e+002	(3.88695688962919e+001dB,-3.36482146530023e-001°)
6.02559586074356e+002	(3.88695889476948e+001dB,-3.44320643465814e-001°)
6.16595001861481e+002	(3.88696099441060e+001dB,-3.52341781162077e-001°)
6.30957344480192e+002	(3.88696319300640e+001dB,-3.60549818064832e-001°)
6.45654229034654e+002	(3.88696549522062e+001dB,-3.68949112120117e-001°)
6.60693448007594e+002	(3.88696790593683e+001dB,-3.77544123103453e-001°)
6.76082975391980e+002	(3.88697043026875e+001dB,-3.86339415018909e-001°)
6.91830970918935e+002	(3.88697307357113e+001dB,-3.95339658532122e-001°)
7.07945784384136e+002	(3.88697584145111e+001dB,-4.04549633520230e-001°)
7.24435960074988e+002	(3.88697873978010e+001dB,-4.13974231614127e-001°)
7.41310241300916e+002	(3.88698177470625e+001dB,-4.23618458833750e-001°)
7.58577575029182e+002	(3.88698495266748e+001dB,-4.33487438297051e-001°)
7.76247116628690e+002	(3.88698828040517e+001dB,-4.43586412986193e-001°)
7.94328234724279e+002	(3.88699176497841e+001dB,-4.53920748554662e-001°)
8.12830516164097e+002	(3.88699541377902e+001dB,-4.64495936240227e-001°)
8.31763771102669e+002	(3.88699923454727e+001dB,-4.75317595833343e-001°)
8.51138038202374e+002	(3.88700323538820e+001dB,-4.86391478715630e-001°)
8.70963589956078e+002	(3.88700742478889e+001dB,-4.97723470965243e-001°)
8.91250938133743e+002	(3.88701181163648e+001dB,-5.09319596564565e-001°)
9.12010839355907e+002	(3.88701640523696e+001dB,-5.21186020650734e-001°)
9.33254300796988e+002	(3.88702121533500e+001dB,-5.33329052887278e-001°)
9.54992586021433e+002	(3.88702625213457e+001dB,-5.45755150863302e-001°)
9.77237220955808e+002	(3.88703152632060e+001dB,-5.58470923639979e-001°)
9.99999999999997e+002	(3.88703704908169e+001dB,-5.71483135337294e-001°)
1.02329299228075e+003	(3.88704283213381e+001dB,-5.84798708824550e-001°)
1.04712854805090e+003	(3.88704888774520e+001dB,-5.98424729506769e-001°)
1.07151930523760e+003	(3.88705522876237e+001dB,-6.12368449212598e-001°)
1.09647819614318e+003	(3.88706186863740e+001dB,-6.26637290152172e-001°)
1.12201845430196e+003	(3.88706882145645e+001dB,-6.41238848997814e-001°)
1.14815362149688e+003	(3.88707610196972e+001dB,-6.56180901073769e-001°)
1.17489755493953e+003	(3.88708372562267e+001dB,-6.71471404611464e-001°)
1.20226443461741e+003	(3.88709170858887e+001dB,-6.87118505163056e-001°)
1.23026877081238e+003	(3.88710006780434e+001dB,-7.03130540097095e-001°)
