Freq.	V(vout)/V(vin)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+001	(3.88691435603569e+001dB,-5.71399772430085e-003°)
1.02329299228075e+001	(3.88691435661394e+001dB,-5.84709383001277e-003°)
1.04712854805090e+001	(3.88691435721882e+001dB,-5.98329013769763e-003°)
1.07151930523761e+001	(3.88691435785324e+001dB,-6.12265888163653e-003°)
1.09647819614319e+001	(3.88691435851688e+001dB,-6.26527393170743e-003°)
1.12201845430196e+001	(3.88691435921233e+001dB,-6.41121092022749e-003°)
1.14815362149688e+001	(3.88691435994076e+001dB,-6.56054721480786e-003°)
1.17489755493953e+001	(3.88691436070300e+001dB,-6.71336199495988e-003°)
1.20226443461741e+001	(3.88691436150098e+001dB,-6.86973628726474e-003°)
1.23026877081238e+001	(3.88691436233737e+001dB,-7.02975300950641e-003°)
1.25892541179417e+001	(3.88691436321235e+001dB,-7.19349700303401e-003°)
1.28824955169313e+001	(3.88691436412900e+001dB,-7.36105507104930e-003°)
1.31825673855641e+001	(3.88691436508827e+001dB,-7.53251607927499e-003°)
1.34896288259165e+001	(3.88691436609330e+001dB,-7.70797093510546e-003°)
1.38038426460288e+001	(3.88691436714582e+001dB,-7.88751264394323e-003°)
1.41253754462275e+001	(3.88691436824722e+001dB,-8.07123643669636e-003°)
1.44543977074593e+001	(3.88691436940146e+001dB,-8.25923968690731e-003°)
1.47910838816821e+001	(3.88691437060963e+001dB,-8.45162210661264e-003°)
1.51356124843621e+001	(3.88691437187431e+001dB,-8.64848569620651e-003°)
1.54881661891248e+001	(3.88691437319919e+001dB,-8.84993481296665e-003°)
1.58489319246111e+001	(3.88691437458658e+001dB,-9.05607629302547e-003°)
1.62181009735893e+001	(3.88691437603952e+001dB,-9.26701943112005e-003°)
1.65958690743756e+001	(3.88691437756038e+001dB,-9.48287604936763e-003°)
1.69824365246174e+001	(3.88691437915303e+001dB,-9.70376062536213e-003°)
1.73780082874937e+001	(3.88691438082064e+001dB,-9.92979027814169e-003°)
1.77827941003892e+001	(3.88691438256718e+001dB,-1.01610848194079e-002°)
1.81970085860998e+001	(3.88691438439592e+001dB,-1.03977669115565e-002°)
1.86208713666287e+001	(3.88691438631093e+001dB,-1.06399620420200e-002°)
1.90546071796325e+001	(3.88691438831595e+001dB,-1.08877986162779e-002°)
1.94984459975804e+001	(3.88691439041516e+001dB,-1.11414080450146e-002°)
1.99526231496888e+001	(3.88691439261422e+001dB,-1.14009248135875e-002°)
2.04173794466953e+001	(3.88691439491599e+001dB,-1.16664864983143e-002°)
2.08929613085404e+001	(3.88691439732663e+001dB,-1.19382339249917e-002°)
2.13796208950223e+001	(3.88691439985165e+001dB,-1.22163111498208e-002°)
2.18776162394955e+001	(3.88691440249412e+001dB,-1.25008656241641e-002°)
2.23872113856834e+001	(3.88691440526186e+001dB,-1.27920482288900e-002°)
2.29086765276777e+001	(3.88691440816061e+001dB,-1.30900133564324e-002°)
2.34422881531992e+001	(3.88691441119547e+001dB,-1.33949189869305e-002°)
2.39883291901949e+001	(3.88691441437379e+001dB,-1.37069267940990e-002°)
2.45470891568503e+001	(3.88691441770051e+001dB,-1.40262021861256e-002°)
2.51188643150958e+001	(3.88691442118531e+001dB,-1.43529144650636e-002°)
2.57039578276886e+001	(3.88691442483405e+001dB,-1.46872368561845e-002°)
2.63026799189538e+001	(3.88691442865447e+001dB,-1.50293466083716e-002°)
2.69153480392691e+001	(3.88691443265515e+001dB,-1.53794251540205e-002°)
2.75422870333816e+001	(3.88691443684478e+001dB,-1.57376580379019e-002°)
2.81838293126445e+001	(3.88691444123147e+001dB,-1.61042352847901e-002°)
2.88403150312660e+001	(3.88691444582486e+001dB,-1.64793512100085e-002°)
2.95120922666638e+001	(3.88691445063476e+001dB,-1.68632046865885e-002°)
3.01995172040201e+001	(3.88691445567074e+001dB,-1.72559992940105e-002°)
3.09029543251359e+001	(3.88691446094504e+001dB,-1.76579432832876e-002°)
3.16227766016838e+001	(3.88691446646754e+001dB,-1.80692497320252e-002°)
3.23593656929628e+001	(3.88691447225043e+001dB,-1.84901367409501e-002°)
3.31131121482591e+001	(3.88691447830535e+001dB,-1.89208275062685e-002°)
3.38844156139202e+001	(3.88691448464663e+001dB,-1.93615503209400e-002°)
3.46736850452531e+001	(3.88691449128592e+001dB,-1.98125389023028e-002°)
3.54813389233575e+001	(3.88691449823864e+001dB,-2.02740323876937e-002°)
3.63078054770101e+001	(3.88691450551936e+001dB,-2.07462754845886e-002°)
3.71535229097172e+001	(3.88691451314283e+001dB,-2.12295184904039e-002°)
3.80189396320561e+001	(3.88691452112440e+001dB,-2.17240177274126e-002°)
3.89045144994280e+001	(3.88691452948361e+001dB,-2.22300353020516e-002°)
3.98107170553497e+001	(3.88691453823591e+001dB,-2.27478395996964e-002°)
4.07380277804112e+001	(3.88691454740097e+001dB,-2.32777050679617e-002°)
4.16869383470335e+001	(3.88691455699820e+001dB,-2.38199127829191e-002°)
4.26579518801592e+001	(3.88691456704727e+001dB,-2.43747500907350e-002°)
4.36515832240165e+001	(3.88691457757030e+001dB,-2.49425112926943e-002°)
4.46683592150962e+001	(3.88691458858900e+001dB,-2.55234973466283e-002°)
4.57088189614874e+001	(3.88691460012757e+001dB,-2.61180163271178e-002°)
4.67735141287197e+001	(3.88691461220908e+001dB,-2.67263834711835e-002°)
4.78630092322638e+001	(3.88691462486075e+001dB,-2.73489213306574e-002°)
4.89778819368445e+001	(3.88691463810837e+001dB,-2.79859599725154e-002°)
5.01187233627271e+001	(3.88691465198061e+001dB,-2.86378371910274e-002°)
5.12861383991364e+001	(3.88691466650603e+001dB,-2.93048986255333e-002°)
5.24807460249772e+001	(3.88691468171628e+001dB,-2.99874979494136e-002°)
5.37031796370252e+001	(3.88691469764347e+001dB,-3.06859970832127e-002°)
5.49540873857624e+001	(3.88691471432179e+001dB,-3.14007664078956e-002°)
5.62341325190348e+001	(3.88691473178520e+001dB,-3.21321848955256e-002°)
5.75439937337156e+001	(3.88691475007138e+001dB,-3.28806402874288e-002°)
5.88843655355588e+001	(3.88691476922055e+001dB,-3.36465295573287e-002°)
6.02559586074357e+001	(3.88691478927166e+001dB,-3.44302587702829e-002°)
6.16595001861481e+001	(3.88691481026822e+001dB,-3.52322434394750e-002°)
6.30957344480192e+001	(3.88691483225362e+001dB,-3.60529087177239e-002°)
6.45654229034654e+001	(3.88691485527530e+001dB,-3.68926898616398e-002°)
6.60693448007595e+001	(3.88691487938227e+001dB,-3.77520320917589e-002°)
6.76082975391980e+001	(3.88691490462515e+001dB,-3.86313910100879e-002°)
6.91830970918935e+001	(3.88691493105743e+001dB,-3.95312329586586e-002°)
7.07945784384136e+001	(3.88691495873573e+001dB,-4.04520349872596e-002°)
7.24435960074988e+001	(3.88691498771835e+001dB,-4.13942853431997e-002°)
7.41310241300916e+001	(3.88691501806642e+001dB,-4.23584836412476e-002°)
7.58577575029182e+001	(3.88691504984608e+001dB,-4.33451411287207e-002°)
7.76247116628690e+001	(3.88691508312190e+001dB,-4.43547809513592e-002°)
7.94328234724279e+001	(3.88691511796711e+001dB,-4.53879383595272e-002°)
8.12830516164097e+001	(3.88691515445417e+001dB,-4.64451612950843e-002°)
8.31763771102669e+001	(3.88691519266075e+001dB,-4.75270102073731e-002°)
8.51138038202374e+001	(3.88691523266776e+001dB,-4.86340588302285e-002°)
8.70963589956078e+001	(3.88691527456088e+001dB,-4.97668940464255e-002°)
8.91250938133743e+001	(3.88691531842738e+001dB,-5.09261165826359e-002°)
9.12010839355907e+001	(3.88691536436172e+001dB,-5.21123410523469e-002°)
9.33254300796988e+001	(3.88691541246112e+001dB,-5.33261964739569e-002°)
9.54992586021433e+001	(3.88691546282747e+001dB,-5.45683264215024e-002°)
9.77237220955808e+001	(3.88691551556723e+001dB,-5.58393895434538e-002°)
9.99999999999997e+001	(3.88691557079265e+001dB,-5.71400597618466e-002°)
1.02329299228075e+002	(3.88691562862051e+001dB,-5.84710267447050e-002°)
1.04712854805090e+002	(3.88691568917408e+001dB,-5.98329962365274e-002°)
1.07151930523760e+002	(3.88691575258097e+001dB,-6.12266903658279e-002°)
1.09647819614318e+002	(3.88691581897637e+001dB,-6.26528481188324e-002°)
1.12201845430196e+002	(3.88691588850112e+001dB,-6.41122257429219e-002°)
1.14815362149688e+002	(3.88691596130219e+001dB,-6.56055970082129e-002°)
1.17489755493953e+002	(3.88691603753450e+001dB,-6.71337537778328e-002°)
1.20226443461741e+002	(3.88691611735934e+001dB,-6.86975062707882e-002°)
1.23026877081238e+002	(3.88691620094652e+001dB,-7.02976837519269e-002°)
1.25892541179416e+002	(3.88691628847265e+001dB,-7.19351346300482e-002°)
1.28824955169313e+002	(3.88691638012394e+001dB,-7.36107272083125e-002°)
1.31825673855640e+002	(3.88691647609462e+001dB,-7.53253499258462e-002°)
1.34896288259165e+002	(3.88691657658837e+001dB,-7.70799119079971e-002°)
1.38038426460288e+002	(3.88691668181799e+001dB,-7.88753435648009e-002°)
1.41253754462275e+002	(3.88691679200708e+001dB,-8.07125968935919e-002°)
1.44543977074592e+002	(3.88691690738924e+001dB,-8.25926461381452e-002°)
