Freq.	V(vin)/-I(R3)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+002	(1.72342075993344e+002dB,-5.54268234711937e+001°)
1.02329299228075e+002	(1.72206105744702e+002dB,-5.60468575645838e+001°)
1.04712854805090e+002	(1.72068147440167e+002dB,-5.66617815895693e+001°)
1.07151930523761e+002	(1.71928235504508e+002dB,-5.72713677035285e+001°)
1.09647819614318e+002	(1.71786405491290e+002dB,-5.78753999252909e+001°)
1.12201845430196e+002	(1.71642693968179e+002dB,-5.84736743318545e+001°)
1.14815362149688e+002	(1.71497138402582e+002dB,-5.90659992014999e+001°)
1.17489755493953e+002	(1.71349777048252e+002dB,-5.96521951029109e+001°)
1.20226443461741e+002	(1.71200648833601e+002dB,-6.02320949344857e+001°)
1.23026877081238e+002	(1.71049793252087e+002dB,-6.08055439137942e+001°)
1.25892541179417e+002	(1.70897250255384e+002dB,-6.13723995224976e+001°)
1.28824955169313e+002	(1.70743060149578e+002dB,-6.19325314061034e+001°)
1.31825673855641e+002	(1.70587263495038e+002dB,-6.24858212350536e+001°)
1.34896288259165e+002	(1.70429901010049e+002dB,-6.30321625266759e+001°)
1.38038426460288e+002	(1.70271013478727e+002dB,-6.35714604339656e+001°)
1.41253754462275e+002	(1.70110641663348e+002dB,-6.41036315028076e+001°)
1.44543977074593e+002	(1.69948826221290e+002dB,-6.46286034009911e+001°)
1.47910838816821e+002	(1.69785607626780e+002dB,-6.51463146225790e+001°)
1.51356124843621e+002	(1.69621026097516e+002dB,-6.56567141706291e+001°)
1.54881661891248e+002	(1.69455121526241e+002dB,-6.61597612209493e+001°)
1.58489319246111e+002	(1.69287933417278e+002dB,-6.66554247705105e+001°)
1.62181009735893e+002	(1.69119500828000e+002dB,-6.71436832724343e+001°)
1.65958690743756e+002	(1.68949862315224e+002dB,-6.76245242610641e+001°)
1.69824365246174e+002	(1.68779055886392e+002dB,-6.80979439694651e+001°)
1.73780082874937e+002	(1.68607118955497e+002dB,-6.85639469412164e+001°)
1.77827941003892e+002	(1.68434088303571e+002dB,-6.90225456398439e+001°)
1.81970085860998e+002	(1.68260000043615e+002dB,-6.94737600563978e+001°)
1.86208713666287e+002	(1.68084889589808e+002dB,-6.99176173190134e+001°)
1.90546071796324e+002	(1.67908791630803e+002dB,-7.03541513041980e+001°)
1.94984459975804e+002	(1.67731740106937e+002dB,-7.07834022531038e+001°)
1.99526231496888e+002	(1.67553768191118e+002dB,-7.12054163927544e+001°)
2.04173794466953e+002	(1.67374908273288e+002dB,-7.16202455653364e+001°)
2.08929613085404e+002	(1.67195191948096e+002dB,-7.20279468637461e+001°)
