Freq.	V(vin)/-I(R3)
1.00000000000000e+002	(1.72834540061984e+002dB,-5.54330969334157e+001°)
1.02329299228075e+002	(1.72698557300962e+002dB,-5.60531554498633e+001°)
1.04712854805090e+002	(1.72560586695475e+002dB,-5.66681037341726e+001°)
1.07151930523761e+002	(1.72420662677673e+002dB,-5.72777140471265e+001°)
1.09647819614318e+002	(1.72278820807836e+002dB,-5.78817705130746e+001°)
1.12201845430196e+002	(1.72135097659612e+002dB,-5.84800693166090e+001°)
1.14815362149688e+002	(1.71989530705671e+002dB,-5.90724188446758e+001°)
1.17489755493953e+002	(1.71842158204345e+002dB,-5.96586397760365e+001°)
1.20226443461741e+002	(1.71693019087917e+002dB,-6.02385651198231e+001°)
1.23026877081238e+002	(1.71542152853052e+002dB,-6.08120402051718e+001°)
1.25892541179417e+002	(1.71389599453962e+002dB,-6.13789226253266e+001°)
1.28824955169313e+002	(1.71235399198658e+002dB,-6.19390821378539e+001°)
1.31825673855641e+002	(1.71079592648792e+002dB,-6.24924005247121e+001°)
1.34896288259165e+002	(1.70922220523352e+002dB,-6.30387714145016e+001°)
1.38038426460288e+002	(1.70763323606620e+002dB,-6.35781000711611e+001°)
1.41253754462275e+002	(1.70602942660475e+002dB,-6.41103031505456e+001°)
1.44543977074593e+002	(1.70441118341402e+002dB,-6.46353084295688e+001°)
1.47910838816821e+002	(1.70277891122276e+002dB,-6.51530545107464e+001°)
1.51356124843621e+002	(1.70113301218994e+002dB,-6.56634905042208e+001°)
1.54881661891248e+002	(1.69947388522086e+002dB,-6.61665756919064e+001°)
1.58489319246111e+002	(1.69780192533278e+002dB,-6.66622791754759e+001°)
1.62181009735893e+002	(1.69611752307015e+002dB,-6.71505795117554e+001°)
1.65958690743756e+002	(1.69442106396835e+002dB,-6.76314643371393e+001°)
1.69824365246174e+002	(1.69271292806648e+002dB,-6.81049299857188e+001°)
1.73780082874937e+002	(1.69099348946631e+002dB,-6.85709811006222e+001°)
1.77827941003892e+002	(1.68926311593780e+002dB,-6.90296302436356e+001°)
1.81970085860998e+002	(1.68752216856855e+002dB,-6.94808975029388e+001°)
1.86208713666287e+002	(1.68577100145610e+002dB,-6.99248101022883e+001°)
1.90546071796324e+002	(1.68400996144127e+002dB,-7.03614020128279e+001°)
1.94984459975804e+002	(1.68223938788033e+002dB,-7.07907135690892e+001°)
1.99526231496888e+002	(1.68045961245443e+002dB,-7.12127910906961e+001°)
2.04173794466953e+002	(1.67867095901387e+002dB,-7.16276865109042e+001°)
2.08929613085404e+002	(1.67687374345569e+002dB,-7.20354570134329e+001°)
2.13796208950223e+002	(1.67506827363178e+002dB,-7.24361646778080e+001°)
2.18776162394955e+002	(1.67325484928632e+002dB,-7.28298761351844e+001°)
2.23872113856834e+002	(1.67143376201950e+002dB,-7.32166622336727e+001°)
2.29086765276777e+002	(1.66960529527655e+002dB,-7.35965977156428e+001°)
2.34422881531992e+002	(1.66776972435927e+002dB,-7.39697609059851e+001°)
2.39883291901949e+002	(1.66592731645859e+002dB,-7.43362334121978e+001°)
2.45470891568503e+002	(1.66407833070620e+002dB,-7.46960998366817e+001°)
2.51188643150958e+002	(1.66222301824351e+002dB,-7.50494475013461e+001°)
2.57039578276886e+002	(1.66036162230606e+002dB,-7.53963661839745e+001°)
2.63026799189538e+002	(1.65849437832201e+002dB,-7.57369478677042e+001°)
2.69153480392691e+002	(1.65662151402302e+002dB,-7.60712865020187e+001°)
2.75422870333816e+002	(1.65474324956607e+002dB,-7.63994777763528e+001°)
2.81838293126445e+002	(1.65285979766482e+002dB,-7.67216189053448e+001°)
2.88403150312660e+002	(1.65097136372932e+002dB,-7.70378084260598e+001°)
2.95120922666638e+002	(1.64907814601272e+002dB,-7.73481460065750e+001°)
3.01995172040201e+002	(1.64718033576401e+002dB,-7.76527322659810e+001°)
3.09029543251358e+002	(1.64527811738565e+002dB,-7.79516686051566e+001°)
3.16227766016837e+002	(1.64337166859500e+002dB,-7.82450570481547e+001°)
3.23593656929628e+002	(1.64146116058903e+002dB,-7.85330000940170e+001°)
3.31131121482590e+002	(1.63954675821097e+002dB,-7.88156005782797e+001°)
3.38844156139202e+002	(1.63762862011867e+002dB,-7.90929615443227e+001°)
3.46736850452531e+002	(1.63570689895364e+002dB,-7.93651861236441e+001°)
3.54813389233575e+002	(1.63378174151020e+002dB,-7.96323774250952e+001°)
3.63078054770101e+002	(1.63185328890430e+002dB,-7.98946384324192e+001°)
3.71535229097172e+002	(1.62992167674142e+002dB,-8.01520719101003e+001°)
3.80189396320560e+002	(1.62798703528305e+002dB,-8.04047803166556e+001°)
3.89045144994280e+002	(1.62604948961147e+002dB,-8.06528657253943e+001°)
3.98107170553496e+002	(1.62410915979234e+002dB,-8.08964297521479e+001°)
4.07380277804112e+002	(1.62216616103482e+002dB,-8.11355734895675e+001°)
4.16869383470335e+002	(1.62022060384907e+002dB,-8.13703974477757e+001°)
4.26579518801592e+002	(1.61827259420063e+002dB,-8.16010015008909e+001°)
4.36515832240165e+002	(1.61632223366173e+002dB,-8.18274848393771e+001°)
4.46683592150962e+002	(1.61436961955919e+002dB,-8.20499459272502e+001°)
4.57088189614874e+002	(1.61241484511883e+002dB,-8.22684824650291e+001°)
4.67735141287197e+002	(1.61045799960625e+002dB,-8.24831913566117e+001°)
4.78630092322637e+002	(1.60849916846389e+002dB,-8.26941686812140e+001°)
4.89778819368445e+002	(1.60653843344426e+002dB,-8.29015096691980e+001°)
5.01187233627271e+002	(1.60457587273931e+002dB,-8.31053086819040e+001°)
5.12861383991364e+002	(1.60261156110593e+002dB,-8.33056591950718e+001°)
5.24807460249771e+002	(1.60064556998748e+002dB,-8.35026537859265e+001°)
5.37031796370251e+002	(1.59867796763140e+002dB,-8.36963841233044e+001°)
5.49540873857623e+002	(1.59670881920281e+002dB,-8.38869409607704e+001°)
5.62341325190348e+002	(1.59473818689431e+002dB,-8.40744141327259e+001°)
5.75439937337155e+002	(1.59276613003172e+002dB,-8.42588925530743e+001°)
