Freq.	V(vin)/-I(R3)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+003	(50234985.52933919dB,-87.9790487808208°)
1.02329299228075e+003	(49094297.24236488dB,-88.114508384168°)
1.04712854805090e+003	(47979163.651669286dB,-88.2489859356668°)
1.07151930523761e+003	(46889025.09280997dB,-88.3825505404774°)
1.09647819614319e+003	(45823333.0708876dB,-88.5152708921943°)
1.12201845430196e+003	(44781550.106547154dB,-88.6472152992964°)
1.14815362149688e+003	(43763149.579036474dB,-88.7784517117612°)
1.17489755493953e+003	(42767615.56669351dB,-88.9090477476653°)
1.20226443461741e+003	(41794442.6853378dB,-89.0390707197691°)
1.23026877081238e+003	(40843135.924999386dB,-89.1685876622102°)
1.25892541179417e+003	(39913210.48534275dB,-89.2976653570321°)
1.28824955169313e+003	(39004191.610119574dB,-89.4263703607511°)
1.31825673855641e+003	(38115614.42102545dB,-89.5547690308091°)
1.34896288259165e+003	(37247023.75120848dB,-89.6829275518603°)
1.38038426460288e+003	(36397973.97872483dB,-89.810911962003°)
1.41253754462275e+003	(35568028.86017294dB,-89.9387881788105°)
1.44543977074593e+003	(34756761.36478219dB,-90.0666220251049°)
1.47910838816821e+003	(33963753.50909689dB,-90.1944792546439°)
1.51356124843621e+003	(33188596.192502923dB,-90.322425577438°)
1.54881661891248e+003	(32430889.033719193dB,-90.4505266848153°)
1.58489319246111e+003	(31690240.20849275dB,-90.5788482742397°)
1.62181009735893e+003	(30966266.288538758dB,-90.7074560736897°)
1.65958690743756e+003	(30258592.081928346dB,-90.8364158657403°)
1.69824365246174e+003	(29566850.475007318dB,-90.9657935111811°)
1.73780082874937e+003	(28890682.275977172dB,-91.0956549721988°)
1.77827941003892e+003	(28229736.060181048dB,-91.2260663350877°)
1.81970085860998e+003	(27583668.017247185dB,-91.3570938323896°)
1.86208713666287e+003	(26952141.80009004dB,-91.4888038644778°)
1.90546071796325e+003	(26334828.375915375dB,-91.6212630205078°)
1.94984459975804e+003	(25731405.879182953dB,-91.754538098699°)
1.99526231496888e+003	(25141559.466696076dB,-91.8886961258535°)
2.04173794466953e+003	(24564981.174745973dB,-92.0238043761099°)
2.08929613085404e+003	(24001369.77844281dB,-92.1599303888373°)
2.13796208950223e+003	(23450430.653187532dB,-92.2971419855687°)
2.18776162394955e+003	(22911875.638369054dB,-92.4355072859951°)
2.23872113856834e+003	(22385422.903256588dB,-92.5750947228526°)
2.29086765276777e+003	(21870796.81515054dB,-92.715973055659°)
2.34422881531992e+003	(21367727.80976792dB,-92.8582113831899°)
2.39883291901949e+003	(20875952.263874874dB,-93.0018791546757°)
2.45470891568503e+003	(20395212.370199483dB,-93.1470461794978°)
2.51188643150958e+003	(19925256.014588535dB,-93.2937826353727°)
2.57039578276886e+003	(19465836.655430064dB,-93.4421590748782°)
2.63026799189538e+003	(19016713.20532931dB,-93.5922464302011°)
2.69153480392691e+003	(18577649.91504095dB,-93.7441160159692°)
2.75422870333816e+003	(18148416.259634636dB,-93.8978395300461°)
2.81838293126445e+003	(17728786.82690058dB,-94.0534890521381°)
2.88403150312660e+003	(17318541.207976487dB,-94.2111370400467°)
2.95120922666638e+003	(16917463.890170958dB,-94.3708563234195°)
3.01995172040201e+003	(16525344.152010018dB,-94.5327200948054°)
3.09029543251359e+003	(16141975.960431777dB,-94.6968018978524°)
3.16227766016838e+003	(15767157.870170036dB,-94.863175612444°)
3.23593656929628e+003	(15400692.925276102dB,-95.0319154365384°)
3.31131121482591e+003	(15042388.56278031dB,-95.2030958645374°)
3.38844156139202e+003	(14692056.518457398dB,-95.3767916619369°)
3.46736850452531e+003	(14349512.734703936dB,-95.5530778359868°)
3.54813389233575e+003	(14014577.270484773dB,-95.7320296021671°)
3.63078054770101e+003	(13687074.213343527dB,-95.9137223461391°)
3.71535229097172e+003	(13366831.593461607dB,-96.0982315809519°)
3.80189396320561e+003	(13053681.299731309dB,-96.2856328991613°)
3.89045144994280e+003	(12747458.99784492dB,-96.4760019195851°)
3.98107170553497e+003	(12448004.050375259dB,-96.6694142283524°)
4.07380277804112e+003	(12155159.438808346dB,-96.8659453139106°)
4.16869383470335e+003	(11868771.687550288dB,-97.0656704956471°)
4.26579518801592e+003	(11588690.789845003dB,-97.2686648457587°)
4.36515832240165e+003	(11314770.135630932dB,-97.4750031039834°)
4.46683592150962e+003	(11046866.44126744dB,-97.6847595847948°)
4.57088189614874e+003	(10784839.681164796dB,-97.8980080766928°)
4.67735141287197e+003	(10528553.021253318dB,-98.1148217331162°)
4.78630092322637e+003	(10277872.75430402dB,-98.3352729546075°)
4.89778819368445e+003	(10032668.23706853dB,-98.5594332617388°)
5.01187233627271e+003	(9792811.829220084dB,-98.7873731583993°)
5.12861383991364e+003	(9558178.834072929dB,-99.0191619849474°)
5.24807460249772e+003	(9328647.441072052dB,-99.2548677607995°)
5.37031796370252e+003	(9104098.670006562dB,-99.4945570159825°)
5.49540873857624e+003	(8884416.316958241dB,-99.7382946111523°)
5.62341325190348e+003	(8669486.901926484dB,-99.9861435456796°)
5.75439937337156e+003	(8459199.618129633dB,-100.238164753268°)
5.88843655355588e+003	(8253446.282939727dB,-100.494416884699°)
6.02559586074357e+003	(8052121.290433872dB,-100.754956077242°)
6.16595001861481e+003	(7855121.56552216dB,-101.019835710301°)
6.30957344480192e+003	(7662346.519619899dB,-101.28910614688°)
6.45654229034654e+003	(7473698.007827573dB,-101.562814460493°)
6.60693448007595e+003	(7289080.287584617dB,-101.841004147138°)
6.76082975391980e+003	(7108399.978742096dB,-102.123714822035°)
6.91830970918935e+003	(6931566.025019738dB,-102.4109819008°)
7.07945784384136e+003	(6758489.656780146dB,-102.702836264858°)
7.24435960074989e+003	(6589084.355084584dB,-102.999303910861°)
7.41310241300916e+003	(6423265.816950474dB,-103.300405584002°)
7.58577575029182e+003	(6260951.921755985dB,-103.606156395144°)
7.76247116628690e+003	(6102062.698711571dB,-103.916565421765°)
7.94328234724280e+003	(5946520.295335926dB,-104.231635292791°)
8.12830516164097e+003	(5794248.946829229dB,-104.551361757498°)
8.31763771102669e+003	(5645174.946282271dB,-104.875733238701°)
8.51138038202374e+003	(5499226.615596725dB,-105.204730370613°)
8.70963589956079e+003	(5356334.277037613dB,-105.538325521803°)
8.91250938133744e+003	(5216430.22529477dB,-105.876482303806°)
9.12010839355908e+003	(5079448.699943287dB,-106.219155066076°)
9.33254300796989e+003	(4945325.858175555dB,-106.566288378028°)
9.54992586021434e+003	(4813999.747688431dB,-106.91781649909°)
9.77237220955809e+003	(4685410.279577825dB,-107.273662837759°)
9.99999999999998e+003	(4559499.2011108445dB,-107.633739400776°)
1.02329299228075e+004	(4436210.068234818dB,-107.997946233655°)
1.04712854805090e+004	(4315488.217669929dB,-108.366170853893°)
1.07151930523760e+004	(4197280.738438997dB,-108.73828767825°)
1.09647819614318e+004	(4081536.4426932833dB,-109.114157445628°)
1.12201845430196e+004	(3968205.835670256dB,-109.493626637068°)
1.14815362149688e+004	(3857241.0846501924dB,-109.876526894475°)
1.17489755493953e+004	(3748595.9867567397dB,-110.262674439667°)
1.20226443461741e+004	(3642225.935471101dB,-110.651869495349°)
1.23026877081238e+004	(3538087.885721641dB,-111.043895709555°)
1.25892541179416e+004	(3436140.317435731dB,-111.438519585026°)
1.28824955169313e+004	(3336343.1974341767dB,-111.83548991486°)
1.31825673855640e+004	(3238657.9395836308dB,-112.234537225607°)
1.34896288259165e+004	(3143047.3631210537dB,-112.635373228738°)
