Freq.	V(vin)/-I(R3)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+001	(1.63025841201695e+002dB,-3.64788959521158e+000°)
1.02329299228075e+001	(1.63025010489716e+002dB,-3.73262140687901e+000°)
1.04712854805090e+001	(1.63024140797651e+002dB,-3.81930988200580e+000°)
1.07151930523761e+001	(1.63023230304835e+002dB,-3.90799938906201e+000°)
1.09647819614319e+001	(1.63022277106420e+002dB,-3.99873524450360e+000°)
1.12201845430196e+001	(1.63021279209391e+002dB,-4.09156372876971e+000°)
1.14815362149688e+001	(1.63020234528590e+002dB,-4.18653210231202e+000°)
1.17489755493953e+001	(1.63019140882745e+002dB,-4.28368862163984e+000°)
1.20226443461741e+001	(1.63017995990146e+002dB,-4.38308255518555e+000°)
1.23026877081238e+001	(1.63016797463781e+002dB,-4.48476419885227e+000°)
1.25892541179417e+001	(1.63015542806986e+002dB,-4.58878489173418e+000°)
1.28824955169313e+001	(1.63014229408368e+002dB,-4.69519703136239e+000°)
1.31825673855641e+001	(1.63012854536869e+002dB,-4.80405408887470e+000°)
1.34896288259165e+001	(1.63011415335919e+002dB,-4.91541062349635e+000°)
1.38038426460288e+001	(1.63009908818592e+002dB,-5.02932229733671e+000°)
1.41253754462275e+001	(1.63008331861127e+002dB,-5.14584588899845e+000°)
1.44543977074593e+001	(1.63006681197623e+002dB,-5.26503930751364e+000°)
1.47910838816821e+001	(1.63004953412725e+002dB,-5.38696160471708e+000°)
1.51356124843621e+001	(1.63003144936341e+002dB,-5.51167298837970e+000°)
1.54881661891248e+001	(1.63001252035991e+002dB,-5.63923483340758e+000°)
1.58489319246111e+001	(1.62999270809771e+002dB,-5.76970969279867e+000°)
1.62181009735893e+001	(1.62997197179548e+002dB,-5.90316130812275e+000°)
1.65958690743756e+001	(1.62995026882836e+002dB,-6.03965461839631e+000°)
1.69824365246174e+001	(1.62992755464890e+002dB,-6.17925576826586e+000°)
1.73780082874937e+001	(1.62990378271028e+002dB,-6.32203211545399e+000°)
1.77827941003892e+001	(1.62987890437244e+002dB,-6.46805223598728e+000°)
1.81970085860998e+001	(1.62985286882247e+002dB,-6.61738592932816e+000°)
1.86208713666287e+001	(1.62982562297086e+002dB,-6.77010422049404e+000°)
1.90546071796325e+001	(1.62979711137225e+002dB,-6.92627936268414e+000°)
1.94984459975804e+001	(1.62976727611146e+002dB,-7.08598483577188e+000°)
1.99526231496888e+001	(1.62973605670874e+002dB,-7.24929534464186e+000°)
2.04173794466953e+001	(1.62970339001966e+002dB,-7.41628681541506e+000°)
2.08929613085404e+001	(1.62966921011067e+002dB,-7.58703638770300e+000°)
2.13796208950223e+001	(1.62963344816053e+002dB,-7.76162240695210e+000°)
2.18776162394955e+001	(1.62959603233725e+002dB,-7.94012441247646e+000°)
2.23872113856834e+001	(1.62955688768007e+002dB,-8.12262312346552e+000°)
2.29086765276777e+001	(1.62951593597249e+002dB,-8.30920042155128e+000°)
2.34422881531992e+001	(1.62947309562028e+002dB,-8.49993933100456e+000°)
2.39883291901949e+001	(1.62942828151028e+002dB,-8.69492399402710e+000°)
2.45470891568503e+001	(1.62938140488788e+002dB,-8.89423964457639e+000°)
2.51188643150958e+001	(1.62933237320853e+002dB,-9.09797257609605e+000°)
2.57039578276886e+001	(1.62928108999944e+002dB,-9.30621010643920e+000°)
2.63026799189538e+001	(1.62922745471433e+002dB,-9.51904053803382e+000°)
2.69153480392691e+001	(1.62917136258307e+002dB,-9.73655311314520e+000°)
2.75422870333816e+001	(1.62911270445462e+002dB,-9.95883796371329e+000°)
2.81838293126445e+001	(1.62905136665404e+002dB,-1.01859860578290e+001°)
2.88403150312660e+001	(1.62898723080571e+002dB,-1.04180891370378e+001°)
2.95120922666638e+001	(1.62892017369142e+002dB,-1.06552396520542e+001°)
3.01995172040201e+001	(1.62885006707023e+002dB,-1.08975306879405e+001°)
3.09029543251359e+001	(1.62877677751994e+002dB,-1.11450558854669e+001°)
3.16227766016838e+001	(1.62870016627164e+002dB,-1.13979093549142e+001°)
3.23593656929628e+001	(1.62862008903260e+002dB,-1.16561855811706e+001°)
3.31131121482591e+001	(1.62853639582332e+002dB,-1.19199793230828e+001°)
3.38844156139202e+001	(1.62844893079713e+002dB,-1.21893855024308e+001°)
3.46736850452531e+001	(1.62835753208000e+002dB,-1.24644990872035e+001°)
3.54813389233575e+001	(1.62826203159224e+002dB,-1.27454149634625e+001°)
3.63078054770101e+001	(1.62816225487990e+002dB,-1.30322277991218e+001°)
3.71535229097172e+001	(1.62805802094630e+002dB,-1.33250318978885e+001°)
3.80189396320561e+001	(1.62794914208960e+002dB,-1.36239210437671e+001°)
