Freq.	V(vin)/-I(R3)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+001	(141674621.18591204dB,-3.64788959521158°)
1.02329299228075e+001	(141661072.17917913dB,-3.73262140687901°)
1.04712854805090e+001	(141646888.79119778dB,-3.8193098820058°)
1.07151930523761e+001	(141632041.52502877dB,-3.90799938906201°)
1.09647819614319e+001	(141616499.53270763dB,-3.9987352445036°)
1.12201845430196e+001	(141600230.55250046dB,-4.09156372876971°)
1.14815362149688e+001	(141583200.84651104dB,-4.18653210231202°)
1.17489755493953e+001	(141565375.13860217dB,-4.28368862163984°)
1.20226443461741e+001	(141546716.5468231dB,-4.38308255518555°)
1.23026877081238e+001	(141527186.50731897dB,-4.48476419885227°)
1.25892541179417e+001	(141506744.7069283dB,-4.58878489173418°)
1.28824955169313e+001	(141485349.00426793dB,-4.69519703136239°)
1.31825673855641e+001	(141462955.35348785dB,-4.8040540888747°)
1.34896288259165e+001	(141439517.7135893dB,-4.91541062349635°)
1.38038426460288e+001	(141414987.97452253dB,-5.02932229733671°)
1.41253754462275e+001	(141389315.85713357dB,-5.14584588899845°)
1.44543977074593e+001	(141362448.83275762dB,-5.26503930751364°)
1.47910838816821e+001	(141334332.01068234dB,-5.38696160471708°)
1.51356124843621e+001	(141304908.05928975dB,-5.5116729883797°)
1.54881661891248e+001	(141274117.0893508dB,-5.63923483340758°)
1.58489319246111e+001	(141241896.5480653dB,-5.76970969279867°)
1.62181009735893e+001	(141208181.117686dB,-5.90316130812275°)
1.65958690743756e+001	(141172902.5935588dB,-6.03965461839631°)
1.69824365246174e+001	(141135989.76669317dB,-6.17925576826586°)
1.73780082874937e+001	(141097368.3110772dB,-6.32203211545399°)
1.77827941003892e+001	(141056960.6443714dB,-6.46805223598728°)
1.81970085860998e+001	(141014685.81302115dB,-6.61738592932816°)
1.86208713666287e+001	(140970459.33952096dB,-6.77010422049404°)
1.90546071796325e+001	(140924193.1109383dB,-6.92627936268414°)
1.94984459975804e+001	(140875795.21268088dB,-7.08598483577188°)
1.99526231496888e+001	(140825169.79522252dB,-7.24929534464186°)
2.04173794466953e+001	(140772216.9340137dB,-7.41628681541506°)
2.08929613085404e+001	(140716832.4520175dB,-7.587036387703°)
2.13796208950223e+001	(140658907.78643814dB,-7.7616224069521°)
2.18776162394955e+001	(140598329.81818062dB,-7.94012441247646°)
2.23872113856834e+001	(140534980.71213102dB,-8.12262312346552°)
2.29086765276777e+001	(140468737.74581677dB,-8.30920042155128°)
2.34422881531992e+001	(140399473.14923128dB,-8.49993933100456°)
2.39883291901949e+001	(140327053.91695315dB,-8.6949239940271°)
2.45470891568503e+001	(140251341.65412462dB,-8.89423964457639°)
2.51188643150958e+001	(140172192.38438392dB,-9.09797257609605°)
2.57039578276886e+001	(140089456.37854663dB,-9.3062101064392°)
2.63026799189538e+001	(140002977.9766648dB,-9.51904053803382°)
2.69153480392691e+001	(139912595.40681604dB,-9.7365531131452°)
2.75422870333816e+001	(139818140.59847647dB,-9.95883796371329°)
2.81838293126445e+001	(139719439.02434012dB,-10.185986057829°)
2.88403150312660e+001	(139616309.4939601dB,-10.4180891370378°)
2.95120922666638e+001	(139508564.01022747dB,-10.6552396520542°)
3.01995172040201e+001	(139396007.57155868dB,-10.8975306879405°)
3.09029543251359e+001	(139278438.01660424dB,-11.1450558854669°)
3.16227766016838e+001	(139155645.86610752dB,-11.3979093549142°)
3.23593656929628e+001	(139027414.15499562dB,-11.6561855811706°)
3.31131121482591e+001	(138893518.29669756dB,-11.9199793230828°)
3.38844156139202e+001	(138753725.92972258dB,-12.1893855024308°)
3.46736850452531e+001	(138607796.8074533dB,-12.4644990872035°)
3.54813389233575e+001	(138455482.67057416dB,-12.7454149634625°)
3.63078054770101e+001	(138296527.14737895dB,-13.0322277991218°)
3.71535229097172e+001	(138130665.667416dB,-13.3250318978885°)
3.80189396320561e+001	(137957625.3986814dB,-13.6239210437671°)
3.89045144994280e+001	(137777125.19700533dB,-13.9289883344936°)
3.98107170553497e+001	(137588875.5835918dB,-14.2403260048409°)
4.07380277804112e+001	(137392578.74211407dB,-14.5580252384212°)
4.16869383470335e+001	(137187928.54883972dB,-14.8821759687722°)
4.26579518801592e+001	(136974610.6251825dB,-15.2128666680669°)
4.36515832240165e+001	(136752302.43906122dB,-15.5501841258011°)
4.46683592150962e+001	(136520673.42898804dB,-15.894213214141°)
4.57088189614874e+001	(136279385.15735218dB,-16.2450366398931°)
4.67735141287197e+001	(136028091.53394464dB,-16.6027346876125°)
4.78630092322638e+001	(135766439.0667993dB,-16.9673849484352°)
4.89778819368445e+001	(135494067.15167984dB,-17.3390620353621°)
5.01187233627271e+001	(135210608.44375104dB,-17.7178372903281°)
5.12861383991364e+001	(134915689.2441652dB,-18.1037784741428°)
5.24807460249772e+001	(134608929.99264818dB,-18.4969494511389°)
5.37031796370252e+001	(134289945.7718395dB,-18.8974098558429°)
5.49540873857624e+001	(133958346.90896824dB,-19.3052147532478°)
5.62341325190348e+001	(133613739.64962345dB,-19.7204142898119°)
5.75439937337156e+001	(133255726.86570004dB,-20.1430533296138°)
5.88843655355588e+001	(132883908.86837074dB,-20.5731710865619°)
6.02559586074357e+001	(132497884.29591614dB,-21.0108007492008°)
6.16595001861481e+001	(132097251.05292241dB,-21.455969094911°)
6.30957344480192e+001	(131681607.36382571dB,-21.9086961047802°)
6.45654229034654e+001	(131250552.86871558dB,-22.3689945686172°)
6.60693448007595e+001	(130803689.83469513dB,-22.8368696939038°)
6.76082975391980e+001	(130340624.41517955dB,-23.3123187089216°)
6.91830970918935e+001	(129860968.014164dB,-23.7953304721153°)
7.07945784384136e+001	(129364338.72123483dB,-24.2858850842358°)
7.24435960074988e+001	(128850362.8048365dB,-24.7839535032111°)
7.41310241300916e+001	(128318676.30472721dB,-25.2894971728323°)
7.58577575029182e+001	(127768926.67482531dB,-25.8024676592977°)
7.76247116628690e+001	(127200774.49391444dB,-26.3228063026294°)
7.94328234724279e+001	(126613895.23314095dB,-26.8504438849952°)
8.12830516164097e+001	(126007981.07334903dB,-27.385300318925°)
8.31763771102669e+001	(125382742.75756109dB,-27.9272843570536°)
8.51138038202374e+001	(124737911.49731486dB,-28.4762933332324°)
8.70963589956078e+001	(124073240.85435192dB,-29.0322129218655°)
8.91250938133743e+001	(123388508.68362573dB,-29.5949169421756°)
9.12010839355907e+001	(122683519.04301989dB,-30.1642671909183°)
9.33254300796988e+001	(121958104.08118314dB,-30.7401133121502°)
9.54992586021433e+001	(121212125.92002155dB,-31.3222927157264°)
9.77237220955808e+001	(120445478.46242195dB,-31.9106305327781°)
9.99999999999997e+001	(119658089.15366964dB,-32.5049396229243°)
1.02329299228075e+002	(118849920.65450713dB,-33.105020628543°)
1.04712854805090e+002	(118020972.42172118dB,-33.7106620818517°)
1.07151930523760e+002	(117171282.1785264dB,-34.3216405667274°)
1.09647819614318e+002	(116300927.24175723dB,-34.937720931362°)
1.12201845430196e+002	(115410025.71747294dB,-35.5586565619713°)
1.14815362149688e+002	(114498737.52379084dB,-36.1841897101908°)
1.17489755493953e+002	(113567265.233499dB,-36.8140518764242°)
1.20226443461741e+002	(112615854.73962188dB,-37.4479642555698°)
1.23026877081238e+002	(111644795.69226621dB,-38.0856382298881°)
1.25892541179416e+002	(110654421.74306896dB,-38.726775925504°)
1.28824955169313e+002	(109645110.54234982dB,-39.3710708133543°)
1.31825673855640e+002	(108617283.51886989dB,-40.0182083668046°)
1.34896288259165e+002	(107571405.40867908dB,-40.6678667617336°)
1.38038426460288e+002	(106507983.55304614dB,-41.3197176253413°)
1.41253754462275e+002	(105427566.94487032dB,-41.9734268212239°)
1.44543977074592e+002	(104330745.03426157dB,-42.6286552697678°)
1.47910838816820e+002	(103218146.3054134dB,-43.2850598031882°)
1.51356124843620e+002	(102090436.6143887dB,-43.9422940414357°)
1.54881661891248e+002	(100948317.32219931dB,-44.6000092963144°)
1.58489319246111e+002	(99792523.19683982dB,-45.2578554778461°)
1.62181009735892e+002	(98623820.14745294dB,-45.9154820231986°)
1.65958690743755e+002	(97443002.75938062dB,-46.5725388161106°)
1.69824365246174e+002	(96250891.69310355dB,-47.228677116421°)
1.73780082874937e+002	(95048330.92210907dB,-47.8835504670482°)
1.77827941003892e+002	(93836184.86718354dB,-48.5368155941174°)
1.81970085860998e+002	(92615335.43716156dB,-49.1881332875947°)
1.86208713666286e+002	(91386678.99033654dB,-49.8371692506876°)
1.90546071796324e+002	(90151123.25435467dB,-50.4835949221781°)
1.94984459975804e+002	(88909584.21854608dB,-51.1270882600433°)
1.99526231496887e+002	(87662983.03132705dB,-51.7673344889133°)
2.04173794466952e+002	(86412242.91839857dB,-52.4040268017381°)
2.08929613085403e+002	(85158286.14122745dB,-53.0368670095328°)
2.13796208950222e+002	(83902031.03389673dB,-53.6655661503888°)
2.18776162394954e+002	(82644389.11385083dB,-54.2898450345858°)
2.23872113856833e+002	(81386262.30999438dB,-54.909434745825°)
2.29086765276776e+002	(80128540.30538896dB,-55.524077079951°)
2.34422881531991e+002	(78872098.01496129dB,-56.1335249245016°)
2.39883291901948e+002	(77617793.22490163dB,-56.7375425933818°)
2.45470891568502e+002	(76366464.37741067dB,-57.3359060887252°)
2.51188643150957e+002	(75118928.53826742dB,-57.928403320385°)
2.57039578276885e+002	(73875979.53321841dB,-58.5148342620999°)
2.63026799189537e+002	(72638386.26897407dB,-59.0950110576758°)
2.69153480392690e+002	(71406891.2374889dB,-59.6687580742735°)
2.75422870333816e+002	(70182209.20648815dB,-60.2359119075943°)
2.81838293126444e+002	(68965026.09228322dB,-60.7963213368801°)
2.88403150312659e+002	(67755998.01889053dB,-61.3498472414667°)
2.95120922666637e+002	(66555750.54992324dB,-61.8963624677913°)
3.01995172040200e+002	(65364878.098593086dB,-62.4357516653029°)
3.09029543251358e+002	(64183943.50094003dB,-62.9679110815643°)
3.16227766016837e+002	(63013477.75060558dB,-63.4927483285417°)
3.23593656929627e+002	(61853979.88389783dB,-64.0101821184228°)
3.31131121482590e+002	(60705917.00574742dB,-64.5201419709487°)
3.38844156139201e+002	(59569724.45188433dB,-65.0225679041135°)
3.46736850452530e+002	(58445806.070455834dB,-65.5174100985064°)
3.54813389233574e+002	(57334534.618179806dB,-66.0046285475821°)
3.63078054770100e+002	(56236252.26024387dB,-66.4841926960935°)
3.71535229097171e+002	(55151271.160647176dB,-66.9560810625916°)
3.80189396320559e+002	(54079874.15773348dB,-67.4202808589979°)
3.89045144994279e+002	(53022315.509981625dB,-67.8767875982624°)
3.98107170553495e+002	(51978821.7063431dB,-68.3256047010252°)
4.07380277804111e+002	(50949592.331594124dB,-68.7667431035598°)
4.16869383470333e+002	(49934800.974176034dB,-69.2002208587089°)
4.26579518801591e+002	(48934596.173532516dB,-69.6260627460653°)
4.36515832240164e+002	(47949102.39463858dB,-70.0442998807952°)
4.46683592150961e+002	(46978421.02504066dB,-70.45496933049°)
4.57088189614873e+002	(46022631.38647283dB,-70.8581137378696°)
4.67735141287196e+002	(45081791.75420391dB,-71.2537809488723°)
4.78630092322636e+002	(44155940.38006388dB,-71.6420236526412°)
4.89778819368444e+002	(43245096.512176394dB,-72.0228990288737°)
5.01187233627270e+002	(42349261.407553956dB,-72.3964684059123°)
5.12861383991362e+002	(41468419.33284977dB,-72.7627969285654°)
5.24807460249770e+002	(40602538.55051247dB,-73.1219532405076°)
5.37031796370250e+002	(39751572.285000496dB,-73.4740091722197°)
5.49540873857622e+002	(38915459.66888922dB,-73.8190394472816°)
5.62341325190346e+002	(38094126.66441423dB,-74.1571213977384°)
5.75439937337154e+002	(37287486.958856dB,-74.4883346905941°)
5.88843655355586e+002	(36495442.8323912dB,-74.8127610671526°)
6.02559586074355e+002	(35717885.997507565dB,-75.130484097456°)
6.16595001861479e+002	(34954698.4074293dB,-75.4415889422118°)
6.30957344480190e+002	(34205753.03445242dB,-75.7461621303966°)
6.45654229034652e+002	(33470914.616275836dB,-76.0442913452843°)
6.60693448007592e+002	(32750040.371247046dB,-76.336065224972°)
6.76082975391978e+002	(32042980.681539387dB,-76.621573172749°)
6.91830970918933e+002	(31349579.74454554dB,-76.900905176815°)
7.07945784384134e+002	(30669676.19343218dB,-77.1741516452677°)
7.24435960074986e+002	(30003103.68585254dB,-77.4414032449179°)
7.41310241300914e+002	(29349691.46291686dB,-77.7027507559047°)
7.58577575029180e+002	(28709264.87779389dB,-77.958284932076°)
7.76247116628688e+002	(28081645.89528851dB,-78.2080963719348°)
7.94328234724277e+002	(27466653.563075367dB,-78.4522753988449°)
8.12830516164095e+002	(26864104.45521233dB,-78.6909119484642°)
8.31763771102666e+002	(26273813.089048695dB,-78.9240954650389°)
8.51138038202372e+002	(25695592.31633867dB,-79.1519148049797°)
8.70963589956076e+002	(25129253.689628534dB,-79.3744581489797°)
