Freq.	V(vout)/V(vin)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+001	(3.86555121421062e+001dB,-4.97759619755721e-003°)
1.02329299228075e+001	(3.86555121405864e+001dB,-5.09353930677431e-003°)
1.04712854805090e+001	(3.86555121389949e+001dB,-5.21218307789725e-003°)
1.07151930523761e+001	(3.86555121373284e+001dB,-5.33359041741997e-003°)
1.09647819614319e+001	(3.86555121355833e+001dB,-5.45782569711663e-003°)
1.12201845430196e+001	(3.86555121337561e+001dB,-5.58495478817240e-003°)
1.14815362149688e+001	(3.86555121318427e+001dB,-5.71504509610923e-003°)
1.17489755493953e+001	(3.86555121298391e+001dB,-5.84816559652511e-003°)
1.20226443461741e+001	(3.86555121277411e+001dB,-5.98438687166578e-003°)
1.23026877081238e+001	(3.86555121255442e+001dB,-6.12378114784842e-003°)
1.25892541179417e+001	(3.86555121232438e+001dB,-6.26642233375692e-003°)
1.28824955169313e+001	(3.86555121208350e+001dB,-6.41238605962924e-003°)
1.31825673855641e+001	(3.86555121183126e+001dB,-6.56174971735747e-003°)
1.34896288259165e+001	(3.86555121156714e+001dB,-6.71459250152207e-003°)
1.38038426460288e+001	(3.86555121129057e+001dB,-6.87099545138184e-003°)
1.41253754462275e+001	(3.86555121100097e+001dB,-7.03104149384193e-003°)
1.44543977074593e+001	(3.86555121069771e+001dB,-7.19481548742274e-003°)
1.47910838816821e+001	(3.86555121038017e+001dB,-7.36240426725302e-003°)
1.51356124843621e+001	(3.86555121004766e+001dB,-7.53389669111095e-003°)
1.54881661891248e+001	(3.86555120969948e+001dB,-7.70938368653763e-003°)
1.58489319246111e+001	(3.86555120933489e+001dB,-7.88895829904802e-003°)
1.62181009735893e+001	(3.86555120895312e+001dB,-8.07271574146484e-003°)
1.65958690743756e+001	(3.86555120855335e+001dB,-8.26075344440160e-003°)
1.69824365246174e+001	(3.86555120813475e+001dB,-8.45317110792158e-003°)
1.73780082874937e+001	(3.86555120769641e+001dB,-8.65007075439996e-003°)
1.77827941003892e+001	(3.86555120723742e+001dB,-8.85155678261741e-003°)
1.81970085860998e+001	(3.86555120675680e+001dB,-9.05773602311362e-003°)
1.86208713666287e+001	(3.86555120625352e+001dB,-9.26871779483014e-003°)
1.90546071796325e+001	(3.86555120572653e+001dB,-9.48461396307268e-003°)
1.94984459975804e+001	(3.86555120517470e+001dB,-9.70553899882341e-003°)
1.99526231496888e+001	(3.86555120459686e+001dB,-9.93161003943492e-003°)
2.04173794466953e+001	(3.86555120399180e+001dB,-1.01629469507379e-002°)
2.08929613085404e+001	(3.86555120335821e+001dB,-1.03996723905952e-002°)
2.13796208950223e+001	(3.86555120269477e+001dB,-1.06419118739371e-002°)
2.18776162394955e+001	(3.86555120200005e+001dB,-1.08897938393102e-002°)
2.23872113856834e+001	(3.86555120127260e+001dB,-1.11434497169774e-002°)
2.29086765276777e+001	(3.86555120051086e+001dB,-1.14030139986037e-002°)
2.34422881531992e+001	(3.86555119971323e+001dB,-1.16686243085654e-002°)
2.39883291901949e+001	(3.86555119887800e+001dB,-1.19404214769200e-002°)
2.45470891568503e+001	(3.86555119800341e+001dB,-1.22185496140761e-002°)
2.51188643150958e+001	(3.86555119708760e+001dB,-1.25031561872022e-002°)
2.57039578276886e+001	(3.86555119612863e+001dB,-1.27943920984157e-002°)
2.63026799189538e+001	(3.86555119512447e+001dB,-1.30924117647931e-002°)
2.69153480392691e+001	(3.86555119407298e+001dB,-1.33973732002431e-002°)
2.75422870333816e+001	(3.86555119297193e+001dB,-1.37094380992880e-002°)
2.81838293126445e+001	(3.86555119181900e+001dB,-1.40287719227957e-002°)
2.88403150312660e+001	(3.86555119061173e+001dB,-1.43555439857088e-002°)
2.95120922666638e+001	(3.86555118934756e+001dB,-1.46899275468173e-002°)
3.01995172040201e+001	(3.86555118802381e+001dB,-1.50320999006224e-002°)
3.09029543251359e+001	(3.86555118663768e+001dB,-1.53822424713401e-002°)
3.16227766016838e+001	(3.86555118518622e+001dB,-1.57405409090938e-002°)
3.23593656929628e+001	(3.86555118366636e+001dB,-1.61071851883485e-002°)
3.31131121482591e+001	(3.86555118207486e+001dB,-1.64823697086368e-002°)
3.38844156139202e+001	(3.86555118040837e+001dB,-1.68662933976319e-002°)
3.46736850452531e+001	(3.86555117866333e+001dB,-1.72591598166209e-002°)
3.54813389233575e+001	(3.86555117683605e+001dB,-1.76611772684351e-002°)
3.63078054770101e+001	(3.86555117492265e+001dB,-1.80725589078941e-002°)
3.71535229097172e+001	(3.86555117291908e+001dB,-1.84935228548228e-002°)
3.80189396320561e+001	(3.86555117082109e+001dB,-1.89242923097005e-002°)
3.89045144994280e+001	(3.86555116862421e+001dB,-1.93650956720039e-002°)
3.98107170553497e+001	(3.86555116632381e+001dB,-1.98161666613066e-002°)
4.07380277804112e+001	(3.86555116391498e+001dB,-2.02777444411994e-002°)
4.16869383470335e+001	(3.86555116139264e+001dB,-2.07500737460969e-002°)
4.26579518801592e+001	(3.86555115875142e+001dB,-2.12334050109977e-002°)
4.36515832240165e+001	(3.86555115598572e+001dB,-2.17279945042677e-002°)
4.46683592150962e+001	(3.86555115308968e+001dB,-2.22341044635149e-002°)
4.57088189614874e+001	(3.86555115005715e+001dB,-2.27520032346304e-002°)
4.67735141287197e+001	(3.86555114688170e+001dB,-2.32819654140673e-002°)
4.78630092322638e+001	(3.86555114355660e+001dB,-2.38242719944339e-002°)
4.89778819368445e+001	(3.86555114007479e+001dB,-2.43792105134779e-002°)
