gen,f,out,p,h,h_db
19.9,10,0.126,-90,0.006331658,-43.96965063
19.9,20,0.278,-90,0.013969849,-37.09616561
19.9,50,0.706,-92,0.035477387,-29.00096751
19.9,100,1.41,-90,0.070854271,-22.99267928
19.9,200,2.81,-90,0.14120603,-17.00293513
19.9,500,6.93,-90,0.348241206,-9.162396836
19.8,1000,14.2,-90,0.717171717,-2.887536918
19.8,2000,28.2,-90,1.424242424,3.071678361
7.79,5000,27.1,-90,3.478818999,10.82863666
3.9,10000,26.3,-90,6.743589744,16.57782283
2.91,15000,28.61,-90,9.83161512,19.85249738
1.93,20000,25.4,-97,13.16062176,22.38552815
1.909,20000,25.06,-96,13.12729178,22.36350277
0.699,50000,23.52,-116,33.64806867,30.53920283
0.183,100000,14.9,-150,81.42076503,38.21470357
0.071,150000,7.58,-180,106.7605634,40.56821714
0.092,180000,10.26,-229,111.5217391,40.94719067
0.088,200000,9.11,-242,103.5227273,40.3007141
0.155,300000,8.1,-278,52.25806452,34.36306641
0.113,500000,3.03,-293,26.81415929,28.5672837
0.212,1000000,1.69,-324,7.971698113,18.03101687
