Freq.	V(vin)/-I(R3)
Step Information: Run=1  (Run: 1/18)
1.00000000000000e+003	(1.54020125629859e+002dB,-8.79790487808208e+001°)
1.02329299228075e+003	(1.53820620954471e+002dB,-8.81145083841680e+001°)
1.04712854805090e+003	(1.53621053465954e+002dB,-8.82489859356668e+001°)
1.07151930523761e+003	(1.53421424061382e+002dB,-8.83825505404774e+001°)
1.09647819614319e+003	(1.53221733509223e+002dB,-8.85152708921943e+001°)
1.12201845430196e+003	(1.53021982450813e+002dB,-8.86472152992964e+001°)
1.14815362149688e+003	(1.52822171401596e+002dB,-8.87784517117612e+001°)
1.17489755493953e+003	(1.52622300752111e+002dB,-8.89090477476653e+001°)
1.20226443461741e+003	(1.52422370768733e+002dB,-8.90390707197691e+001°)
1.23026877081238e+003	(1.52222381594173e+002dB,-8.91685876622102e+001°)
1.25892541179417e+003	(1.52022333247733e+002dB,-8.92976653570321e+001°)
1.28824955169313e+003	(1.51822225625313e+002dB,-8.94263703607511e+001°)
1.31825673855641e+003	(1.51622058499180e+002dB,-8.95547690308091e+001°)
1.34896288259165e+003	(1.51421831517489e+002dB,-8.96829275518603e+001°)
1.38038426460288e+003	(1.51221544203559e+002dB,-8.98109119620030e+001°)
1.41253754462275e+003	(1.51021195954899e+002dB,-8.99387881788105e+001°)
1.44543977074593e+003	(1.50820786041993e+002dB,-9.00666220251049e+001°)
1.47910838816821e+003	(1.50620313606826e+002dB,-9.01944792546439e+001°)
1.51356124843621e+003	(1.50419777661162e+002dB,-9.03224255774380e+001°)
1.54881661891248e+003	(1.50219177084558e+002dB,-9.04505266848153e+001°)
1.58489319246111e+003	(1.50018510622132e+002dB,-9.05788482742397e+001°)
1.62181009735893e+003	(1.49817776882055e+002dB,-9.07074560736897e+001°)
1.65958690743756e+003	(1.49616974332782e+002dB,-9.08364158657403e+001°)
1.69824365246174e+003	(1.49416101300009e+002dB,-9.09657935111811e+001°)
1.73780082874937e+003	(1.49215155963359e+002dB,-9.10956549721988e+001°)
