Freq.	V(vo)
1.00000000000000e+001	(-4.40365244995386e+001dB,-9.00000429200468e+001°)
1.02329299228075e+001	(-4.38365244978613e+001dB,-9.00000439197831e+001°)
1.04712854805090e+001	(-4.36365244961050e+001dB,-9.00000449428062e+001°)
1.07151930523761e+001	(-4.34365244942659e+001dB,-9.00000459896585e+001°)
1.09647819614319e+001	(-4.32365244923401e+001dB,-9.00000470608952e+001°)
1.12201845430196e+001	(-4.30365244903236e+001dB,-9.00000481570842e+001°)
1.14815362149688e+001	(-4.28365244882120e+001dB,-9.00000492788067e+001°)
1.17489755493953e+001	(-4.26365244860009e+001dB,-9.00000504266574e+001°)
1.20226443461741e+001	(-4.24365244836856e+001dB,-9.00000516012451e+001°)
1.23026877081238e+001	(-4.22365244812612e+001dB,-9.00000528031924e+001°)
1.25892541179417e+001	(-4.20365244787225e+001dB,-9.00000540331366e+001°)
1.28824955169313e+001	(-4.18365244760642e+001dB,-9.00000552917299e+001°)
1.31825673855641e+001	(-4.16365244732806e+001dB,-9.00000565796396e+001°)
1.34896288259165e+001	(-4.14365244703659e+001dB,-9.00000578975485e+001°)
1.38038426460288e+001	(-4.12365244673137e+001dB,-9.00000592461555e+001°)
1.41253754462275e+001	(-4.10365244641177e+001dB,-9.00000606261756e+001°)
1.44543977074593e+001	(-4.08365244607711e+001dB,-9.00000620383404e+001°)
1.47910838816821e+001	(-4.06365244572667e+001dB,-9.00000634833988e+001°)
1.51356124843621e+001	(-4.04365244535973e+001dB,-9.00000649621169e+001°)
1.54881661891248e+001	(-4.02365244497548e+001dB,-9.00000664752787e+001°)
1.58489319246111e+001	(-4.00365244457313e+001dB,-9.00000680236867e+001°)
1.62181009735893e+001	(-3.98365244415182e+001dB,-9.00000696081616e+001°)
1.65958690743756e+001	(-3.96365244371065e+001dB,-9.00000712295437e+001°)
1.69824365246174e+001	(-3.94365244324868e+001dB,-9.00000728886926e+001°)
1.73780082874937e+001	(-3.92365244276495e+001dB,-9.00000745864880e+001°)
1.77827941003892e+001	(-3.90365244225842e+001dB,-9.00000763238301e+001°)
1.81970085860998e+001	(-3.88365244172802e+001dB,-9.00000781016401e+001°)
1.86208713666287e+001	(-3.86365244117262e+001dB,-9.00000799208606e+001°)
1.90546071796325e+001	(-3.84365244059104e+001dB,-9.00000817824562e+001°)
1.94984459975804e+001	(-3.82365243998206e+001dB,-9.00000836874138e+001°)
1.99526231496888e+001	(-3.80365243934437e+001dB,-9.00000856367436e+001°)
2.04173794466953e+001	(-3.78365243867663e+001dB,-9.00000876314790e+001°)
2.08929613085404e+001	(-3.76365243797743e+001dB,-9.00000896726778e+001°)
2.13796208950223e+001	(-3.74365243724527e+001dB,-9.00000917614222e+001°)
2.18776162394955e+001	(-3.72365243647860e+001dB,-9.00000938988196e+001°)
2.23872113856834e+001	(-3.70365243567581e+001dB,-9.00000960860034e+001°)
2.29086765276777e+001	(-3.68365243483517e+001dB,-9.00000983241332e+001°)
2.34422881531992e+001	(-3.66365243395492e+001dB,-9.00001006143956e+001°)
2.39883291901949e+001	(-3.64365243303319e+001dB,-9.00001029580051e+001°)
2.45470891568503e+001	(-3.62365243206801e+001dB,-9.00001053562042e+001°)
2.51188643150958e+001	(-3.60365243105735e+001dB,-9.00001078102644e+001°)
2.57039578276886e+001	(-3.58365242999906e+001dB,-9.00001103214870e+001°)
2.63026799189538e+001	(-3.56365242889089e+001dB,-9.00001128912034e+001°)
2.69153480392691e+001	(-3.54365242773049e+001dB,-9.00001155207761e+001°)
2.75422870333816e+001	(-3.52365242651541e+001dB,-9.00001182115993e+001°)
2.81838293126445e+001	(-3.50365242524306e+001dB,-9.00001209650997e+001°)
2.88403150312660e+001	(-3.48365242391075e+001dB,-9.00001237827373e+001°)
2.95120922666638e+001	(-3.46365242251565e+001dB,-9.00001266660061e+001°)
3.01995172040201e+001	(-3.44365242105480e+001dB,-9.00001296164346e+001°)
3.09029543251359e+001	(-3.42365241952510e+001dB,-9.00001326355873e+001°)
3.16227766016838e+001	(-3.40365241792330e+001dB,-9.00001357250650e+001°)
3.23593656929628e+001	(-3.38365241624602e+001dB,-9.00001388865058e+001°)
3.31131121482591e+001	(-3.36365241448969e+001dB,-9.00001421215858e+001°)
3.38844156139202e+001	(-3.34365241265059e+001dB,-9.00001454320203e+001°)
3.46736850452531e+001	(-3.32365241072481e+001dB,-9.00001488195646e+001°)
3.54813389233575e+001	(-3.30365240870828e+001dB,-9.00001522860147e+001°)
3.63078054770101e+001	(-3.28365240659670e+001dB,-9.00001558332086e+001°)
3.71535229097172e+001	(-3.26365240438562e+001dB,-9.00001594630271e+001°)
3.80189396320561e+001	(-3.24365240207032e+001dB,-9.00001631773947e+001°)
3.89045144994280e+001	(-3.22365239964591e+001dB,-9.00001669782807e+001°)
3.98107170553497e+001	(-3.20365239710724e+001dB,-9.00001708677005e+001°)
4.07380277804112e+001	(-3.18365239444893e+001dB,-9.00001748477162e+001°)
4.16869383470335e+001	(-3.16365239166534e+001dB,-9.00001789204381e+001°)
4.26579518801592e+001	(-3.14365238875055e+001dB,-9.00001830880256e+001°)
4.36515832240165e+001	(-3.12365238569840e+001dB,-9.00001873526882e+001°)
4.46683592150962e+001	(-3.10365238250241e+001dB,-9.00001917166873e+001°)
4.57088189614874e+001	(-3.08365237915579e+001dB,-9.00001961823365e+001°)
4.67735141287197e+001	(-3.06365237565145e+001dB,-9.00002007520037e+001°)
4.78630092322638e+001	(-3.04365237198196e+001dB,-9.00002054281116e+001°)
4.89778819368445e+001	(-3.02365236813953e+001dB,-9.00002102131395e+001°)
5.01187233627271e+001	(-3.00365236411601e+001dB,-9.00002151096246e+001°)
5.12861383991364e+001	(-2.98365235990287e+001dB,-9.00002201201628e+001°)
5.24807460249772e+001	(-2.96365235549117e+001dB,-9.00002252474109e+001°)
5.37031796370252e+001	(-2.94365235087155e+001dB,-9.00002304940872e+001°)
5.49540873857624e+001	(-2.92365234603422e+001dB,-9.00002358629737e+001°)
5.62341325190348e+001	(-2.90365234096891e+001dB,-9.00002413569168e+001°)
5.75439937337156e+001	(-2.88365233566487e+001dB,-9.00002469788295e+001°)
5.88843655355588e+001	(-2.86365233011087e+001dB,-9.00002527316925e+001°)
6.02559586074357e+001	(-2.84365232429512e+001dB,-9.00002586185559e+001°)
6.16595001861481e+001	(-2.82365231820527e+001dB,-9.00002646425410e+001°)
6.30957344480192e+001	(-2.80365231182843e+001dB,-9.00002708068417e+001°)
6.45654229034654e+001	(-2.78365230515105e+001dB,-9.00002771147263e+001°)
6.60693448007595e+001	(-2.76365229815897e+001dB,-9.00002835695391e+001°)
6.76082975391980e+001	(-2.74365229083737e+001dB,-9.00002901747026e+001°)
6.91830970918935e+001	(-2.72365228317071e+001dB,-9.00002969337186e+001°)
7.07945784384136e+001	(-2.70365227514273e+001dB,-9.00003038501709e+001°)
7.24435960074988e+001	(-2.68365226673641e+001dB,-9.00003109277264e+001°)
7.41310241300916e+001	(-2.66365225793391e+001dB,-9.00003181701376e+001°)
7.58577575029182e+001	(-2.64365224871656e+001dB,-9.00003255812444e+001°)
7.76247116628690e+001	(-2.62365223906481e+001dB,-9.00003331649761e+001°)
7.94328234724279e+001	(-2.60365222895818e+001dB,-9.00003409253534e+001°)
8.12830516164097e+001	(-2.58365221837525e+001dB,-9.00003488664909e+001°)
8.31763771102669e+001	(-2.56365220729355e+001dB,-9.00003569925988e+001°)
8.51138038202374e+001	(-2.54365219568960e+001dB,-9.00003653079854e+001°)
8.70963589956078e+001	(-2.52365218353876e+001dB,-9.00003738170595e+001°)
8.91250938133743e+001	(-2.50365217081527e+001dB,-9.00003825243324e+001°)
9.12010839355907e+001	(-2.48365215749214e+001dB,-9.00003914344205e+001°)
9.33254300796988e+001	(-2.46365214354112e+001dB,-9.00004005520477e+001°)
9.54992586021433e+001	(-2.44365212893260e+001dB,-9.00004098820481e+001°)
9.77237220955808e+001	(-2.42365211363560e+001dB,-9.00004194293681e+001°)
