Freq.	V(vo)
Step Information: 1=1  (Run: 1/11)
1.00000000000000e-001	(2.88212362674513e+001dB,1.79906100085078e+002°)
1.02329299228075e-001	(2.88212357177386e+001dB,1.79903912879138e+002°)
1.04712854805090e-001	(2.88212351421187e+001dB,1.79901674726918e+002°)
1.07151930523761e-001	(2.88212345393709e+001dB,1.79899384441745e+002°)
1.09647819614319e-001	(2.88212339082164e+001dB,1.79897040809311e+002°)
1.12201845430196e-001	(2.88212332473167e+001dB,1.79894642587021e+002°)
1.14815362149688e-001	(2.88212325552698e+001dB,1.79892188503341e+002°)
1.17489755493953e-001	(2.88212318306079e+001dB,1.79889677257117e+002°)
1.20226443461741e-001	(2.88212310717939e+001dB,1.79887107516894e+002°)
1.23026877081238e-001	(2.88212302772182e+001dB,1.79884477920201e+002°)
1.25892541179417e-001	(2.88212294451954e+001dB,1.79881787072837e+002°)
1.28824955169313e-001	(2.88212285739608e+001dB,1.79879033548126e+002°)
1.31825673855641e-001	(2.88212276616664e+001dB,1.79876215886164e+002°)
1.34896288259165e-001	(2.88212267063771e+001dB,1.79873332593043e+002°)
1.38038426460288e-001	(2.88212257060666e+001dB,1.79870382140062e+002°)
1.41253754462275e-001	(2.88212246586131e+001dB,1.79867362962914e+002°)
1.44543977074593e-001	(2.88212235617950e+001dB,1.79864273460859e+002°)
1.47910838816821e-001	(2.88212224132857e+001dB,1.79861111995873e+002°)
1.51356124843621e-001	(2.88212212106491e+001dB,1.79857876891784e+002°)
1.54881661891248e-001	(2.88212199513344e+001dB,1.79854566433378e+002°)
1.58489319246111e-001	(2.88212186326705e+001dB,1.79851178865495e+002°)
1.62181009735893e-001	(2.88212172518602e+001dB,1.79847712392097e+002°)
1.65958690743756e-001	(2.88212158059748e+001dB,1.79844165175316e+002°)
1.69824365246174e-001	(2.88212142919475e+001dB,1.79840535334478e+002°)
1.73780082874937e-001	(2.88212127065668e+001dB,1.79836820945110e+002°)
1.77827941003892e-001	(2.88212110464700e+001dB,1.79833020037920e+002°)
1.81970085860998e-001	(2.88212093081360e+001dB,1.79829130597750e+002°)
1.86208713666287e-001	(2.88212074878776e+001dB,1.79825150562510e+002°)
1.90546071796325e-001	(2.88212055818338e+001dB,1.79821077822087e+002°)
1.94984459975804e-001	(2.88212035859619e+001dB,1.79816910217224e+002°)
1.99526231496888e-001	(2.88212014960284e+001dB,1.79812645538380e+002°)
2.04173794466953e-001	(2.88211993076004e+001dB,1.79808281524554e+002°)
2.08929613085404e-001	(2.88211970160362e+001dB,1.79803815862090e+002°)
2.13796208950223e-001	(2.88211946164752e+001dB,1.79799246183453e+002°)
2.18776162394955e-001	(2.88211921038278e+001dB,1.79794570065971e+002°)
2.23872113856834e-001	(2.88211894727645e+001dB,1.79789785030554e+002°)
2.29086765276777e-001	(2.88211867177048e+001dB,1.79784888540380e+002°)
2.34422881531992e-001	(2.88211838328049e+001dB,1.79779877999551e+002°)
