Freq.	V(vo)
1.00000000000000e-001	(2.89692996482177e+001dB,1.79895297584144e+002°)
1.02329299228075e-001	(2.89692989647473e+001dB,1.79892858757200e+002°)
1.04712854805090e-001	(2.89692982490661e+001dB,1.79890363123081e+002°)
1.07151930523761e-001	(2.89692974996560e+001dB,1.79887809358606e+002°)
1.09647819614319e-001	(2.89692967149274e+001dB,1.79885196109777e+002°)
1.12201845430196e-001	(2.89692958932159e+001dB,1.79882521991057e+002°)
1.14815362149688e-001	(2.89692950327785e+001dB,1.79879785584640e+002°)
1.17489755493953e-001	(2.89692941317901e+001dB,1.79876985439698e+002°)
1.20226443461741e-001	(2.89692931883396e+001dB,1.79874120071610e+002°)
1.23026877081238e-001	(2.89692922004258e+001dB,1.79871187961176e+002°)
1.25892541179417e-001	(2.89692911659534e+001dB,1.79868187553816e+002°)
1.28824955169313e-001	(2.89692900827281e+001dB,1.79865117258738e+002°)
1.31825673855641e-001	(2.89692889484522e+001dB,1.79861975448104e+002°)
1.34896288259165e-001	(2.89692877607198e+001dB,1.79858760456157e+002°)
1.38038426460288e-001	(2.89692865170117e+001dB,1.79855470578349e+002°)
1.41253754462275e-001	(2.89692852146898e+001dB,1.79852104070429e+002°)
1.44543977074593e-001	(2.89692838509918e+001dB,1.79848659147523e+002°)
1.47910838816821e-001	(2.89692824230252e+001dB,1.79845133983188e+002°)
1.51356124843621e-001	(2.89692809277610e+001dB,1.79841526708441e+002°)
1.54881661891248e-001	(2.89692793620278e+001dB,1.79837835410771e+002°)
1.58489319246111e-001	(2.89692777225045e+001dB,1.79834058133128e+002°)
1.62181009735893e-001	(2.89692760057134e+001dB,1.79830192872879e+002°)
1.65958690743756e-001	(2.89692742080132e+001dB,1.79826237580752e+002°)
1.69824365246174e-001	(2.89692723255909e+001dB,1.79822190159752e+002°)
1.73780082874937e-001	(2.89692703544535e+001dB,1.79818048464043e+002°)
1.77827941003892e-001	(2.89692682904203e+001dB,1.79813810297816e+002°)
1.81970085860998e-001	(2.89692661291132e+001dB,1.79809473414125e+002°)
1.86208713666287e-001	(2.89692638659481e+001dB,1.79805035513697e+002°)
1.90546071796325e-001	(2.89692614961245e+001dB,1.79800494243710e+002°)
1.94984459975804e-001	(2.89692590146159e+001dB,1.79795847196552e+002°)
1.99526231496888e-001	(2.89692564161590e+001dB,1.79791091908540e+002°)
2.04173794466953e-001	(2.89692536952422e+001dB,1.79786225858622e+002°)
2.08929613085404e-001	(2.89692508460944e+001dB,1.79781246467033e+002°)
2.13796208950223e-001	(2.89692478626724e+001dB,1.79776151093936e+002°)
2.18776162394955e-001	(2.89692447386483e+001dB,1.79770937038018e+002°)
2.23872113856834e-001	(2.89692414673958e+001dB,1.79765601535064e+002°)
2.29086765276777e-001	(2.89692380419766e+001dB,1.79760141756490e+002°)
2.34422881531992e-001	(2.89692344551253e+001dB,1.79754554807846e+002°)
2.39883291901949e-001	(2.89692306992341e+001dB,1.79748837727283e+002°)
2.45470891568503e-001	(2.89692267663366e+001dB,1.79742987483984e+002°)
2.51188643150958e-001	(2.89692226480912e+001dB,1.79737000976561e+002°)
2.57039578276886e-001	(2.89692183357631e+001dB,1.79730875031413e+002°)
2.63026799189538e-001	(2.89692138202057e+001dB,1.79724606401042e+002°)
2.69153480392691e-001	(2.89692090918418e+001dB,1.79718191762338e+002°)
2.75422870333816e-001	(2.89692041406425e+001dB,1.79711627714819e+002°)
2.81838293126445e-001	(2.89691989561063e+001dB,1.79704910778829e+002°)
2.88403150312660e-001	(2.89691935272371e+001dB,1.79698037393698e+002°)
2.95120922666638e-001	(2.89691878425205e+001dB,1.79691003915859e+002°)
3.01995172040201e-001	(2.89691818898995e+001dB,1.79683806616917e+002°)
3.09029543251359e-001	(2.89691756567487e+001dB,1.79676441681677e+002°)
3.16227766016838e-001	(2.89691691298483e+001dB,1.79668905206129e+002°)
3.23593656929628e-001	(2.89691622953549e+001dB,1.79661193195375e+002°)
3.31131121482591e-001	(2.89691551387734e+001dB,1.79653301561525e+002°)
