Valor pico a pico (V),Frecuencia (Hz),Valor pico a pico (V),Fase (°),Vo/Vi,Vo/Vi [dB]
1.99,10,3.76,20,1.889447236,5.52669537
1.99,20,3.86,10,1.939698492,5.754684565
1.99,50,3.89,3,1.954773869,5.821930498
1.99,100,3.88,0,1.949748744,5.799572984
1.98,200,3.87,-1,1.954545455,5.820915495
1.97,500,3.83,-5,1.944162437,5.774650956
1.97,1000,3.76,-13,1.908629442,5.614432375
1.97,2000,3.53,-22,1.791878173,5.066169585
1.96,5000,2.64,-47,1.346938776,2.58695711
1.96,10000,1.63,-65,0.831632653,-1.601369339
1.97,20000,0.89,-76,0.45177665,-6.90152439
1.97,50000,0.36,-85,0.182741117,-14.76327451
1.98,100000,0.19,-90,0.095959596,-20.35823179
1.982,200000,0.094,-92,0.047426842,-26.47951593
1.98,500000,0.04,-100,0.02020202,-33.89210398
1.986,1,0.96,115,0.483383686,-6.314160222
1.99,2,2.17,81,1.090452261,0.752133149
1.99,5,3.43,38,1.72361809,4.728820873
1.99,3,2.87,58,1.442211055,3.180576406
1.99,4,3.23,48,1.623115578,4.206988918
1.97,3000,3.23,-33,1.639593909,4.294725923
1.97,4000,2.93,-40,1.487309645,3.448027884
1.97,7000,2.15,-55,1.091370558,0.759444675
1.97,300,3.86,-3,1.959390863,5.84242157
1.97,400,3.84,-4,1.949238579,5.797299964
1.99,30,3.88,6,1.949748744,5.799572984
1.99,40,3.88,4,1.949748744,5.799572984
1.99,1.5,1.62,96,0.814070352,-1.786761237
